"locations_id","geonames_id","wikidata_id","emlo_location_id","locations_name_modern","locations_name_in_edition","locations_modern_state","locations_modern_province","locations_lat","locations_lng","locations_ll_combined","locations_further_annotation"
"bretten_DE_gid_2944200","2944200","Q495428","ff4f1ec2-4818-4b16-9268-3fbe67ead5d9","Bretten","Bretten","Germany","Baden-Wurttemberg","49.03685","8.70745","49.03685, 8.70745",""
"brno_CZ_gid_3078610","3078610","Q14960","a6e10e85-fe93-4516-abe5-01173a911d5f","Brno","Brünn","Czech Republic","South Moravian","49.19522","16.60796","49.19522, 16.60796",""
"brunico_IT_gid_3181480","3181480","Q256765","f1ca84bd-d2f3-489b-ad05-781e1edcbc24","Bruneck","Bruneck (Pustertal, Südtirol)","Italy","Trentino-Alto Adige","46.79942","11.93429","46.79942, 11.93429",""
"brussels_BE_gid_2800866","2800866","Q239","a774a57f-6fc4-4136-b541-90b0fc3275c4","Brussels","Brüssel","Belgium","Brussels Capital","50.85045","4.34878","50.85045, 4.34878",""
"bruttig_DE_gid_2942976","2942976","Q574161","","Bruttig","Bruttig","Germany","Rheinland-Pfalz","50.13333","7.23333","50.13333, 7.23333",""
"burg_reußenberg_DE_gid_unknown","Unknown","Q2146717","","Burg Reußenberg","Burg Reußenberg","Germany","Bavaria","50.067778","9.820833","50.067778, 9.820833",""
"burg_winzingen_DE_gid_unknown","Unknown","Q1014636","","Burg Winzingen","Burg Winzingen","Germany","Rheinland-Pfalz","49.3619","8.13572","49.3619, 8.13572",""
"burgos_ES_gid_3127461","3127461","Q9580","4c6ddcf8-4474-4696-84a0-46cc66b7e0bd","Burgos","Burgos","Spain","Castille and León","42.35022","-3.67527","42.35022, -3.67527",""
"cambridge_GB_gid_2653941","2653941","Q350","97e0ef3c-9f15-4f64-8a32-3d3fa9dcf853","Cambridge","Cambridge","United Kingdom","England","52.2","0.11667","52.2, 0.11667",""
"celle_DE_gid_2940213","2940213","Q3933","1b11b358-a585-4d18-bc59-bc9e9b642736","Celle","Celle","Germany","Lower Saxony","52.62264","10.08047","52.62264, 10.08047",""
"chiateoscutella_IT_gid_unknown","Unknown","","","Chiateoscutella","Chiateoscutella","Italy","Unknown","","","",""
"colditz_DE_gid_2939927","2939927","Q10762","","Colditz","Colditz","Germany","Saxony","51.12821","12.80295","51.12821, 12.80295",""
"dachsbach_DE_gid_2939608","2939608","Q505756","bc810e00-b0d0-4d83-9d5f-2f5111050536","Dachsbach","Dachsbach","Germany","Bavaria","49.64051","10.70652","49.64051, 10.70652",""
"dinkelsbühl_DE_gid_2936886","2936886","Q491743","","Dinkelsbühl","Dinkelsbühl","Germany","Bavaria","49.06942","10.31985","49.06942, 10.31985",""
"donauwörth_DE_gid_2936253","2936253","Q53742","1f0c77d2-04d2-470e-a528-ffcea3d11de6","Donauwörth","Donauwörth","Germany","Bavaria","48.71804","10.7793","48.71804, 10.7793",""
"dresden_DE_gid_2935022","2935022","Q1731","139dec04-c84a-403e-bf5b-57c9ab6c70e7","Dresden","Dresden","Germany","Saxony","51.05089","13.73832","51.05089, 13.73832",""
"dülmen_DE_gid_2934662","2934662","Q6910","ce74bf52-63b7-429b-b6bd-0ef4017321b0","Dülmen","Dülmen","Germany","North Rhine-Westphalia","51.83149","7.28075","51.83149, 7.28075",""
"ebernburg_castle_DE_gid_unknown","Unknown","Q884300","039e4c8c-c57c-4238-be25-5454fcfe9021","Burg Ebernburg","Ebernburg","Germany","Rheinland-Pfalz","49.807044","7.838608","49.807044, 7.838608",""
"egg_an_der_günz_DE_gid_2933168","2933168","Q120620","","Egg an der Günz","Eck [Egg] an der Günz bei Ottobeuren/Schwaben","Germany","Bavaria","48.08714","10.28495","48.08714, 10.28495",""
"ehingen_DE_gid_2932924","2932924","Q158523","","Ehingen","Ehingen <Donau>","Germany","Baden-Wurttemberg","48.28259","9.72749","48.28259, 9.72749",""
"eibelstadt_DE_gid_2932748","2932748","Q481834","","Eibelstadt","Eibelstadt bei Würzburg","Germany","Bavaria","49.72392","9.99962","49.72392, 9.99962",""
"eichstätt_DE_gid_2932069","2932069","Q252772","0b0c45f3-94cb-4a8f-aff9-8abe3692e1fa","Eichstätt","Eichstätt","Germany","Bavaria","48.88854","11.19675","48.88854, 11.19675",""
"markt_einersheim_DE_gid_2931784","2931784","Q504866","","Markt Einersheim","Markt Einersheim","Germany","Bavaria","49.68663","10.29155","49.68663, 10.29155",""
"eisleben_lutherstadt_DE_gid_7284571","7284571","Q484870","2d3969ad-a98e-46d5-94ab-1da11b7c8a8f","Eisleben Lutherstadt","Eisleben","Germany","Saxony-Anhalt","51.52754","11.54835","51.52754, 11.54835",""
"erfurt_DE_gid_2929670","2929670","Q1729","0edba06b-9e04-4aeb-ad37-bca1fd8a5e73","Erfurt","Erfurt","Germany","Thuringia","50.9787","11.03283","50.9787, 11.03283",""
"eschenbach_DE_gid_2929087","2929087","Q1366984","","Eschenbach","Eschenbach","Germany","Saxony","50.36802","12.32089","50.36802, 12.32089",""
"esslingen_DE_gid_2928751","2928751","Q3786","14a45b39-f934-4f5a-9ab5-97de49a23304","Esslingen am Neckar","Eßlingen","Germany","Baden-Wurttemberg","48.73961","9.30473","48.73961, 9.30473",""
"ettlingen_DE_gid_2928615","2928615","Q14893","3eee4674-13a1-4ea5-8bb5-5f1e6947093e","Ettlingen","Ettlingen, Baden","Germany","Baden-Wurttemberg","48.94094","8.40763","48.94094, 8.40763",""
"eythra_DE_gid_2928237","2928237","Q1385919","","Eythra","Eytra, near Leipzig","Germany","Saxony","51.23046","12.29497","51.23046, 12.29497",""
"feldkirch_AT_gid_2779674","2779674","Q183104","f97fc61c-218f-427e-b1c5-04452de1a4a1","Feldkirch","Feldkirch","Austria","Vorarlberg","47.23306","9.6","47.23306, 9.6",""
"feldlager_bei_herrenberg_gid_unknown","Unknown","","68a8a8b2-901f-4560-abbb-2fc0e3122075","Feldlager bei Herrenberg","Feldlager bei Herrenberg","Germany","Baden-Wurttemberg","48.59523","8.86648","48.59523, 8.86648","LL for Herrenberg"
"ferrara_IT_gid_3177090","3177090","Q13362","e892fbd4-d86d-452c-a1a7-9863e5a1310c","Ferrara","Ferrara","Italy","Emilia-Romagna","44.84346","11.60868","44.84346, 11.60868",""
"florence_IT_gid_3176959","3176959","Q2044","e516929c-1183-45d7-a00b-48c174ce8d5f","Florence","Florenz","Italy","Tuscany","43.77925","11.24626","43.77925, 11.24626",""
"forchheim_DE_gid_2925910","2925910","Q16116","2f7f9747-5b31-4655-96d8-c2aa8ca5e019","Forchheim","Forchheim","Germany","Bavaria","49.71754","11.05877","49.71754, 11.05877",""
"frankfurt_am_main_DE_gid_2925533","2925533","Q1794","7fd0970e-bae1-4865-bdbf-e993d1bfa883","Frankfurt am Main","Frankfurt a. M. // Frankfurt","Germany","Hesse","50.11552","8.68417","50.11552, 8.68417",""
"freiberg_DE_gid_2925192","2925192","Q14819","044d76df-1164-4126-95e6-2a80ebfe81f0","Freiberg","Freiberg i. S.","Germany","Saxony","50.91089","13.33881","50.91089, 13.33881",""
"freiburg_DE_gid_2925177","2925177","Q2833","8fc7fd47-a0ab-4591-aab4-44a642b6b389","Freiburg im Breisgau","Freiburg i. Br.","Germany","Baden-Wurttemberg","47.9959","7.85222","47.9959, 7.85222",""
"fürth_DE_gid_2923544","2923544","Q3075","03b0565b-fadd-44be-bb10-d70c7a63eb3d","Fürth","Fürth","Germany","Bavaria","49.47593","10.98856","49.47593, 10.98856",""
"garmisch_partenkirchen_DE_gid_2922530","2922530","Q127043","7bde9e88-dde4-4ba6-9f14-c1a8a0bc5d2d","Garmisch-Partenkirchen","Partenkirchen","Germany","Bavaria","47.49209","11.09576","47.49209, 11.09576",""
"geisenfeld_abbey_DE_gid_unknown","Unknown","Q1332626","5d1d9fed-733d-49fa-b5b4-5cd05caca548","Geisenfeld Abbey","Kloster Geisenfeld","Germany","Bavaria","48.6833","11.6135","48.6833, 11.6135","LL from Klosterdatenbank GS"
"gemmingen_DE_gid_2921389","2921389","Q518786","","Gemmingen","Gemmingen","Germany","Baden-Wurttemberg","49.15639","8.98194","49.15639, 8.98194",""
"genève_CH_gid_2660646","2660646","Q71","23f83a00-87f3-4ea4-afa2-f5e00b2f510c","Geneva","Genf","Switzerland","Geneva","46.20222","6.14569","46.20222, 6.14569",""
"kloster_georgenthal_DE_gid_unknown","Unknown","Q1447960","ef1dc4e4-2685-4f22-8f04-aac8ba7f7f8d","Kloster Georgenthal","Georgenthal","Germany","Thuringia","50.828889","10.659167","50.828889, 10.659167","LL from Klosterdatenbank GS"
"gernsbach_DE_gid_2920997","2920997","Q520119","","Gernsbach","Gernsbach","Germany","Baden-Wurttemberg","48.77034","8.34306","48.77034, 8.34306",""
"gesslingen_AT_gid_2778617","2778617","","","Gesslingen","Geßlingen","Austria","Upper Austria","47.95","13.4","47.95, 13.4",""
"gmunden_AT_gid_2778436","2778436","Q430449","ab1817da-90dc-40f0-ad76-6dbf7a2da734","Gmunden","Gmunden","Austria","Upper Austria","47.91839","13.79933","47.91839, 13.79933",""
"göppingen_DE_gid_2919054","2919054","Q4072","756541eb-2588-492d-a1a1-97b45ffaf226","Göppingen","Göppingen","Germany","Baden-Wurttemberg","48.70354","9.65209","48.70354, 9.65209",""
"granada_ES_gid_2517117","2517117","Q8810","66066872-3054-4c06-a4b0-6e3eab3e01bd","Granada","Granada","Spain","Andalusia","37.18817","-3.60667","37.18817, -3.60667",""
"graz_AT_gid_2778067","2778067","Q13298","a85c3b1a-c83a-4816-9f94-167b03901a4b","Graz","Graz","Austria","Styria","47.06667","15.45","47.06667, 15.45",""
"groß_steinheim_DE_gid_2915003","2915003","Q1574216","","Groß Steinheim","Groß-Steinheim (heute zu Hanau)","Germany","Hesse","50.1","8.91667","50.1, 8.91667",""
"habach_DE_gid_2913069","2913069","Q302477","","Habach","Heybach bei Huglfing (Oberbayern)","Germany","Bavaria","47.73333","11.28333","47.73333, 11.28333",""
"haguenau_FR_gid_3014078","3014078","Q22730","be80b297-bf9d-479a-882c-eb2a53461727","Haguenau","Hagenau","France","Grand Est","48.81557","7.79051","48.81557, 7.79051",""
"halgehausen_DE_gid_2911550","2911550","Q1571011","","Halgehausen","Halgehausen bei Frankenberg/Hessen","Germany","Hesse","51.02847","8.94004","51.02847, 8.94004",""
"hall_in_tirol_AT_gid_2764958","2764958","Q302745","e90b95fd-c549-4327-a9d7-00a57de4d989","Hall in Tirol","Hall am Inn","Austria","Tyrol","47.28333","11.51667","47.28333, 11.51667",""
"harburg_DE_gid_2910686","2910686","Q503226","1604f5a5-4450-494e-9329-724407a22c10","Harburg","Harburg im Ries","Germany","Bavaria","48.78674","10.68927","48.78674, 10.68927",""
"heidelberg_DE_gid_2907911","2907911","Q2966","9c3a2db5-866f-4132-9279-86f04bc5de5e","Heidelberg","Heidelberg","Germany","Baden-Wurttemberg","49.40768","8.69079","49.40768, 8.69079",""
"heidingsfeld_DE_gid_2907755","2907755","Q1594381","","Heidingsfeld","Würzburg-Heidingsfeld","Germany","Bavaria","49.76109","9.9422","49.76109, 9.9422",""
"heilbronn_DE_gid_2907669","2907669","Q715","3c534da2-a27c-447e-b5ee-2fc71930af7d","Heilbronn","Heilbronn","Germany","Baden-Wurttemberg","49.13995","9.22054","49.13995, 9.22054",""
"herborn_DE_gid_2906199","2906199","Q18998","b763d6c3-3581-425a-a681-0afa5bf93a62","Herborn","Herborn, in Hesse","Germany","Hesse","50.68135","8.30369","50.68135, 8.30369",""
"herford_DE_gid_2906121","2906121","Q3971","a52d6483-6d78-4bcb-9242-43572d76b0f9","Herford","Herford","Germany","North Rhine-Westphalia","52.11457","8.67343","52.11457, 8.67343",""
"hilpoltstein_DE_gid_2904638","2904638","Q521132","986f5a47-9e33-49c8-955c-f295bf97a535","Hilpoltstein","Hilpoltstein","Germany","Bavaria","49.19047","11.1906","49.19047, 11.1906",""
"höchstädt_an_der_donau_DE_gid_2903012","2903012","Q505909","","Höchstädt an der Donau","Höchstadt/Donau","Germany","Bavaria","48.61124","10.56816","48.61124, 10.56816",""
"hollfeld_DE_gid_2900453","2900453","Q503048","dd9a06b2-54a5-4b4e-b59c-3893697cc307","Hollfeld","Hollfeld","Germany","Bavaria","49.93793","11.29153","49.93793, 11.29153",""
"holzheim_DE_gid_2899723","2899723","Q558945","","Holzheim","Holzheim bei Dillingen","Germany","Bavaria","48.51422","10.53057","48.51422, 10.53057",""
"horb_am_neckar_DE_gid_2899101","2899101","Q82690","4dd52f92-3c0d-46e5-b937-a2d3c1026fe7","Horb am Neckar","Horb","Germany","Baden-Wurttemberg","48.44423","8.6913","48.44423, 8.6913",""
"hueb_AT_gid_11695625","11695625","","","Hueb","Hueb bei Steyr (Oberösterreich)","Austria","Upper Austria","48.12611","13.67944","48.12611, 13.67944",""
"ingolstadt_DE_gid_2895992","2895992","Q3004","4645882d-a2d0-42d4-8708-b4ebff8079f0","Ingolstadt","Ingolstadt","Germany","Bavaria","48.76508","11.42372","48.76508, 11.42372",""
"innsbruck_AT_gid_2775220","2775220","Q1735","4d40a2e5-c5c8-4856-977c-1de8f6477a86","Innsbruck","Innsbruck","Austria","Tyrol","47.26266","11.39454","47.26266, 11.39454",""
"isny_im_allgäu_DE_gid_2895638","2895638","Q513446","5612711e-ff2d-4bb9-923e-bd7c2347eba4","Isny im Allgäu","Isny im Allgäu","Germany","Baden-Wurttemberg","47.6926","10.03857","47.6926, 10.03857",""
"jena_DE_gid_2895044","2895044","Q3150","f1ef71d6-9558-4ecf-aa3a-b75f977879f8","Jena","Jena","Germany","Thuringia","50.92878","11.5899","50.92878, 11.5899",""
"kaisheim_DE_gid_2893983","2893983","Q505166","13a84ea0-ef7f-4caf-bb50-640e2864c94e","Kaisheim","Kaisheim","Germany","Bavaria","48.76751","10.79639","48.76751, 10.79639",""
"kalbensteinberg_DE_gid_2893928","2893928","Q1214913","ecd60fae-4c4f-4d62-a5eb-62de014ab708","Kalbensteinberg","Kalbensteinberg","Germany","Bavaria","49.17645","10.84607","49.17645, 10.84607",""
"kaliningrad_RU_gid_554234","554234","Q1829","98478140-cc40-4bb9-93fb-696034e9abed","Kaliningrad","Königsberg","Russia","Kaliningrad Oblast","54.70649","20.51095","54.70649, 20.51095",""
"kamenz_DE_gid_2893437","2893437","Q81722","","Kamenz","Kamenz","Germany","Saxony","51.26798","14.09374","51.26798, 14.09374",""
"kappel_CH_gid_2660189","2660189","Q64589","","Kappel","Kappel am Albis","Switzerland","Zurich","47.22811","8.52727","47.22811, 8.52727",""
"karlstadt_DE_gid_2892786","2892786","Q507854","48ad303d-968e-4d87-8bc5-ff5cbb56eb49","Karlstadt am Main","Karlstadt","Germany","Bavaria","49.96034","9.77239","49.96034, 9.77239",""
"kirchehrenbach_DE_gid_2890592","2890592","Q502846","d906836f-c82a-4724-9a2b-9f5888678bfa","Kirchehrenbach","Kirchehrenbach","Germany","Bavaria","49.73333","11.15","49.73333, 11.15",""
"kirrweiler_DE_gid_2890278","2890278","Q654122","","Kirrweiler","Kirrweiler (Pfalz)","Germany","Rheinland-Pfalz","49.30124","8.16288","49.30124, 8.16288",""
"kitzingen_DE_gid_2890158","2890158","Q269447","162038eb-7e61-4c29-a9c6-d363ff37f1e5","Kitzingen","Kitzingen","Germany","Bavaria","49.73973","10.15072","49.73973, 10.15072",""
"kloster_hirsau_DE_gid_11398244","11398244","Q532415","b8dd8e11-b30c-4836-be8f-b9482545f3f0","Monastery Hirsau","Hirsau","Germany","Baden-Wurttemberg","48.7378","8.7321","48.7378, 8.7321",""
"kloster_schamhaupten_DE_gid_unknown","Unknown","Q1478284","06df1777-5c4b-4106-aa44-76095e27cc99","Monastery Schamhaupten","Kloster Schamhaupten","Germany","Bavaria","48.9138","11.5966","48.9138, 11.5966","LL from Klosterdatenbank GS"
"köln_DE_gid_2886242","2886242","Q365","d9b29744-9a05-49d8-babd-7837aa09f998","Cologne","Cologne","Germany","North Rhine-Westphalia","50.93333","6.95","50.93333, 6.95",""
"königstein_DE_gid_2885765","2885765","Q552122","44828b65-c460-4696-afc1-4dfda38d010b","Königstein","Königstein","Germany","Bavaria","49.60854","11.63143","49.60854, 11.63143",""
"konstanz_DE_gid_2885679","2885679","Q3834","9d77b933-b413-4312-9cb8-2a19810c3620","Konstanz","Konstanz","Germany","Baden-Wurttemberg","47.66033","9.17582","47.66033, 9.17582",""
"korčula_HR_gid_3197710","3197710","Q13289","","Korčula","Korčula","Croatia","Dubrovačko-Neretvanska Županija","42.96222","17.13694","42.96222, 17.13694",""
"kornburg_DE_gid_2885443","2885443","Q1784501","df00710b-6e09-4e71-ba66-3e412a1c9f98","Kornburg","Kornburg","Germany","Bavaria","49.35521","11.09885","49.35521, 11.09885",""
"kożuchów_PL_gid_3094832","3094832","Q142101","","Kożuchów","Freystadt/Niederschlesien","Poland","Lubusz","51.74558","15.59492","51.74558, 15.59492",""
"landau_an_der_isar_DE_gid_2881650","2881650","Q509536","","Landau an der Isar","Landau (Bavaria)","Germany","Bavaria","48.67249","12.69316","48.67249, 12.69316",""
"landau_in_der_pfalz_DE_gid_2881646","2881646","Q7052","14003ac6-86af-43c1-a869-c8668f9b4e15","Landau in der Pfalz","Landau (Pfalz)","Germany","Rheinland-Pfalz","49.19844","8.11692","49.19844, 8.11692",""
"langenargen_DE_gid_2881263","2881263","Q532326","a22918a2-a1ff-4153-b2de-1265e191e2a6","Langenargen","Langenargen","Germany","Baden-Wurttemberg","47.59858","9.54163","47.59858, 9.54163",""
"langenburg_DE_gid_2881128","2881128","Q82382","5835aa18-0927-4ede-b00a-ee8f7fc1327a","Langenburg","Langenburg","Germany","Baden-Wurttemberg","49.25401","9.85673","49.25401, 9.85673",""
"lanzendorf_DE_gid_2880468","2880468","Q1265344","","Lanzendorf","Lanzendorf","Germany","Bavaria","50.05048","11.60096","50.05048, 11.60096",""
"lauf_an_der_pegnitz_DE_gid_2880144","2880144","Q504334","1fb6ff83-2f25-4a9d-93cf-31122428920b","Lauf an der Pegnitz","Lauf","Germany","Bavaria","49.51386","11.28247","49.51386, 11.28247",""
"laufenburg_DE_gid_2880121","2880121","Q539801","e9169d92-3cb2-42bc-8938-eef85f4c040b","Laufenburg","Laufenberg","Germany","Baden-Wurttemberg","47.56512","8.06045","47.56512, 8.06045",""
"leipzig_DE_gid_2879139","2879139","Q2079","cf503b96-fb56-466f-b30b-41e90704b00b","Leipzig","Leipzig","Germany","Saxony","51.33962","12.37129","51.33962, 12.37129",""
