"send_date_year1","Total number of letters sent this year"
"","6"
"1510","2"
"1511","2"
"1512","1"
"1516","6"
"1517","13"
"1518","18"
"1519","32"
"1520","40"
"1521","55"
"1522","5"
"1523","7"
"1524","12"
"1525","5"
"1527","5"
"1528","3"
"1529","4"
"1530","3"
"1532","2"
"1536","3"
"1539","1"
