"Location Name","Latitude","Longitude","Number of correspondents Erasmus writes to","Number of letters written by Erasmus","Average Number of letters per correspondent"
"Dillingen an der Donau","48.58153","10.49528","1","3","3.0000"
"Easthampstead","51.4007","-0.76355","1","2","2.0000"
"Emmerich","51.83933","6.24792","1","1","1.0000"
"Ensisheim","47.86695","7.35212","1","1","1.0000"
"Franeker","53.18546","5.54123","1","1","1.0000"
"Frombork","54.35766","19.68029","1","1","1.0000"
"Gembloux","50.56149","4.69889","1","1","1.0000"
"Gentilly","48.81294","2.3417","1","3","3.0000"
"Glarus","47.04057","9.06804","1","1","1.0000"
"Glastonbury Abbey","51.14605","-2.71474","1","1","1.0000"
"Gorinchem","51.83652","4.97243","1","1","1.0000"
"Gotha","50.94823","10.70193","1","2","2.0000"
"Grande Chartreuse","45.3634","5.79359","1","1","1.0000"
"Grandson","46.80946","6.646","1","1","1.0000"
"Schloss Hambach","50.89903","6.44452","1","1","1.0000"
"Hampton Court Palace","51.40309","-0.33697","1","1","1.0000"
"Holyrood Palace in Edinburgh","55.9526083","-3.1718239","1","1","1.0000"
"Houtem","51.01077","2.60946","1","3","3.0000"
"Innsbruck","47.26266","11.39454","1","3","3.0000"
"Jena","50.92878","11.5899","1","1","1.0000"
"Kortrijk","50.82803","3.26487","1","7","7.0000"
"Kostelec nad Labem","50.22653","14.58552","1","2","2.0000"
"Kroměříž","49.29785","17.39312","1","5","5.0000"
"Lambeth","51.49635","-0.11152","1","3","3.0000"
"Landbeach","52.26448","0.16226","1","7","7.0000"
"Langenargen","47.59858","9.54163","1","2","2.0000"
"Leiden","52.15833","4.49306","1","1","1.0000"
"Lens St. Croix","50.51894","5.23284","1","1","1.0000"
"Monastery Lopsen","52.1616039439175","4.48927148421804","1","14","14.0000"
"Lützel Abbey","47.42175480339986","7.2463864585907","1","1","1.0000"
"Lyon","45.74846","4.84671","1","1","1.0000"
"Manoir la Cour-des-Pins","47.69815","-0.07553","1","1","1.0000"
"Marburg","50.80904","8.77069","1","1","1.0000"
"Metz","49.11911","6.17269","1","1","1.0000"
"Monastery Bois-Saint-Martin //  St Maartensbos","50.803859","3.820659","1","2","2.0000"
"Monastery Hugshofen","48.3494","7.2828","1","4","4.0000"
"Montbéliard","47.51667","6.8","1","1","1.0000"
"Montpellier","43.61092","3.87723","1","2","2.0000"
"The More Palace","51.6343","-0.439356","1","1","1.0000"
"Mulhouse","47.75","7.33333","1","1","1.0000"
"Munich","48.13743","11.57549","1","2","2.0000"
"Murano","45.45857","12.35683","1","1","1.0000"
"Naples","40.85631","14.24641","1","1","1.0000"
"Nozeroy","46.77457","6.03636","1","2","2.0000"
"Ordingen","50.8132","5.23499","1","1","1.0000"
"Otford","51.31283","0.19046","1","1","1.0000"
"Palencia","42.00955","-4.52406","1","1","1.0000"
"Perugia","43.1122","12.38878","1","1","1.0000"
"Płock","52.54682","19.70638","1","4","4.0000"
"Reggio nell'Emilia","44.69825","10.63125","1","1","1.0000"
"Rochester","51.38764","0.50546","1","12","12.0000"
"Saint-Bel Castle","45.81196","4.598472","1","1","1.0000"
"Saint-Germain-des-Prés","48.85377","2.33331","1","3","3.0000"
"Salamanca","40.96882","-5.66388","1","1","1.0000"
"Schneeberg","50.59465","12.64139","1","1","1.0000"
"Siena","43.31822","11.33064","1","1","1.0000"
"Sion Abbey","52.00444444","4.161666667","1","1","1.0000"
"Sopron","47.68501","16.59049","1","1","1.0000"
