"Location Name","Latitude","Longitude","Number of years Erasmus writes letters to this location","Number of letters written by Erasmus to this location","Average Number of Letters written by Erasmus to this location per year"
"Lochau","51.39738","12.05303","5","12","2.4000"
"Überlingen","47.76977","9.17136","4","5","1.2500"
"Monastery Lopsen","52.18","4.46944","4","14","3.5000"
"Mainz","49.98419","8.2791","4","9","2.2500"
"Alcalá de Henares","40.4165","-3.70256","4","7","1.7500"
"Gouda","52.01667","4.70833","4","6","1.5000"
"Vollenhove","52.68083","5.95417","4","11","2.7500"
"Cambrai","50.16667","3.23333","4","4","1.0000"
"Stuttgart","48.78232","9.17702","4","5","1.2500"
"Toulouse","43.60426","1.44367","4","4","1.0000"
"Worms","49.63278","8.35916","4","10","2.5000"
"Kroměříž","49.29785","17.39312","4","5","1.2500"
"Milano","45.46427","9.18951","4","6","1.5000"
"Mussy-sur-Seine","47.97791","4.49743","3","5","1.6667"
"Płock","52.54682","19.70638","3","4","1.3333"
"Burgos","42.35022","-3.67527","3","4","1.3333"
"Tournai","50.60715","3.38932","3","4","1.3333"
"Tübingen","48.52266","9.05222","3","3","1.0000"
"Wrocław","51.1","17.03333","3","4","1.3333"
"Lambeth","51.49635","-0.11152","3","3","1.0000"
"Monastery Hugshofen","48.3494","7.2828","3","4","1.3333"
"Piotrków Trybunalski","51.40547","19.70321","3","6","2.0000"
"Unknown Location in Switzerland","0","0","3","4","1.3333"
"Ingolstadt","48.76508","11.42372","3","3","1.0000"
"Zwolle","52.5125","6.09444","3","3","1.0000"
"Bourges","47.08333","2.4","3","6","2.0000"
"Porrentruy","47.41533","7.07522","3","4","1.3333"
"Calais","50.95194","1.85635","3","4","1.3333"
"Chemnitz","50.8357","12.92922","3","3","1.0000"
"Torgau","51.56016","12.99617","3","3","1.0000"
"Unknown Location in Belgium","0","0","3","3","1.0000"
"Genoa","44.4264","8.91519","3","3","1.0000"
"Heidelberg","49.40768","8.69079","3","3","1.0000"
"Winchester","51.06513","-1.3187","3","3","1.0000"
"Innsbruck","47.26266","11.39454","3","3","1.0000"
"Zeitz","51.04962","12.1369","3","3","1.0000"
"Büderich","51.63","6.57959","3","5","1.6667"
"Haarlem","52.38084","4.63683","3","4","1.3333"
"Leeuwarden","53.20139","5.80859","3","5","1.6667"
"Monastery Bois-Saint-Martin //  St Maartensbos","50.80371","3.82541","2","2","1.0000"
"Amsterdam","52.37403","4.88969","2","2","1.0000"
"Dillingen an der Donau","48.58153","10.49528","2","3","1.5000"
"Saint Sulpice Abbey","45.89341","5.59736","2","3","1.5000"
"Weinsberg","49.15127","9.28762","2","2","1.0000"
"Ottobeuren","47.9413","10.29971","2","2","1.0000"
"Arras","50.29301","2.78186","2","2","1.0000"
"Orléans","47.90289","1.90389","2","7","3.5000"
"Boppard","50.23085","7.58992","2","3","1.5000"
"Chelsea","51.48755","-0.16936","2","2","1.0000"
"Como","45.80079","9.08065","2","2","1.0000"
"Dole","47.1","5.5","2","3","1.5000"
"Gotha","50.94823","10.70193","2","2","1.0000"
"Koblenz","50.35357","7.57884","2","2","1.0000"
"Landbeach","52.26448","0.16226","2","7","3.5000"
"Blois","47.58333","1.33333","2","3","1.5000"
"Buda","47.5","19.03333","2","2","1.0000"
"Saint-Germain-des-Près","48.85377","2.33331","2","3","1.5000"
"Unknown Location in Italy","0","0","2","2","1.0000"
"Unknown Location in the Franche-Comté","0","0","2","2","1.0000"
"Groningen","53.21917","6.56667","2","2","1.0000"
"Lisbon","38.71667","-9.13333","2","2","1.0000"
"Aachen","50.77664","6.08342","2","3","1.5000"
"Bergen op Zoom","51.495","4.29167","2","2","1.0000"
"Passau","48.5665","13.43122","2","2","1.0000"
"Bourg-en-Bresse","46.20574","5.2258","2","2","1.0000"
"Sevilla","37.38283","-5.97317","2","3","1.5000"
"Chambéry","45.56667","5.93333","2","2","1.0000"
"Saint Séverin Abbey of Château Landon","48.14721","2.69754","2","2","1.0000"
"Ferrara","44.84346","11.60868","2","2","1.0000"
"Gentilly","48.81294","2.3417","2","3","1.5000"
"Gniezno","52.53481","17.58259","2","2","1.0000"
"Unknown Location in the Netherlands","0","0","2","2","1.0000"
"Windsor Castle","51.48365","-0.60502","2","2","1.0000"
"Abbey Saint-Martin-de-l'Île-Barbe","45.79784","4.83321","2","2","1.0000"
"The More Palace","51.6295","-0.43412","1","1","1.0000"
"Arlon","49.68333","5.81667","1","1","1.0000"
"Baden","47.47333","8.30592","1","1","1.0000"
"Ordingen","50.8132","5.23499","1","1","1.0000"
"Bern","46.94809","7.44744","1","1","1.0000"
"Bonn","50.73438","7.09548","1","1","1.0000"
"Perugia","43.1122","12.38878","1","1","1.0000"
"Bratislava","48.14816","17.10674","1","1","1.0000"
"Brühl","50.82928","6.90499","1","1","1.0000"
"Salamanca","40.96882","-5.66388","1","1","1.0000"
"Siena","43.31822","11.33064","1","1","1.0000"
"Chartres","48.44685","1.48925","1","1","1.0000"
"Schloss Steinheim","50.11298","8.90734","1","1","1.0000"
"Cluny Abbey","46.43318","4.65845","1","1","1.0000"
"Saint-Amand Abbey","50.44718","3.43076","1","3","3.0000"
"Emmerich","51.83933","6.24792","1","1","1.0000"
"Franeker","53.18546","5.54123","1","1","1.0000"
"Gembloux","50.56149","4.69889","1","1","1.0000"
"Gorinchem","51.83652","4.97243","1","1","1.0000"
"Grandson","46.80946","6.646","1","1","1.0000"
"Vic-sur-Seille","48.78204","6.53081","1","1","1.0000"
"Schloss Hambach","50.89903","6.44452","1","1","1.0000"
"Houtem","51.01077","2.60946","1","3","3.0000"
"Leiden","52.15833","4.49306","1","1","1.0000"
"Lyon","45.74846","4.84671","1","1","1.0000"
"Aberdeen","57.14369","-2.09814","1","1","1.0000"
"Anderlecht","50.83619","4.31454","1","1","1.0000"
"Mulhouse","47.75","7.33333","1","1","1.0000"
"Napoli","40.85631","14.24641","1","1","1.0000"
"Palencia","42.00955","-4.52406","1","1","1.0000"
"Brescia","45.53558","10.21472","1","1","1.0000"
"Regensburg","49.01513","12.10161","1","3","3.0000"
"Saint-Bel Castle","45.811363","4.601599","1","1","1.0000"
"Butzbach","50.43395","8.67122","1","1","1.0000"
"Schneeberg","50.59465","12.64139","1","1","1.0000"
"Canterbury","51.27904","1.07992","1","1","1.0000"
"Sion Abbey","52.01417","4.325","1","1","1.0000"
"Saint-Augustin-lès-Thérouanne Abbey","50.63871","2.39876","1","1","1.0000"
"Ensisheim","47.86695","7.35212","1","1","1.0000"
"Genève","46.20222","6.14569","1","2","2.0000"
"Glarus","47.04057","9.06804","1","1","1.0000"
"Valladolid","41.65518","-4.72372","1","1","1.0000"
"Hampton Court Palace","51.40309","-0.33697","1","1","1.0000"
"Wesel","51.6669","6.62037","1","2","2.0000"
"Woking","51.31903","-0.55893","1","1","1.0000"
"Kostelec nad Labem","50.22653","14.58552","1","2","2.0000"
"Linz","48.30639","14.28611","1","2","2.0000"
"Metz","49.11911","6.17269","1","1","1.0000"
"Montbéliard","47.51667","6.8","1","1","1.0000"
"Angoulême","45.65","0.15","1","1","1.0000"
"Munich","48.13743","11.57549","1","2","2.0000"
"Nozeroy","46.77457","6.03636","1","2","2.0000"
"Bayeux","49.27732","-0.7039","1","1","1.0000"
"Otford","51.31283","0.19046","1","1","1.0000"
"Bressanone","46.71503","11.65598","1","1","1.0000"
"Reggio nell'Emilia","44.69825","10.63125","1","1","1.0000"
"Sopron","47.68501","16.59049","1","1","1.0000"
"Courtebourne","50.79147","1.94752","1","1","1.0000"
"Saint-Hubert Abbey","50.02668","5.37401","1","1","1.0000"
"Trier","49.75565","6.63935","1","1","1.0000"
"Glastonbury Abbey","51.14605","-2.71474","1","1","1.0000"
"Veere","51.54833","3.66667","1","1","1.0000"
"Woodstock","51.8485","-1.35132","1","1","1.0000"
"Langenargen","47.59858","9.54163","1","2","2.0000"
"Lens St. Croix","50.51894","5.23284","1","1","1.0000"
"Lübeck","53.86893","10.68729","1","3","3.0000"
"Manoir la Cour-des-Pins","47.69815","-0.07553","1","1","1.0000"
"Middelburg","51.5","3.61389","1","4","4.0000"
"Altomünster Abbey","48.38844","11.2573","1","1","1.0000"
"Montpellier","43.61092","3.87723","1","2","2.0000"
"Murano","45.45857","12.35683","1","1","1.0000"
"Bologna","44.49381","11.33875","1","1","1.0000"
"Prague","50.08804","14.42076","1","3","3.0000"
"Denny Abbey","52.26553","0.19123","1","1","1.0000"
"Easthampstead","51.4007","-0.76355","1","2","2.0000"
"Trzebiatów","54.06147","15.26475","1","1","1.0000"
"Frombork","54.35766","19.68029","1","1","1.0000"
"Unknown Location in Poland","0","0","1","1","1.0000"
"Grande Chartreuse","45.363239","5.793583","1","1","1.0000"
"Waldburg Castle","47.7571","9.71342","1","1","1.0000"
"Holyrood Palace in Edinburgh","55.9526083","-3.1718239","1","1","1.0000"
"Jena","50.92878","11.5899","1","1","1.0000"
"Znojmo","48.8555","16.0488","1","1","1.0000"
"Lützel Abbey","47.42122","7.24608","1","1","1.0000"
"Marburg an der Lahn","50.80904","8.77069","1","1","1.0000"
