"Id","type","gender","Label","pob_loc_id","pob_loc_annotation","dob_year1","dob_computable1","dob_has_range","dob_year2","dob_computable2","pod_loc_id","pod_loc_annotation","dod_year1","dod_computable1","dod_has_range","dod_year2"
"21abf6bd-f800-417e-91eb-4d679dccaa60","individual","male","Petrus VULCANIUS [COE] // Petrus Vulcanius [CWE] // Vulcanius, Petrus [ALLEN]","brugge_BE_gid_2800931","Bruges","1503","1503-01-01","1","1503","1503-12-31","mechelen_BE_gid_2791537","Mechelen","1571","1571-01-01","1","1571"
"21da1a60-e039-47ca-b90f-4f733c442f16","individual","male","Nicolaus PRAEPOSITUS Edanus [COE] // Nicolaus Praepositus Edanus [CWE] // Praepositus, Nicholas [ALLEN]","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","1","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","1","NULL"
"2203a8e4-1fc5-4eb3-a532-1cca183aff96","individual","male","Sebastiano GIUSTINIANI [COE] // Sebastiano Giustiniani [CWE] // Giustinian, Sebastian [ALLEN]","venice_IT_gid_3164603","Venice","1459","1459-01-01","1","1459","1459-12-31","venice_IT_gid_3164603","Venice","1543","1543-03-13","0","1543"
"22058eb7-836e-4d11-8336-0f765cfd4629","individual","male","Simon LAGNIER [COE] // Simon Lagnier [CWE] // Lagnier, Simon (Leignierus) [ALLEN]","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","1","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","1","NULL"
"234c3605-b18b-40b1-b3d0-2a921bb9df2f","individual","male","Jean LANGE [COE] // Jean Lange [CWE] // Angelus, John [ALLEN]","unknown_location_in_the_argonne_FR_gid_unknown","Argonne","NULL","NULL","1","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","1","NULL"
"23bf97a6-cb46-4d73-952b-dbf9e27f6e3e","individual","male","Sebastian von ROTENHAN [COE] // Sebastian von Rotenhan [CWE] // Rotenhan, Sebastian [ALLEN]","rentweinsdorf_DE_gid_2848143","Rentweinsdorf, in Lower Franconia","1478","1478-01-01","1","1478","1478-12-31","rentweinsdorf_DE_gid_2848143","Rentweinsdorf, in Lower Franconia","1532","1532-06-01","1","1532"
"244158e1-14dc-421b-bf28-dee48e1e2128","individual","male","Jacobus APOCELLUS [COE] // Jacobus Apocellus [CWE] // Apocellus [ALLEN]","ubstadt_DE_gid_2820542","Ubstadt, near Bruchsal","NULL","NULL","0","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","1550","1550-01-01","1","1550"
"245d8968-8f80-46a3-a1d3-5c8807c7a9c7","individual","male","Rodrigo Tous de Monsalve","unknown_location_in_spain_ES_gid_unknown","Unknown","NULL","NULL","1","NULL","NULL","sevilla_ES_gid_2510911","Sevilla","1536","1536-10-01","1","1536"
"249047a8-a9e4-46ca-aff7-410a4999b64b","individual","male","Thomas VENATORIUS [COE] // Thomas Venatorius [CWE] // Venatorius, Thomas [ALLEN]","nürnberg_DE_gid_2861650","Nürnberg","1488","1488-01-01","1","1488","1488-12-31","nürnberg_DE_gid_2861650","Nürnberg","1551","1551-02-04","0","1551"
"25386e84-76c8-418b-9289-6d16558ddc5e","individual","male","Claes WARNERSZOON [COE] // Nicolaas Werner [CWE] // Werner, Nicholas [ALLEN]","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","1","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","1504","1504-09-05","0","1504"
"261ce577-d2bd-4ff2-beef-7a6fcd5e3256","individual","male","Lieven ALGOET [COE] // Lieven Algoet [CWE] // Algoet, Levinus or Livinus (Omnibinus, Panagethus) [ALLEN]","gent_BE_gid_2797656","Ghent","NULL","NULL","1","NULL","NULL","ulm_DE_gid_2820256","Ulm","1547","1547-01-25","0","1547"
"26433790-f53b-43f1-a737-eb3d85e4f12d","individual","male","Adolf GREVERADE [COE] // Greveradus [CWE] // Greverade [ALLEN]","lübeck_DE_gid_2875601","Lübeck","1452","1452-01-01","1","1452","1452-12-31","leuven_BE_gid_2792482","Löwen","1501","1501-01-01","1","1501"
"2664f782-3e78-47fb-b52f-1a50251f5f03","individual","male","Lucas BATHODIUS [COE] // Lucas Bathodius [CWE] // Bathodius, Lucas [ALLEN]","strasbourg_FR_gid_2973783","Strasbourg","1490","1490-01-01","1","1498","1498-12-31","strasbourg_FR_gid_2973783","Strasbourg","1554","1554-04-06","0","1554"
"26f04a8c-dc6b-48b6-8554-24ff65c9f05f","individual","male","Johann RINCK [COE] // Johann Rinck [CWE] // Rinck, Johann [ALLEN]","köln_DE_gid_2886242","Cologne","NULL","NULL","1","NULL","NULL","köln_DE_gid_2886242","prob. Cologne","1566","1566-01-01","1","1566"
"279a3c08-20f0-4b21-ab45-44b8d1dd576b","individual","male","Johann von RIEDT [COE] // Johann von Riedt [CWE] // Rheidt, John of [ALLEN]","köln_DE_gid_2886242","Cologne","1470","1470-01-01","1","1470","1470-12-31","unknown_location_XX_gid_unknown","Unknown","1535","1535-10-01","1","1535"
"27f7cad2-4b2d-4785-a7c3-2af2fd2a044f","individual","male","Georg SCHMOTZER [COE] // Georg Schmotzer [CWE] // Smotzer, Georg [ALLEN]","konstanz_DE_gid_2885679","Konstanz","NULL","NULL","1","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","1550","1550-01-06","1","NULL"
"284ed6d5-a734-471e-8134-0a2baafabf9a","individual","male","Simon GRYNAEUS [COE] // Simon Grynaeus [CWE] // Grynaeus, Simon [ALLEN]","veringendorf_DE_gid_2817582","Veringendorf","1493","1493-01-01","1","1493","1493-12-31","basel_CH_gid_2661604","Basel","1541","1541-08-01","0","1541"
