"send_date_year1","Total number of letters sent to Budé this year"
"NULL","5"
"1505","1"
"1510","1"
"1511","2"
"1516","3"
"1517","5"
"1518","7"
"1519","7"
"1520","10"
"1521","7"
"1524","2"
"1525","2"
"1526","1"
"1527","2"
"1528","2"
"1529","1"
"1530","1"
"1532","2"
"1533","2"
"1534","1"
"1536","3"
"1538","1"
"1539","1"
