"Id"	"geonames_id"	"locations_name_modern"	"locations_name_in_edition"	"locations_modern_state"	"locations_modern_province"	"locations_lat"	"locations_lng"	"locations_ll_combined"	"locations_further_annotation"
"geisenfeld_abbey_DE_gid_unknown"	"unknown"	"Geisenfeld Abbey"	"Kloster Geisenfeld"	"Germany"	"Bavaria"	"48.683256"	"11.613472"	"48.683256, 11.613472"	"LL for Kloster Geisenfeld (GeoHack)"
"genève_CH_gid_2660646"	"2660646"	"Genève"	"Genf"	"Switzerland"	"Geneva"	"46.20222"	"6.14569"	"46.20222, 6.14569"	NULL
"georgenthal_DE_gid_2921261"	"2921261"	"Georgenthal"	"Georgenthal"	"Germany"	"Thuringia"	"50.83205"	"10.66266"	"50.83205, 10.66266"	"LL for Georgenthal; Spalatinus wrote from the monastery situated there"
"gmunden_AT_gid_2778436"	"2778436"	"Gmunden"	"Gmunden"	"Austria"	"Upper Austria"	"47.91839"	"13.79933"	"47.91839, 13.79933"	NULL
"göppingen_DE_gid_2919054"	"2919054"	"Göppingen"	"Göppingen"	"Germany"	"Baden-Württemberg"	"48.70354"	"9.65209"	"48.70354, 9.65209"	NULL
"granada_ES_gid_2517117"	"2517117"	"Granada"	"Granada"	"Spain"	"Andalusia"	"37.18817"	"-3.60667"	"37.18817, -3.60667"	NULL
"graz_AT_gid_2778067"	"2778067"	"Graz"	"Graz"	"Austria"	"Styria"	"47.06667"	"15.45"	"47.06667, 15.45"	NULL
"haguenau_FR_gid_3014078"	"3014078"	"Haguenau"	"Hagenau"	"France"	"Alsace-Champagne-Ardenne-Lorraine"	"48.81557"	"7.79051"	"48.81557, 7.79051"	NULL
"hall_in_tirol_AT_gid_2764958"	"2764958"	"Hall in Tirol"	"Hall am Inn"	"Austria"	"Tyrol"	"47.28333"	"11.51667"	"47.28333, 11.51667"	NULL
"herford_DE_gid_2906121"	"2906121"	"Herford"	"Herford"	"Germany"	"North Rhine-Westphalia"	"52.11457"	"8.67343"	"52.11457, 8.67343"	NULL
"hilpoltstein_DE_gid_2904638"	"2904638"	"Hilpoltstein"	"Hilpoltstein"	"Germany"	"Bavaria"	"49.19047"	"11.1906"	"49.19047, 11.1906"	NULL
"hollfeld_DE_gid_2900453"	"2900453"	"Hollfeld"	"Hollfeld"	"Germany"	"Bavaria"	"49.93793"	"11.29153"	"49.93793, 11.29153"	NULL
"ingolstadt_DE_gid_2895992"	"2895992"	"Ingolstadt"	"Ingolstadt"	"Germany"	"Bavaria"	"48.76508"	"11.42372"	"48.76508, 11.42372"	NULL
"innsbruck_AT_gid_2775220"	"2775220"	"Innsbruck"	"Innsbruck"	"Austria"	"Tyrol"	"47.26266"	"11.39454"	"47.26266, 11.39454"	NULL
"jena_DE_gid_2895044"	"2895044"	"Jena"	"Jena"	"Germany"	"Thuringia"	"50.92878"	"11.5899"	"50.92878, 11.5899"	NULL
"kalbensteinberg_DE_gid_2893928"	"2893928"	"Kalbensteinberg"	"Kalbensteinberg"	"Germany"	"Bavaria"	"49.17645"	"10.84607"	"49.17645, 10.84607"	NULL
"kirchehrenbach_DE_gid_2890592"	"2890592"	"Kirchehrenbach"	"Kirchehrenbach"	"Germany"	"Bavaria"	"49.73333"	"11.15"	"49.73333, 11.15"	NULL
"kitzingen_DE_gid_2890158"	"2890158"	"Kitzingen"	"Kitzingen"	"Germany"	"Bavaria"	"49.73973"	"10.15072"	"49.73973, 10.15072"	NULL
"köln_DE_gid_2886242"	"2886242"	"Köln"	"Cologne"	"Germany"	"North Rhine-Westphalia"	"50.93333"	"6.95"	"50.93333, 6.95"	NULL
"königstein_DE_gid_2885765"	"2885765"	"Königstein"	"Königstein"	"Germany"	"Bavaria"	"49.60854"	"11.63143"	"49.60854, 11.63143"	"Since Johann Pöll worked for the bishop of Eichstätt, only the Königstein in Bavaria makes sense"
"kornburg_DE_gid_2885443"	"2885443"	"Kornburg"	"Kornburg"	"Germany"	"Bavaria"	"49.35521"	"11.09885"	"49.35521, 11.09885"	NULL
"landau_in_der_pfalz_DE_gid_2881646"	"2881646"	"Landau in der Pfalz"	"Landau (Pfalz)"	"Germany"	"Rheinland-Pfalz"	"49.19844"	"8.11692"	"49.19844, 8.11692"	NULL
"langenburg_DE_gid_2881128"	"2881128"	"Langenburg"	"Langenburg"	"Germany"	"Baden-Württemberg"	"49.25401"	"9.85673"	"49.25401, 9.85673"	NULL
"lauf_an_der_pegnitz_DE_gid_2880144"	"2880144"	"Lauf an der Pegnitz"	"Lauf"	"Germany"	"Bavaria"	"49.51386"	"11.28247"	"49.51386, 11.28247"	"Only this Lauf makes sence, since it is near Nürnberg"
"leipzig_DE_gid_2879139"	"2879139"	"Leipzig"	"Leipzig"	"Germany"	"Saxony"	"51.33962"	"12.37129"	"51.33962, 12.37129"	NULL
"leuven_BE_gid_2792482"	"2792482"	"Leuven"	"Löwen"	"Belgium"	"Flemish"	"50.87959"	"4.70093"	"50.87959, 4.70093"	NULL
"lichtenau_DE_gid_8629617"	"8629617"	"Lichtenau"	"Lichtenau // Lichtenau b. Ansbach"	"Germany"	"Bavaria"	"49.27746"	"10.68674"	"49.27746, 10.68674"	NULL
"lindau_DE_gid_2877550"	"2877550"	"Lindau"	"Lindau"	"Germany"	"Bavaria"	"47.54612"	"9.68431"	"47.54612, 9.68431"	NULL
"linz_AT_gid_2772400"	"2772400"	"Linz"	"Linz"	"Austria"	"Upper Austria"	"48.30639"	"14.28611"	"48.30639, 14.28611"	NULL
"mainz_DE_gid_2874225"	"2874225"	"Mainz"	"Mainz"	"Germany"	"Rheinland-Pfalz"	"49.98419"	"8.2791"	"49.98419, 8.2791"	NULL
"mainz_st_viktorsberg_DE_gid_unknown"	"Unknown"	"Mainz-St. Viktorsberg"	"Mainz-St. Viktorsberg"	"Germany"	"Rheinland-Pfalz"	"49.98419"	"8.2791"	"49.98419, 8.2791"	"This place refers to the place where Franz Beheme had his 'Offizien', thaht is near the 'St. Viktor in Weisenau', the latter being a part of Mainz // LL for Mainz"
"marienburg_abbey_DE_gid_unknown"	"Unknown"	"Marienburg Abbey"	"Marienburg"	"Germany"	"Bavaria"	"49.235"	"10.965278"	"49.235, 10.965278"	"LL for Kloster Marienburg (Abenberg) (GeoHack)"
"marienstein_abbey_DE_gid_unknown"	"unknown"	"Marienstein Abbey"	"Kloster Marienstein"	"Germany"	"Bavaria"	"48.893031"	"11.162989"	"48.893031, 11.162989"	"LL for Kloster Marienstein (GeoHack)"
"milano_IT_gid_3173435"	"3173435"	"Milano"	"Mailand"	"Italy"	"Lombardy"	"45.46427"	"9.18951"	"45.46427, 9.18951"	NULL
"mirandola_IT_gid_3173370"	"3173370"	"Mirandola"	"Mirandola"	"Italy"	"Emilia-Romagna"	"44.88515"	"11.06902"	"44.88515, 11.06902"	NULL
