"Id"	"geonames_id"	"locations_name_modern"	"locations_name_in_edition"	"locations_modern_state"	"locations_modern_province"	"locations_lat"	"locations_lng"	"locations_ll_combined"	"locations_further_annotation"
"neustadt_an_der_aisch_DE_gid_2864057"	"2864057"	"Neustadt an der Aisch"	"Neustadt an der Aisch"	"Germany"	"Bavaria"	"49.57953"	"10.61126"	"49.57953, 10.61126"	NULL
"nördlingen_DE_gid_2861914"	"2861914"	"Nördlingen"	"Nördlingen"	"Germany"	"Bavaria"	"48.85122"	"10.48868"	"48.85122, 10.48868"	NULL
"nürnberg_DE_gid_2861650"	"2861650"	"Nürnberg"	"Nürnberg"	"Germany"	"Bavaria"	"49.45421"	"11.07752"	"49.45421, 11.07752"	NULL
"nürnberg_klarissenkloster_st_klara_DE_gid_unknown"	"unknown"	"Klarissenkloster St. Klara"	"Nürnberg, Klarakloster"	"Germany"	"Bavaria"	"49.448611"	"11.079444"	"49.448611, 11.079444"	"LL for Klarissenkloster St. Klara (Nürnberg) (GeoHack)"
"padova_IT_gid_3171728"	"3171728"	"Padova"	"Padua"	"Italy"	"Veneto"	"45.40797"	"11.88586"	"45.40797, 11.88586"	NULL
"pavia_IT_gid_3171366"	"3171366"	"Pavia"	"Pavia"	"Italy"	"Lombardy"	"45.19205"	"9.15917"	"45.19205, 9.15917"	NULL
"pfunds_AT_gid_2768905"	"2768905"	"Pfunds"	"Pfunds"	"Austria"	"Tyrol"	"46.96667"	"10.55"	"46.96667, 10.55"	NULL
"ravensburg_DE_gid_2849802"	"2849802"	"Ravensburg"	"Ravensburg"	"Germany"	"Baden-Württemberg"	"47.78198"	"9.61062"	"47.78198, 9.61062"	NULL
"rome_IT_gid_3169070"	"3169070"	"Rome"	"Rom // Rome"	"Italy"	"Latium"	"41.89193"	"12.51133"	"41.89193, 12.51133"	NULL
"schweinfurt_DE_gid_2834498"	"2834498"	"Schweinfurt"	"Schweinfurt in Franken"	"Germany"	"Bavaria"	"50.04937"	"10.22175"	"50.04937, 10.22175"	NULL
"sélestat_FR_gid_2975233"	"2975233"	"Sélestat"	"Schlettstadt"	"France"	"Alsace-Champagne-Ardenne-Lorraine"	"48.26667"	"7.45"	"48.26667, 7.45"	NULL
"speyer_DE_gid_2830582"	"2830582"	"Speyer"	"Speier"	"Germany"	"Rheinland-Pfalz"	"49.32083"	"8.43111"	"49.32083, 8.43111"	NULL
"strasbourg_FR_gid_2973783"	"2973783"	"Strasbourg"	"Straßburg // Strasbourg"	"France"	"Alsace-Champagne-Ardenne-Lorraine"	"48.58342"	"7.74296"	"48.58342, 7.74296"	NULL
"stuttgart_DE_gid_2825297"	"2825297"	"Stuttgart"	"Stuttgart"	"Germany"	"Baden-Württemberg"	"48.78232"	"9.17702"	"48.78232, 9.17702"	NULL
"tübingen_DE_gid_2820860"	"2820860"	"Tübingen"	"Tübingen"	"Germany"	"Baden-Württemberg"	"48.52266"	"9.05222"	"48.52266, 9.05222"	NULL
"ulm_DE_gid_2820256"	"2820256"	"Ulm"	"Ulm"	"Germany"	"Baden-Württemberg"	"48.39841"	"9.99155"	"48.39841, 9.99155"	NULL
"venice_IT_gid_3164603"	"3164603"	"Venice"	"Venedig"	"Italy"	"Veneto"	"45.43713"	"12.33265"	"45.43713, 12.33265"	NULL
"vienna_AT_gid_2761369"	"2761369"	"Vienna"	"Wien"	"Austria"	"Vienna"	"48.20849"	"16.37208"	"48.20849, 16.37208"	NULL
"weinsberg_DE_gid_2812158"	"2812158"	"Weinsberg"	"Weinsberg"	"Germany"	"Baden-Württemberg"	"49.15127"	"9.28762"	"49.15127, 9.28762"	NULL
"wittenberg_DE_gid_7303020"	"7303020"	"Wittenberg"	"Wittenberg"	"Germany"	"Saxony-Anhalt"	"51.8661"	"12.64973"	"51.8661, 12.64973"	NULL
