"recipient_id","name_in_edition","Beginning of the correspondence","End of the correspondence"
"1ac5ba29-b684-4cea-aab0-23a9d291b6b1","Joost LAUWEREYNS [COE] // Joost Lauwereyns [CWE] // Laurens, Josse [ALLEN]","1522-07-14","1522-07-14"
"1b1836fb-3dc5-4d1d-9ae3-3e48a36e2669","Johann WERTER [COE] // Johann Werter [CWE] // Werter, John [ALLEN]","1518-10-19","1518-10-19"
"1b8bb741-1363-437b-8fe5-1fbda78e3cec","Jean GROLIER [COE] // Jean Grolier [CWE] // Grolier, Jean [ALLEN]","1518-04-24","1518-04-24"
"1c7e6aba-e629-4f4d-b3f5-de44bc326088","Johann RUSER [COE] // Johann Ruser [CWE] // Ruser, John [ALLEN]","1517-07-20","1517-08-24"
"1e0ab208-783c-4319-a482-d5e835c2dbf6","Sebastian FRANCK [COE] // Sebastian Franck [CWE] // Eleutherius [ALLEN]","1531-03-06","1531-03-06"
"1e1ae6f2-0914-44b8-8154-f5ac9365b28a","Jean GLAPION [COE] // Jean Glapion [CWE] // Glapion, Joannes [ALLEN]","1522-04-21","1522-04-21"
"1eba0280-0dd8-4bfb-a431-384b231de486","William DANCASTER [COE] // William Dancaster [CWE] // Dancaster, William [ALLEN]","1519-10-16","1519-10-16"
"1f3849a4-dca7-428e-a37b-8b187af6e305","Nicolaas EVERAERTS [COE] // Nicolaas Everaerts [CWE] // Everard, Nicholas [ALLEN]","1520-04-17","1525-12-24"
"20917be1-e8c6-42e8-a44b-4e1eb2979ad1","Nicolas WARY [COE] // Nicolas Wary [CWE] // Varius, Nicolaus [ALLEN]","1526-09-26","1528-03-19"
"21abf6bd-f800-417e-91eb-4d679dccaa60","Petrus VULCANIUS [COE] // Petrus Vulcanius [CWE] // Vulcanius, Petrus [ALLEN]","1531-03-18","1533-04-20"
"21da1a60-e039-47ca-b90f-4f733c442f16","Nicolaus PRAEPOSITUS Edanus [COE] // Nicolaus Praepositus Edanus [CWE] // Praepositus, Nicholas [ALLEN]","1519-12-19","1519-12-19"
"22058eb7-836e-4d11-8336-0f765cfd4629","Simon LAGNIER [COE] // Simon Lagnier [CWE] // Lagnier, Simon (Leignierus) [ALLEN]","1533-11-19","1533-11-19"
"23bf97a6-cb46-4d73-952b-dbf9e27f6e3e","Sebastian von ROTENHAN [COE] // Sebastian von Rotenhan [CWE] // Rotenhan, Sebastian [ALLEN]","1520-08-13","1520-08-13"
