"sender_id","name_in_edition","Beginning of the correspondence","End of the correspondence"
"16a343c1-56cb-4b8a-b402-f310dcab4b82","Justin GOBLER [COE] // Justin Gobler [CWE] // Gobler, Justin [ALLEN]","1528-02-05","1528-02-05"
"df6be048-d22c-46c1-8340-76a046e57c57","Theoderich ZOBEL von Giebelstadt [COE] // Theoderich Zobel von Giebelstadt [CWE] // Zobel, Theodoric [ALLEN]","1528-02-09","1528-02-09"
"8e07d34d-6711-4ff0-8160-219d3587c5a1","Gerard MORINCK [COE] // Gerard Morinck [CWE] // Moringus, Gerardus [ALLEN]","1528-05-08","1528-05-08"
"d5b7bd92-e754-49d0-a8ce-b06a6935cc5c","Hieronymus ARTOLF [COE] // Hieronymus Artolf [CWE] // Artolbius, Hieronymus of Chur (Rhetus, Rethus) [ALLEN]","1528-07-22","1528-07-22"
"cba9c1dd-6f5b-4e06-8455-cdc540bc0686","Philippus MONTANUS [COE] // Philippus Montanus [CWE] // Montanus, Philippus (Montius) [ALLEN]","1528-10-13","1528-10-13"
"aeb7e93b-f93a-49ae-aa61-deb455690bc3","Benedikt BURGAUER [COE] // Benedikt Burgauer [CWE] // Burgower, Benedict [ALLEN]","1528-10-16","1528-10-16"
"69f6d19c-a959-4777-bb5b-baaf425da484","Georgius AMELIUS [COE] // Georgius Amelius [CWE] // Amelius, Georgius [ALLEN]","1529-02-03","1529-02-03"
"954a3930-7442-44da-901e-4b872ae22f6e","Martinus BOVOLINUS [COE] // Martinus Bovolinus [CWE] // Bovollinus, Martin [ALLEN]","1529-02-15","1530-06-29"
"f48a64d1-5bd2-4932-8753-fc445db2caff","Felix REX [COE] // Felix Rex [CWE] // Rex Polyphemus, Felix [ALLEN]","1529-03-23","1529-03-23"
"45708f87-132d-4ee8-ab84-9a000efd036c","Bernardus NIGER [COE] // Bernardus Niger [CWE] // Niger, Bernard [ALLEN]","1529-03-27","1529-03-27"
"e741f69a-190f-4d9c-873c-a5f3fc792af1","Bartholomäus WELSER [COE] // Bartholomäus Welser [CWE] // Welser, Bartholomew [ALLEN]","1529-05-03","1529-05-03"
"1c750cda-9249-4f5d-931a-a14efe5f5daf","Daniele SCEVOLA [COE] // Daniele Scevola [CWE] // not included in ALLEN","1509-12-22","1509-12-22"
"53247716-c648-409d-889f-3db6260e91d3","Petrus PLATEANUS [COE] // Petrus Plateanus [CWE] // Plateanus, Petrus [ALLEN]","1529-09-08","1529-09-08"
