"Correspondent","name_in_edition","Beginning of the correspondence","End of the correspondence"
"2b73d8d8-43b2-4832-8375-808743b92687","Emperor FERDINAND I [COE] // Archduke Ferdinand [CWE] // Ferdinand of Austria [ALLEN]","1522-11-29","1536-01-27"
"2bb7b5f2-3cd2-42da-b6b5-3670451739ad","Leonardus PRICCARDUS [COE] // Leonardus Priccardus [CWE] // Priccard, Leonard [ALLEN]","1519-05-23","1520-01-01"
"2bf9cc2d-d91a-4d46-b38a-c2c0584f1ab0","Philippus MELANCHTHON [COE] // Philippus Melanchthon [CWE] // Melanchthon, Philip [ALLEN]","1516-08-20","1536-06-06"
"2c29963c-892b-46e8-bf98-81623b48eb31","Emilio de MIGLI [COE] // Emilio de' Migli [CWE] // Emilii, Emilio di [ALLEN]","1529-05-04","1529-05-17"
"2c2efeb3-df13-4ec1-a698-ea7a8a675d04","Diego GRACIÁN de Alderete [COE] // Diego Gracián de Alderete [CWE] // Gracian, Diego [ALLEN]","1527-12-01","1530-03-28"
"2d4d2d72-7188-4fff-b698-5e35dd12f6af","Lukas KLETT [COE] // Lukas Klett [CWE] // Paliurus, Lucas (Klett) [ALLEN]","1514-11-01","1526-05-07"
"2e8f7e81-e0bc-454a-bb7b-19d692b58280","Paolo BOMBACE [COE] // Paolo Bombace [CWE] // Bombasius, Paulus (Bombace Paolo) [ALLEN]","1508-04-06","1525-10-09"
"2f92c3fe-b2ec-46a9-a354-90b624cfa2b6","Johann HERWAGEN [COE] // Johann Herwagen [CWE] // Herwagen, Johann [ALLEN]","1531-08-09","1534-06-13"
"2fea7f06-e9fd-4cee-8fab-a7c93d64b8ec","Pierre RICHARDOT [COE] // Pierre Richardot [CWE] // Richardot, Pierre [ALLEN]","1533-11-19","1536-02-24"
"302a093b-ef46-41ff-bb8b-646581452f74","Henri de BOTTIS [COE] // Henri de Bottis [CWE] // Botteus, Henry [ALLEN]","1527-12-22","1528-03-29"
"313d5e42-31ce-44fe-9832-eb4da2e49fcb","Wolfgang Faber CAPITO [COE] // Wolfgang Capito [CWE] // Capito, Wolfgang Fabricius (Köpfel) [ALLEN]","1516-09-02","1524-09-02"
"335da4b6-67df-4a9e-9eb2-9d651b9bf5c0","Cornelis GERARD [COE] // Cornelis Gerard [CWE] // Gerard, Cornelius [ALLEN]","1489-01-01","1498-10-01"
"3370985d-ca27-4153-8620-3fc329784c1d","Henricus CADUCEATOR [COE] // Henricus Caduceator [CWE] // Caduceator, Henry [ALLEN]","1527-04-18","1527-06-10"
"33ce9f1f-d138-4694-8955-1fce853be932","Leonard COX [COE] // Leonard Cox [CWE] // Cox, Leonard [ALLEN]","1527-03-28","1527-05-21"
"342d4e75-f7d6-4f36-b4a4-31c6801e1d24","Joris van HALEWIJN [COE] // Joris van Halewijn [CWE] // Halewin, George (Haloinus, Heloinus) [ALLEN]","1517-08-29","1521-03-31"
"376d868a-0d63-4b16-a27d-8f9fc9d0031f","Pieter WICHMANS [COE] // Pieter Wichmans [CWE] // Wychman, Peter [ALLEN]","1521-08-29","1523-03-22"
"3a18f520-8241-4b95-b128-bdd62bc0a03e","Charles BLOUNT [COE] // Charles Blount [CWE] // Mountjoy, Baron (Charles Blount) [ALLEN]","1528-08-13","1536-02-09"
"3a5d3120-bccc-4763-ab3f-7d5400358f8c","Conradus GOCLENIUS [COE] // Conradus Goclenius [CWE] // Goclenius, Conradus [ALLEN]","1521-02-06","1536-06-28"
"3b36145e-510a-4c4e-b786-45e5eb962ce3","ALAARD of Amsterdam [COE] // Alaard of Amsterdam [CWE] // Alard of Amsteram [ALLEN]","1516-07-01","1517-01-01"
"3b4c81b2-e0d5-4b14-868d-dfc3b629558b","Pietro BEMBO [COE] // Pietro Bembo [CWE] // Bembo, Pietro [ALLEN]","1529-02-22","1535-06-20"
"3ca600af-a770-414b-aaf6-6c7ea894e107","Lorenzo CAMPEGGI [COE] // Lorenzo Campeggi [CWE] // Campegio, Lorenzo [ALLEN]","1519-05-01","1531-12-02"
"3e5dc2ae-e201-459d-b784-c59e89ca5266","Lorenz EFFINGER [COE] // Lorenz Effinger [CWE] // Esinger, Laurence [ALLEN]","1520-07-12","1520-10-01"
"3ee5f6cd-ee1c-4774-af66-27271ec71cb3","Henricus GLAREANUS [COE] // Henricus Glareanus [CWE] // Glareanus, Henricus (H. Loriti of Glarus) [ALLEN]","1516-07-13","1535-09-10"
"407693e6-5dbb-4615-94a2-898bf71a7226","Daniel STIEBAR von Buttenheim [COE] // Daniel Stiebar von Buttenheim [CWE] // Stibarus, Daniel [ALLEN]","1528-10-18","1536-07-25"
"40a03473-0cbd-403f-aae4-594ccd97b439","Floriano MONTINI [COE] // Floriano Montini [CWE] // Montinus, Florianus [ALLEN]","1525-02-22","1525-05-16"
"418c8216-9942-4bed-a0ab-e647caa99fe7","Claude-Louis ALARDET [COE] // Claude-Louis Alardet [CWE] // Alardet, Louis [ALLEN]","1527-08-03","1527-10-18"
"41c8d36a-3c42-4ab3-9d2f-3dd74fb5c325","Johann KIERHER [COE] // Johann Kierher [CWE] // Kirher, John [ALLEN]","1515-09-16","1515-10-01"
"44907411-79f3-44dd-88fa-0bfa62f5e74f","Konrad FRICK [COE] // Konrad Frick [CWE] // Frick, Conrad [ALLEN]","1520-07-12","1520-10-01"
"44c27662-0d3d-43f7-a919-fd6d196cbf1b","Raffaele RIARIO [COE] // Raffaele Riario, Cardinal of San Giorgio / Cardinal Raffaele Riario [CWE] // Riario, Raffaele [ALLEN]","1515-05-15","1515-07-18"
"465b6b43-2a14-4e9e-83d6-32d550144720","Hubertus BARLANDUS [COE] // Hubertus Barlandus [CWE] // Barland, Hubert of [ALLEN]","1528-12-30","1529-06-08"
"46b0ef23-7df0-4783-a965-37ef9c6eed3c","Gilbert COUSIN [COE] // Gilbert Cousin [CWE] // Cognatus, Gilbertus (Cousin, Gilbert) [ALLEN]","1534-12-20","1536-05-20"
"47a073b9-cc8e-4ec4-9ab0-b9ba289db498","Jacques TOUSSAIN [COE] // Jacques Toussain [CWE] // Tusanus [ALLEN]","1526-05-16","1531-03-13"
"49ddd5c2-0418-424a-875f-5c6b3f3d5ca1","François DU MOULIN de Rochefort [COE] // François Du Moulin [CWE] // Molinius, Franciscus (de Moulins, de Rochefort) [ALLEN]","1524-02-24","1526-06-06"
"4b9e5260-1365-47a0-ba80-f4df1278485c","Erard de la MARCK [COE] // Erard de la Marck [CWE] // de la Marck, Erard [ALLEN]","1517-12-13","1530-09-07"
"4c078d90-2c78-427c-b1d0-af6981af8cb7","Johann FROBEN [COE] // Johann Froben [CWE] // Froben, John [ALLEN]","1516-06-17","1518-10-22"
"4c3e117b-0d82-459a-9034-e3548d2b0981","Juan de VERGARA [COE] // Juan de Vergara [CWE] // Vergara, Joannes [ALLEN]","1522-04-24","1533-11-19"
"4d48fb6f-9a04-4e0d-8174-2708a12a3656","Karel SUCKET [COE] // Karel Sucket [CWE] // Sucquet, Charles [ALLEN]","1529-07-02","1530-08-31"
"4de6dad8-84ae-4acd-9b76-0e2064602f71","Germain de BRIE [COE] // Germain de Brie [CWE] // Brie, Germain de [ALLEN]","1517-04-06","1532-10-01"
"4def768d-f29a-49fe-8466-9afeffa7a72c","Conradus PELLICANUS [COE] // Conradus Pellicanus [CWE] // Pellican, Conrad [ALLEN]","1525-10-15","1535-11-18"
"4eca6609-a68e-4b88-a057-a9232855e3d7","Silvestro GIGLI [COE] // Silvestro Gigli [CWE] // Gigli, Sylvester [ALLEN]","1517-01-31","1521-01-17"
"51e6d4f5-2b99-45c7-aab9-0bb8f4caec2b","Jan BECKER [COE] // Jan Becker of Borsele [CWE] // Becar, John, of Borsselen [ALLEN]","1514-04-19","1528-03-25"
"529dd414-8aa8-4be1-95b1-7f6aaad06c85","Frans TITELMANS [COE] // Frans Titelmans [CWE] // Titelmans, Francis (Franciscanus) [ALLEN]","1527-01-01","1530-01-01"
"53648df4-11ea-4f39-ba20-cfe42a15237e","Maternus HATTEN [COE] // Maternus Hatten [CWE] // Hatten, Maternus [ALLEN]","1518-10-20","1522-06-04"
"5375f20d-1943-4735-b423-abf59baadfaa","Nicolas BÉRAULT [COE] // Nicolas Bérault [CWE] // Beraldus, Nicolaus (Bérault) [ALLEN]","1519-03-16","1536-01-24"
"547cb195-d235-4083-9124-286a87bdc9b2","William WARHAM [COE] // William Warham [CWE] // Warham, William [ALLEN]","1506-01-24","1528-03-08"
"55643cb6-f119-448e-9239-923b431eadb0","Cornelius GRAPHEUS [COE] // Cornelius Grapheus [CWE] // Grapheus, Cornelius [ALLEN]","1529-03-07","1535-09-02"
"58f5b47e-8c22-4133-9883-a5aaa0656463","Gerard GELDENHOUWER [COE] // Gerard Geldenhouwer [CWE] // Geldenhauer, Gerard of Nymegen (Noviomagus) [ALLEN]","1516-11-12","1529-12-03"
"58f8d059-cb2e-4566-b9a7-302a082c4723","Adrianus Cornelii BARLANDUS [COE] // Adrianus Cornelii Barlandus [CWE] // Barland, Adr. [ALLEN]","1517-01-01","1528-08-14"
"597cd767-2798-44a8-b8e8-05e608676fb8","Gianfrancesco TORRESANI [COE] // Gianfrancesco Torresani of Asola [CWE] // Asulanus, Jo. Franciscus (F. Toressano) [ALLEN]","1518-02-01","1528-04-19"
"5babd1e2-2f18-4e3c-aed8-6a890da577a0","Eustache CHAPUYS [COE] // Eustache Chapuys [CWE] // Chapuys, Eustache de [ALLEN]","1533-04-23","1536-02-01"
"5d3066eb-f690-4dc1-884c-f15700afe0f8","Rutgerus RESCIUS [COE] // Rutgerus Rescius [CWE] // Rescius, Rutgerus (Dryopolitanus) [ALLEN]","1517-03-08","1527-10-07"
"5d3c02c9-c4dc-4175-87c6-b75d0f05468f","Gerardus LISTRIUS [COE] // Gerardus Listrius [CWE] // Lister, Gerard (Listrius, Lystrius) [ALLEN]","1516-11-20","1519-09-11"
"5db11e3f-86ac-4123-a298-ca0b37f82283","Hermann von WIED [COE] // Hermann von Wied [CWE] // Wied, Hermann von [ALLEN]","1528-03-19","1528-05-27"
"5de4f6ab-f3c5-437a-b24c-4841949e5f6d","Nikolaus ELLENBOG [COE] // Nikolaus Ellenbog [CWE] // Ellenbog, Nicholas [ALLEN]","1516-03-30","1516-04-01"
"5de89ee0-c88e-4ef7-94a0-3ef4ece27471","Emperor CHARLES V [COE] // Charles V / Prince Charles [CWE] // Charles V [ALLEN]","1516-03-01","1527-12-13"
"5e2127d6-a06d-4577-a140-2ae4a4b2e66b","Franciscus RUPILIUS [COE] // Franciscus Rupilius [CWE] // Rupilius, Franciscus [ALLEN]","1533-09-08","1535-03-29"
"5f1fa9b9-5e95-42a9-acc1-04036b51b02e","Gervasius WAIN [COE] // Gervasius Wain [CWE] // Wain, Gervase [ALLEN]","1527-10-09","1528-08-16"
"5f4d5e89-d3fe-44b0-899f-8d10839e4908","Léonard de GRUYÈRES [COE] // Léonard de Gruyères [CWE] // Gruyères, Léonard de [ALLEN]","1524-12-29","1536-03-16"
"5fb65533-6d12-416c-b4ae-7c007bf271a0","Philip (I) of BURGUNDY [COE] // Philip of Burgundy [CWE] // Burgundy, Philip of [ALLEN]","1517-07-10","1519-11-01"
"60fc3005-ee0b-47c9-adb7-0dc21f3c5381","Juan Ginés de SEPÚLVEDA [COE] // Juan Ginés de Sepúlveda [CWE] // Sepulveda, Juan Gines de [ALLEN]","1532-04-01","1536-02-13"
"626c0dde-e152-4394-87c3-8a0ede0a683c","Konrad HERESBACH [COE] // Konrad Heresbach [CWE] // Heresbach, Conrad [ALLEN]","1522-10-18","1535-07-28"
"627c1776-db7d-4571-84ce-eb47c9e0a596","Damião de GOIS [COE] // Damião de Gois [CWE] // Goes, Damian A (Lusitanus) [ALLEN]","1533-06-20","1536-07-15"
"629a6c0e-2c46-4067-9787-15225d9902b8","Pierre VITRÉ [COE] // Pierre Vitré [CWE] // Viterius, Petrus [ALLEN]","1516-08-02","1536-03-13"
"62c44de5-56b0-4246-b8fc-21144773c103","Jakob WIMPFELING [COE] // Jakob Wimpfeling [CWE] // Wimpfeling, James [ALLEN]","1511-08-19","1524-11-25"
"639f3ce8-be9f-4993-b200-3fcde3a3b4e9","Andrea ALCIATI [COE] // Andrea Alciati [CWE] // Alciati, Andrea [ALLEN]","1521-12-14","1531-03-31"
"658736d9-240b-4cfc-9042-13e3f9a08613","Johann KOLER [COE] // Johann Koler [CWE] // Choler, John [ALLEN]","1529-07-14","1535-08-31"
"66647e81-9602-4f9c-a371-d147dcd97ebc","Benedetto GIOVIO [COE] // Benedetto Giovio [CWE] // Jovius, B. [ALLEN]","1525-06-01","1525-10-01"
"68e9f7d5-7c19-4579-bcfb-1205839871dd","Nikolaus GERBEL [COE] // Nikolaus Gerbel [CWE] // Gerbell, Nicholas [ALLEN]","1515-08-01","1518-10-20"
"698a8292-0389-4512-b33a-638d473f3fe9","Petrus MERBELIUS [COE] // Petrus Merbelius [CWE] // Merbelius, Petrus [ALLEN]","1535-03-18","1536-02-02"
"6b48a1dc-8a01-423f-87ba-2a65eb3dadc4","Jean de PINS [COE] // Jean de Pins [CWE] // Pins, Jean de [ALLEN]","1532-03-20","1535-05-19"
"6bd6eb34-d5f1-47fe-bfaf-82f0aa28031d","Hermannus BUSCHIUS [COE] // Hermann von dem Busche [CWE] // Busch, Hermann [ALLEN]","1518-04-23","1520-07-31"
"6c1bd8b8-946e-4ccf-af86-9c914fe45046","Christoph ESCHENFELDER [COE] // Christoph Eschenfelder [CWE] // Eschenfelder, Christoph [ALLEN]","1518-10-19","1536-01-27"
"6d1d76aa-5d23-451c-9ee3-16e26fcb48e9","Louis de BERQUIN [COE] // Louis de Berquin [CWE] // Berquin, Louis de [ALLEN]","1525-08-25","1528-12-23"
"6e0b7a03-9516-45ca-a355-5c18365520dc","Christoph von CARLOWITZ [COE] // Christoph von Carlowitz [CWE] // Carlowitz, Christoph [ALLEN]","1528-07-16","1530-07-07"
"6eb7e591-dd26-4666-aaff-9817e022624b","Zacharias DEIOTARUS [COE] // Zacharias Deiotarus [CWE] // Deiotarus, Zacharias [ALLEN]","1524-09-04","1531-06-01"
"6fc3d197-6ece-40c4-829a-fb63f2ed1ea3","Ulrich von HUTTEN [COE] // Ulrich von Hutten [CWE] // Hutten, Ulrich von [ALLEN]","1515-10-24","1523-04-03"
"6ffb373e-7884-42c0-b990-a7b11aa129cb","Joachim CAMERARIUS [COE] // Joachim Camerarius [CWE] // Camerarius, Joachim the elder [ALLEN]","1524-09-30","1528-02-05"
"702846d2-4b22-4fc3-90f2-ae30d88d23c5","FRANCIS I [COE] // Francis I [CWE] // Francis I, King of France [ALLEN]","1517-02-21","1526-06-16"
"763f4d64-dffb-40eb-bc45-2fde4992223e","Thomas MORE [COE] // Thomas More [CWE] // More, Sir Thomas [ALLEN]","1499-10-28","1533-06-01"
"77c727bc-3e7f-4608-8845-485b177518c1","Jan de HONDT [COE] // Jan de Hondt [CWE] // Hondt, John de (Canius) [ALLEN]","1518-01-05","1527-08-25"
"7810a80d-63b7-4b91-877d-efb351d37bf8","Margaret MORE [COE] // Margaret Roper [CWE] // Roper, Margaret [More, Margaret] [ALLEN]","1523-12-25","1529-11-04"
"7a0fa0c6-50a1-4e70-a34d-0885f107ac4d","Matthias KRETZ [COE] // Matthias Kretz [CWE] // Kretz, Matthias [ALLEN]","1530-10-29","1531-03-11"
"7ca36007-621e-4c12-a5dc-f41fa15b4456","Rudbert von MOSHAM [COE] // Rudbert von Mosham [CWE] // Mosham, Rudbert of (Moshain) [ALLEN]","1524-05-30","1524-11-12"
"7e4be060-6388-4fe4-b5f2-d5931ac9be71","Konrad von THÜNGEN [COE] // Konrad von Thüngen [CWE] // Thuengen, Conrad of [ALLEN]","1520-07-31","1531-03-17"
"7ef8ed6a-6530-4b03-85cd-3ead2e374c64","Henry BULLOCK [COE] // Henry Bullock [CWE] // Bullock, Henry (Bovillus) [ALLEN]","1516-08-13","1518-10-23"
"7f27a8d3-dcd2-47ff-a8eb-8476f8d29c30","Albert of BRANDENBURG [COE] // Albert of Brandenburg [CWE] // Brandenburg, Albert of [ALLEN]","1517-09-13","1523-06-01"
"7f518b08-f2e6-4b50-841d-241067830f86","Pieter GILLIS [COE] // Pieter Gillis [CWE] // Gilles, Peter (Aegidius, Petrus) [ALLEN]","1505-03-01","1530-01-28"
"80f13145-01d8-4e72-be98-af1270b9c741","Johannes (II) THURZO [COE] // Johannes Thurzo [CWE] // Turzo, John [ALLEN]","1518-06-20","1520-08-31"
"816bf9f9-40f2-4aa8-8e06-3b075e0974f3","Nicolaus OLAHUS [COE] // Nicolaus Olahus [CWE] // Olah, Nicolaus (Holachus) [ALLEN]","1530-07-01","1534-06-25"
"82023df8-a729-45f3-9e10-690acb331101","Johann (II) PAUMGARTNER [COE] // Johann (II) Paumgartner [CWE] // Paungartner, Johann [ALLEN]","1532-02-08","1536-06-25"
"8412c3ce-86fa-455a-9ee7-75da171ede61","Maarten van DORP [COE] // Maarten van Dorp [CWE] // Dorp, Martin van [ALLEN]","1514-09-01","1519-11-28"
"8444896d-fb1b-4eb5-9f39-39b1e78d470c","Jacopo BANNISIO [COE] // Jacopo Bannisio [CWE] // Banisius, Jacobus [ALLEN]","1517-11-03","1519-05-21"
"853e25f4-7e65-49c4-a737-7fdba57aa66c","Frederick III, elector of SAXONY [COE] // Duke / Elector Frederick of Saxony [CWE] // Frederick of Saxony [ALLEN]","1517-06-05","1519-05-30"
"87550a76-2bd9-4d45-b148-e44dcb23b4b6","Andrzej KRZYCKI [COE] // Andrzej Krzycki [CWE] // Andrew Cricius [ALLEN]","1525-10-05","1536-02-01"
"87af3740-6b36-4e29-b4eb-b699da0ee2ab","Heinrich STROMER [COE] // Heinrich Stromer [CWE] // Stromer, Henry [ALLEN]","1517-04-30","1525-04-08"
"87d3510e-4da3-4704-9d98-f9306c439fe4","Antonio HOYOS de Salamanca [COE] // Antonio Hoyos de Salamanca [CWE] // Salamanca, Antonius of [ALLEN]","1529-02-06","1529-03-10"
"89448511-269c-45ab-8470-d3cb17483444","Johannes SIXTINUS [COE] // Johannes Sixtinus [CWE] // Sixtin, John [ALLEN]","1499-10-27","1518-04-23"
"8a742784-f98c-44bc-8687-6efb72e9d928","Pierre DU CHASTEL [COE] // Pierre du Chastel [CWE] // Duchâtel, Pierre [ALLEN]","1529-09-07","1534-11-04"
"8ad99d13-2ff3-4b64-b5aa-253a2613dc74","Johannes COCHLAEUS [COE] // Johannes Cochlaeus [CWE] // Cochlaeus, Joannes (Dobneck) [ALLEN]","1527-08-25","1535-03-01"
"8b927732-03c2-4c48-b1b3-475ede07393b","SIGISMUND I [COE] // Sigismund I [CWE] // Sigismund I, King of Poland [ALLEN]","1527-05-15","1531-08-17"
"8c816868-8923-4daa-a154-e00dd8f38dff","Johann REUCHLIN [COE] // Johann Reuchlin [CWE] // Reuchlin, Johann (Capnio) [ALLEN]","1514-04-01","1520-11-08"
"8dc7197f-121c-4fcd-861f-cc4461a907ed","Francesco CHIERIGATI [COE] // Francesco Chierigati [CWE] // Chieregato, Francesco [ALLEN]","1517-08-28","1526-04-01"
"8e337b13-a43c-4100-81c0-7ee324f61eb0","Pope ADRIAN VI [COE] // Adrian VI [CWE] // Adrian VI, Pope (Adrian of Utrecht) [ALLEN]","1522-08-01","1523-03-22"
"8ebf85a8-be26-44a1-9c5c-b02ec8900c4d","Ludovico CANOSSA [COE] // Luigi di Canossa [CWE] // Canossa, Ludevicus de [ALLEN]","1516-11-13","1517-02-24"
"8f0a7961-a19e-421c-b0c3-de843b54e5d3","Gilles de BUSLEYDEN [COE] // Gilles de Busleyden [CWE] // Busleiden, Gilles de [ALLEN]","1517-10-19","1531-12-15"
"8f43d05e-9aaa-45dc-8429-7d0fadb6b127","Nicolaas van BROECKHOVEN [COE] // Nicolaas van Broeckhoven [CWE] // Hertogenbosch, Nicholas of (Busciducus) [ALLEN]","1521-08-31","1523-11-05"
"90164512-5877-477b-810b-d9d8d9e792e3","William LATIMER [COE] // William Latimer [CWE] // Latimer, William [ALLEN]","1516-06-05","1517-02-01"
"90f06328-1f14-42bb-9863-b66cda98eb4e","Polidoro VIRGILIO [COE] // Polidoro Virgilio [CWE] // Vergil. Polydore [ALLEN]","1520-12-23","1532-06-19"
"92558536-931b-4cc1-ac16-2580be02459e","Haio CAMMINGHA [COE] // Haio Cammingha [CWE] // Cammyngha, Haio [ALLEN]","1528-11-12","1533-09-02"
"92949edf-ce34-48b4-bfac-ad19b198cd5d","Erasmus SCHETS [COE] // Erasmus Schets [CWE] // Schets, Erasmus [ALLEN]","1525-01-30","1536-06-01"
"9303451d-5a45-49d0-a202-5fc0221ab96c","Julius PFLUG [COE] // Julius Pflug [CWE] // Pflug, Julius [ALLEN]","1530-10-10","1535-05-07"
"945835f0-d6b4-47f0-8d8f-fc2fcd66d5bb","Pope CLEMENT VII [COE] // Clement VII [CWE] // Clement VII, Pope [ALLEN]","1524-01-31","1528-04-03"
"95d54dcd-3cf3-4b2f-afb0-25ffd021e102","Matthias SCHÜRER [COE] // Matthias Schürer [CWE] // Schürer, Matthias [ALLEN]","1514-10-15","1517-10-31"
"962ffe89-1ebc-4438-bed7-384d01116748","John FISHER [COE] // John Fisher [CWE] // Fisher, St. John [ALLEN]","1511-09-01","1524-09-04"
