"recipient_id","First Letter From Erasmus","Last Letter From Erasmus"
"northoff_christian_viaf_unknown","1497-03-01","1498-03-01"
"obrecht_jan_viaf_unknown","1506-11-04","1506-11-04"
"oecolampadius_johann_viaf_56634092","1517-07-10","1529-04-10"
"oem_van_wijngaarden_viaf_unknown","1526-04-29","1526-04-29"
"ofhuys_gabriël_viaf_unknown","1521-10-14","1521-10-14"
"oláh_miklós_viaf_9923869","1530-07-07","1534-04-22"
"pace_richard_viaf_62360861","1515-09-04","1530-03-22"
"paludanus_johannes_viaf_13125061","1504-02-01","1516-11-01"
"papin_antoine_viaf_unknown","1519-05-20","1519-05-20"
"paracelsus_viaf_12313247","1527-03-01","1527-03-01"
"parcius_thomas_viaf_unknown","1518-02-21","1518-02-21"
"parentibus_lazarus_a_viaf_unknown","1527-05-11","1527-05-11"
"paris_faculty_of_theology_of_viaf_not_applicable","1526-02-06","1527-11-11"
"paris_parliament_of_viaf_not_applicable","1526-06-14","1527-11-14"
"parra_juan_de_la_viaf_unknown","1519-02-13","1519-02-13"
"patron_a_[corpus_era]_viaf_unknown","1520-12-01","1520-12-01"
"paul_iii_pope_viaf_51803934","1535-01-23","1535-01-23"
"paul_iv_pope_viaf_88875623","1515-12-23","1517-08-29"
"paumgartner_johann_(ii)_viaf_281100987","1532-02-08","1533-03-01"
"paumgartner_johann_georg_viaf_unknown","1532-07-05","1533-05-12"
"pellicanus_konrad_viaf_41862976","1525-10-15","1527-03-18"
"peutinger_konrad_viaf_56776766","1520-11-09","1520-11-09"
"pflug_julius_von_viaf_3265533","1530-10-10","1535-05-07"
"philip_utrecht_bischof_viaf_47558106","1517-07-10","1519-11-01"
"phoenix_petrus_viaf_uncertain","1528-02-21","1528-02-21"
"pins_jean_de_viaf_95268746","1532-03-20","1535-05-19"
"pio_alberto_viaf_122252078","1525-10-10","1528-12-23"
"pirckheimer_willibald_viaf_27173507","1515-01-24","1530-08-29"
"piso_jacob_viaf_46572011","1526-09-09","1526-09-09"
"pistoris_simon_viaf_45210172","1526-09-02","1531-03-14"
"plaine_gérard_de_viaf_unknown","1524-03-26","1524-03-26"
"platz_ludwig_viaf_unknown","1520-07-31","1520-07-31"
"pole_reginald_viaf_37029945","1525-10-04","1531-08-25"
"ponchier_étienne_viaf_233493311","1517-02-14","1519-10-02"
"praepositus_edanus_nicolaus_viaf_unknown","1519-12-19","1519-12-19"
"priccardus_leonardus_viaf_unknown","1519-07-01","1520-01-01"
"pucci_antonio_viaf_49215795","1518-08-26","1525-06-07"
"pucci_lorenzo_viaf_37813554","1519-07-31","1519-07-31"
"quinonus_guilhelmus_viaf_unknown","1530-09-06","1530-09-06"
"quintinus_[corpus_era]_viaf_unknown","1531-03-09","1531-03-09"
"rebhan_leonhard_viaf_unknown","1529-06-06","1529-06-06"
"reisch_gregor_viaf_9989194","1514-09-01","1514-09-01"
"rem_wolfgang_andreas_viaf_61982771","1531-01-02","1531-01-02"
"rescius_rutgerus_viaf_76304064","1521-10-01","1527-10-07"
"resende_andré_de_viaf_120700950","1531-06-08","1531-06-08"
"reuchlin_johann_viaf_66542815","1514-08-15","1520-11-08"
"rhegius_urbanus_viaf_17232588","1516-02-24","1516-03-07"
"rhenanus_beatus_viaf_39415982","1515-04-13","1521-05-27"
"rhodus_stegrius_viaf_unknown","1520-01-01","1520-01-01"
"riario_raffaello_viaf_25474452","1515-05-15","1515-05-15"
"richardot_pierre_viaf_unknown","1533-11-19","1533-11-19"
"ricius_paulus_viaf_60018918","1520-11-01","1520-11-01"
"riedt_johannes_von_viaf_307306719","1528-10-01","1528-10-01"
"rinck_johann_viaf_unknown","1530-03-17","1532-03-05"
"ritius_hieronymus_viaf_2869186","1529-04-21","1529-04-21"
"rivulo_adrianus_a_viaf_unknown","1528-03-21","1528-03-21"
"robbyns_jan_viaf_unknown","1518-03-26","1524-03-31"
"rogerus_servatius_viaf_unknown","1487-01-01","1514-07-08"
"roper_margaret_viaf_20552280","1523-12-25","1529-09-06"
"rosemondt_godescalc_viaf_15113247","1520-10-18","1520-12-16"
"rosinus_johannes_viaf_37991609","1531-03-16","1531-03-16"
"rotenhan_sebastian_von_viaf_29835542","1520-08-13","1520-08-13"
"ruistre_nicolas_viaf_unknown","1503-11-17","1504-02-01"
"ruiz_de_la_mota_bishop_of_badajoz_viaf_69068021","1522-04-21","1522-04-21"
"ruiz_de_virués_alonso_viaf_89519337","1528-03-15","1531-08-21"
"rupilius_franciscus_viaf_uncertain","1533-09-08","1533-09-08"
"ruser_johann_viaf_unknown","1517-07-20","1517-08-24"
"ruthall_thomas_viaf_21976614","1506-06-01","1519-05-25"
"ruys_walter_viaf_77133642","1524-07-26","1524-07-26"
"ruzé_louis_viaf_306487693","1519-03-19","1519-03-19"
"saarburg_matthias_von_viaf_unknown","1518-10-19","1518-10-19"
"sadoleto_jacopo_viaf_76326881","1525-02-25","1534-10-31"
"sadoleto_paolo_viaf_75692067","1533-08-30","1533-08-30"
"sampson_richard_viaf_44650591","1518-03-02","1518-03-02"
"sapidus_johannes_viaf_24771033","1516-02-14","1520-05-01"
"sasboudus_[corpus_era]_viaf_unknown","1488-01-01","1488-01-01"
"sasbout_jodok_viaf_22959409","1532-05-03","1532-05-03"
"sbrulius_richardus_viaf_57544463","1520-11-13","1520-11-13"
"scarpinelli_agostino_viaf_unknown","1520-12-13","1524-08-30"
"schade_peter_viaf_12457732","1519-04-22","1522-08-08"
"schalbe_kaspar_viaf_uncertain","1519-05-30","1519-05-30"
"schepper_cornelis_duplicius_de_viaf_95137124","1530-06-06","1530-06-06"
"schetz_erasmus_viaf_101339450","1525-07-02","1536-06-01"
"schetz_gaspar_viaf_77246028","1534-01-23","1534-01-23"
"schiner_matthäus_viaf_184814357","1520-12-16","1522-06-25"
"schmotzer_goerg_viaf_unknown","1527-12-27","1527-12-27"
"schudelin_johann_viaf_unknown","1521-09-04","1521-09-04"
"schürer_matthias_viaf_102445072","1514-10-15","1517-10-31"
"schweiß_alexander_von_viaf_89934990","1521-03-13","1521-03-13"
"selve_jean_de_viaf_27411548","1525-07-01","1525-08-25"
"sepúlveda_juan_ginés_de_viaf_39405614","1532-08-16","1534-07-03"
"sigismund_i_king_of_poland_viaf_84145052","1527-05-15","1528-08-28"
"silvius_andreas_viaf_20500070","1533-03-15","1533-03-15"
"sinapius_johannes_viaf_50037880","1531-03-21","1534-07-31"
"sixtinus_johannes_viaf_unknown","1499-10-28","1518-04-23"
"šlechta_ze_všehrd_jan_viaf_280635559","1519-04-23","1519-11-01"
"smith_john_viaf_unknown","1518-10-25","1518-10-25"
"spalatin_georg_viaf_240011410","1519-05-29","1524-09-06"
"sparcheford_richard_viaf_unknown","1517-08-31","1527-08-31"
"stadion_christoph_von_bishop_of_augsburg_viaf_72202625","1528-08-26","1535-08-06"
"steuco_agostino_viaf_59880366","1531-03-27","1531-03-27"
"stibar_von_rabenek_viaf_37863206","1528-12-23","1532-12-07"
"storch_ambrosius_viaf_89269911","1529-06-01","1533-06-20"
"strasbourg_magistrates_of_viaf_not_applicable","1524-03-13","1530-03-28"
"sturm_jakob_viaf_42633585","1535-10-23","1535-10-23"
"sucket_jan_(i)_viaf_unknown","1525-02-01","1525-02-01"
"sucket_karel_viaf_unknown","1529-07-02","1530-07-31"
"sutter_johann_viaf_5760662","1529-05-06","1529-05-06"
"swiss_confedercy_viaf_not_applicable","1526-05-15","1526-05-15"
"szydłowiecki_krzysztof_viaf_18320094","1525-08-14","1530-09-02"
"talesius_quirinus_viaf_unknown","1528-03-12","1532-10-31"
"tayspil_daniël_viaf_unknown","1521-07-05","1521-07-05"
"thale_william_viaf_unknown","1521-08-13","1521-08-13"
"theoderici_jacobus_viaf_unknown","1519-04-17","1519-04-17"
"theoderici_vincentius_viaf_unknown","1521-03-10","1521-03-10"
"theodericus_franciscus_viaf_unknown","1487-01-01","1505-11-01"
"thüngen_konrad_ii_von_viaf_26411713","1520-07-31","1531-03-17"
"thurzó_alexius_viaf_81112974","1525-04-30","1525-04-30"
"thurzó_stanislaus_bishop_of_olomouc_viaf_35631755","1521-11-20","1532-02-13"
"tittelmans_franciscus_viaf_27074875","1527-05-18","1527-05-18"
"tomicki_piotr_viaf_25699004","1527-12-12","1535-08-31"
"toneys_robert_viaf_36728303","1524-09-05","1524-09-05"
"torresani_gian_francesco_viaf_72229342","1523-03-18","1526-09-03"
"torresanus_andreas_de_asula_viaf_29587053","1528-04-19","1528-04-19"
"tournon_françois_viaf_120736278","1522-11-10","1522-11-10"
"toussain_pierre_viaf_55019278","1528-09-03","1528-09-03"
"trazegnies_jean_de_viaf_23295460","1501-09-01","1517-11-02"
"trivulzio_agostino_viaf_252903656","1531-01-30","1531-04-12"
"trophinus_felix_viaf_unknown","1525-05-13","1525-05-13"
"truchsess_von_waldburg_zu_trauchburg_christoph_viaf_230372349","1525-10-04","1530-07-09"
"tunstall_cuthbert_viaf_22160214","1517-07-17","1530-01-31"
"tusanus_jacobus_viaf_221293349","1526-05-16","1531-03-13"
"uenhove_carolus_viaf_193330185","1529-02-01","1533-04-24"
"unnamed_person_viaf_not_applicable","1500-03-01","1533-08-01"
"urswick_christopher_viaf_295806067","1506-06-01","1516-06-05"
"utenheim_christoph_von_viaf_64412735","1517-08-23","1524-07-29"
"valdés_alfonso_de_viaf_89087729","1527-03-31","1531-08-29"
"valdés_juan_de_viaf_19691005","1528-03-01","1530-01-13"
"vannes_pietro_viaf_unknown","1517-09-08","1518-04-23"
"vel_caspar_ursinus_viaf_79441643","1519-04-20","1531-08-07"
"vergara_francisco_viaf_23079828","1527-09-02","1530-01-13"
"vergara_juan_de_viaf_100470729","1522-09-02","1533-11-19"
"vergerio_pietro_paolo_viaf_51698984","1533-06-20","1533-06-20"
"vergil_polydore_viaf_89468390","1520-12-23","1527-03-24"
"vers_louis_de_viaf_unknown","1533-12-11","1535-10-07"
"vesuvius_nicolaus_viaf_unknown","1527-05-23","1528-11-01"
"vianden_melchior_matthaei_of_viaf_unknown","1524-02-25","1524-02-25"
"villinger_jakob_viaf_42669581","1520-10-03","1520-10-03"
"viromandus_hieronymus_viaf_unknown","1528-02-03","1528-02-03"
"vitoria_francisco_de_viaf_100255862","1527-11-29","1527-11-29"
"vitré_pierre_viaf_unknown","1517-02-13","1536-03-13"
"vives_juan_luis_viaf_71399403","1519-03-17","1528-09-02"
"vlatten_johann_von_viaf_192938582","1523-10-01","1533-07-25"
"voecht_jacob_de_viaf_283116155","1501-07-02","1519-09-10"
"volz_paul_viaf_59903208","1518-08-14","1524-12-18"
"vulcanius_petrus_viaf_283253600","1531-03-18","1533-04-20"
"wain_gervasius_viaf_253292025","1527-11-12","1527-11-12"
"walkden_humprey_viaf_unknown","1513-10-01","1513-10-01"
"warham_william_viaf_58070815","1506-01-24","1527-08-24"
"warnerszoon_claes_viaf_unknown","1496-09-13","1502-09-01"
"wary_nicolas_viaf_unknown","1526-09-26","1528-03-19"
"watson_john_viaf_unknown","1517-01-13","1517-01-13"
"wattenwyl_niklaus_von_viaf_100404663","1522-03-07","1522-03-07"
"wentford_roger_viaf_unknown","1506-06-12","1518-04-24"
"werter_johann_viaf_unknown","1518-10-19","1518-10-19"
"whitford_richard_viaf_7440509","1499-02-04","1506-05-01"
"wichmans_peter_viaf_unknown","1521-08-29","1521-08-29"
"wied_hermann_von_viaf_71607602","1528-03-19","1528-03-19"
"wilhelm_v_herzog_von_kleve_jülich_berg_viaf_291388445","1529-07-01","1532-01-01"
"wimpheling_jakob_viaf_19699237","1514-09-21","1524-11-25"
"winckele_jan_van_viaf_unknown","1519-10-01","1519-10-01"
"winckel_pieter_viaf_unknown","1484-11-01","1484-11-01"
"wingfield_richard_viaf_unknown","1518-03-05","1518-03-05"
"winnmann_nikolaus_viaf_39729055","1531-04-16","1531-04-16"
"wolsey_thomas_viaf_22937889","1514-01-04","1526-04-25"
"yonge_john_viaf_194704149","1513-01-01","1513-01-01"
"zasius_ulrich_viaf_61645489","1514-09-23","1530-12-22"
"zebrzydowski_andrzej_viaf_31698046","1527-05-21","1528-12-23"
"ziegler_jakob_viaf_15074694","1522-12-22","1522-12-22"
"zurich_town_council_of_viaf_not_applicable","1523-08-10","1523-08-10"
"zuutpene_pieter_viaf_unknown","1519-08-10","1519-08-10"
"zwingli_ulrich_viaf_71399367","1516-05-08","1523-08-31"
"łaski_hieronim_viaf_161930274","1524-10-01","1526-09-09"
"łaski_jan_(1)_viaf_54138660","1527-08-13","1527-08-13"
"łaski_jan_(2)_viaf_222145667146705170005","1526-03-08","1534-03-05"
