"recipient_id","First Letter From Erasmus","Last Letter From Erasmus"
"bourgogne_adolphe_de_viaf_308694698","1499-03-01","1512-09-01"
"brassicanus_joannes_alexander_viaf_9899294","1520-09-26","1530-04-04"
"briard_jean_viaf_15086346","1517-09-16","1519-04-22"
"brie_germain_de_viaf_227062191","1517-08-01","1532-01-01"
"brodarics_istván_viaf_64438742","1529-06-09","1529-06-09"
"brugnard_antoine_viaf_unknown","1524-10-27","1524-10-27"
"brunfels_otto_viaf_34489382","1525-09-01","1525-09-01"
"bucer_martin_viaf_2478527","1527-11-11","1532-03-02"
"budé_guillaume_viaf_105878228","1516-06-19","1528-09-06"
"bullock_henry_viaf_29103155","1516-08-22","1518-10-23"
"burbank_william_viaf_unknown","1520-09-01","1520-09-01"
"burgundy_henry_of_viaf_unknown","1530-03-01","1530-03-01"
"burgundy_nicolas_of_viaf_unknown","1501-01-26","1501-01-26"
"busche_hermann_von_dem_viaf_27087291","1518-04-23","1520-07-31"
"buscoducensis_nicolas_viaf_167110308","1521-08-31","1521-08-31"
"busleyden_gilles_de_viaf_unknown","1517-10-19","1531-12-15"
"busleyden_jérome_de_viaf_13120229","1506-11-17","1516-09-28"
"caduceator_henricus_viaf_unknown","1527-06-10","1527-06-10"
"caesarius_johannes_viaf_144319","1516-06-23","1524-12-16"
"cajetan_tommaso_de_vio_viaf_49196005","1532-07-23","1532-07-23"
"calcagnini_celio_viaf_76366882","1525-05-13","1525-05-13"
"calvo_francesco_viaf_304955328","1525-08-31","1525-08-31"
"camerarius_joachim_viaf_2495607","1524-12-11","1528-02-05"
"caminadus_augustinus_vincentius_viaf","1500-09-10","1501-07-15"
"cammingha_haio_viaf_unknown","1528-11-12","1528-11-12"
"campeggi_lorenzo_viaf_9837370","1519-05-01","1531-12-02"
"canossa_lodovico_viaf_20611230","1517-02-24","1517-02-24"
"canta_jacobo_viaf_unknown","1532-01-01","1532-01-01"
"canter_jacobus_viaf_810331","1489-11-01","1489-11-01"
"cantiuncula_claudius_viaf_74646923","1525-09-01","1525-09-01"
"capito_wolfgang_viaf_61578502","1517-02-26","1524-09-02"
"carinus_ludwig_viaf_27885311","1519-02-27","1527-03-24"
"carlowitz_christoph_von_viaf_23195303","1530-07-07","1530-07-07"
"carondelet_ferry_viaf_55078138","1526-09-07","1528-06-25"
"carondelet_jean_viaf_35387645","1522-04-23","1534-01-23"
"casembroot_leonard_viaf_unknown","1525-10-04","1526-05-01"
"cassander_franciscus_viaf_unknown","1530-03-28","1531-03-06"
"catharine_of_aragon_queen_consort_of_henry_viii_king_of_england_viaf_13102140","1526-07-15","1528-03-01"
"chapuys_eustache_viaf_229692087","1533-04-23","1533-04-23"
"charles_iii_duke_of_savoy_viaf_41706196","1527-10-14","1527-10-14"
"charles_v_holy_roman_emperor_viaf_88598818","1516-03-01","1527-09-02"
"cheregato_francesco_viaf_10186230","1520-03-15","1526-04-01"
"cigalini_francesco_viaf_27885400","1526-03-15","1526-03-15"
"claimondus_johannes_viaf_72207793","1519-06-27","1526-01-30"
"clava_antonius_viaf_unknown","1517-02-14","1518-04-29"
"clement_vii_pope_viaf_90633828","1524-01-31","1528-04-03"
"clesio_bernardo_viaf_59192040","1523-04-05","1532-05-19"
"cochlæus_johannes_viaf_121589726","1527-08-25","1535-03-01"
"colet_john_viaf_34454805","1499-10-01","1518-10-23"
"cologne_nuns_of_viaf_not_applicable","1523-02-01","1523-02-01"
"colster_abel_van_viaf_unknown","1533-04-25","1533-04-25"
"coppin_nicolas_viaf_unknown","1525-09-06","1525-09-06"
"copus_guilielmus_viaf_22249056","1517-02-24","1526-08-27"
"cordus_euricius_viaf_122063278","1519-04-17","1519-04-17"
"cornarius_janus_viaf_71422380","1529-08-09","1529-08-09"
"cornelissen_van_mierop_vincent_viaf_unknown","1533-06-12","1534-04-23"
"cornelis_of_bergen_viaf_unknown","1525-03-26","1525-03-26"
"coronel_ludovicus_viaf_349420","1522-04-21","1522-04-21"
"courtebourne_pierre_de_viaf_unknown","1502-03-01","1502-03-01"
"cousin_gilbert_viaf_121908936","1536-02-12","1536-03-11"
"cox_leonard_viaf_25801523","1527-05-21","1527-05-21"
"craneveldt_frans_van_viaf_54955515","1520-12-18","1526-06-24"
"crocus_cornelius_viaf_8306045","1530-01-23","1530-01-23"
"croke_richard_viaf_67250364","1518-04-23","1518-04-23"
"cromwell_thomas_earl_of_essex_viaf_29523928","1536-03-15","1536-03-15"
"croy_guillaume_de_viaf_203311375","1519-04-20","1519-05-01"
"dam_bertram_viaf_50040058","1532-06-17","1532-06-17"
"dancaster_william_viaf_unknown","1519-10-16","1519-10-16"
"danès_pierre_viaf_9882374","1528-09-05","1528-09-05"
"dantyszek_jan_viaf_5031671","1532-04-30","1532-04-30"
"davidts_maarten_viaf_unknown","1528-05-01","1528-05-01"
"decimarius_petrus_viaf_unknown","1528-03-29","1528-09-16"
"deiotarus_zacharias_viaf_unknown","1524-09-04","1524-09-04"
"della_rena_andrea_viaf_77136743","1511-04-10","1517-03-15"
"deloynes_françois_viaf_212150646","1517-02-21","1517-02-21"
"demoulins_françois_viaf_172203114","1524-02-24","1526-06-06"
"denny_nuns_of_viaf_not_applicable","1527-01-01","1527-01-01"
"desprez_etienne_viaf_unknown","1529-04-01","1529-04-01"
"diesbach_nikolaus_von_viaf_unknown","1527-07-06","1527-07-06"
"dietz_jost_ludwig_viaf_73844033","1523-10-24","1534-08-22"
"dilfus_franciscus_viaf_292009844","1526-02-03","1530-07-09"
"dorpius_martinus_viaf_17233237","1515-05-20","1517-11-02"
"draconites_johannes_viaf_27871654","1518-10-17","1519-04-18"
"dubois_françois_viaf_100900896","1525-08-25","1526-03-13"
"du_chastel_pierre_viaf_46920623","1529-09-07","1532-09-24"
"eck_johann_viaf_100185986","1518-05-15","1518-05-15"
"eck_leonhard_von_viaf_22932782","1535-06-30","1535-08-05"
"edingen_omaar_van_viaf_unknown","1528-10-01","1531-04-16"
"edmond_[corpus_era]_viaf_unknown","1501-09-01","1502-01-01"
