"correspondents_id","name_in_edition","Beginning of correspondence with Erasmus","End of the correspondence with Erasmus"
"charles_v_holy_roman_emperor_viaf_88598818","Emperor CHARLES V [COE] // Charles V / Prince Charles [CWE] // Charles V [ALLEN]","1516-03-01","1527-12-13"
"cheregato_francesco_viaf_10186230","Francesco CHIERIGATI [COE] // Francesco Chierigati [CWE] // Chieregato, Francesco [ALLEN]","1517-08-28","1526-04-01"
"chilius_adrianus_viaf_uncertain","Adrianus CHILIUS [COE] // Adrianus Chilius [CWE] // Chilius, Adrian [ALLEN]","1531-06-08","1531-06-08"
"cigalini_francesco_viaf_27885400","Francesco CIGALINI [COE] // Francesco Cigalini [CWE] // Cigalinus [ALLEN]","1526-03-15","1526-03-15"
"claimondus_johannes_viaf_72207793","John CLAYMOND [COE] // John Claymond [CWE] // Claymond, John [ALLEN]","1519-06-27","1526-01-30"
"clava_antonius_viaf_unknown","Antonius CLAVA [COE] // Antonius Clava [CWE] // Clava, Antonius [ALLEN]","1517-02-06","1523-07-05"
"clement_vii_pope_viaf_90633828","Pope CLEMENT VII [COE] // Clement VII [CWE] // Clement VII, Pope [ALLEN]","1524-01-31","1528-04-03"
"clesio_bernardo_viaf_59192040","Bernhard von CLES [COE] // Bernhard von Cles [CWE] // Cles, Bernard of [ALLEN]","1523-04-05","1536-03-16"
"cochlæus_johannes_viaf_121589726","Johannes COCHLAEUS [COE] // Johannes Cochlaeus [CWE] // Cochlaeus, Joannes (Dobneck) [ALLEN]","1527-08-25","1535-03-01"
"cock_ludolf_viaf_unknown","Ludolf COCK [COE] // Ludolf Cock [CWE] // Coccius, Ludolph [ALLEN]","1532-07-09","1532-07-09"
"colet_john_viaf_34454805","John COLET [COE] // John Colet [CWE] // Colet, John [ALLEN]","1499-10-01","1518-10-23"
"cologne_nuns_of_viaf_not_applicable","[Nuns of Cologne] [COE] // Nuns of Cologne [CWE] // Cologne, Nuns [ALLEN]","1523-02-01","1523-02-01"
"colster_abel_van_viaf_unknown","Abel van COLSTER [COE] // Abel van Colster [CWE] // Colster, Abel or Aelbert [ALLEN]","1533-04-25","1533-04-25"
"conti_prime_de'_viaf_unknown","Primo de' CONTI [COE] // Primo de' Conti [CWE] // Conti, Primo de' (Comes) [ALLEN]","1534-08-20","1534-08-20"
"coppin_nicolas_viaf_unknown","Nicolas COPPIN [COE] // Nicolas Coppin [CWE] // Coppin, Nicolas [ALLEN]","1525-09-06","1525-09-06"
"copus_guilielmus_viaf_22249056","Guillaume COP [COE] // Guillaume Cop [CWE] // Cop, William [ALLEN]","1517-02-06","1526-08-27"
"cordus_euricius_viaf_122063278","Euricius CORDUS [COE] // Euricius Cordus [CWE] // Cordus, Euricius [ALLEN]","1519-04-17","1519-04-17"
"cornarius_janus_viaf_71422380","Janus CORNARIUS [COE] // Janus Cornarius [CWE] // Cornarius, Janus [ALLEN]","1529-08-09","1529-08-09"
"cornelissen_van_mierop_vincent_viaf_unknown","Vincent CORNELISSEN van Mierop [COE] // Vincent Cornelissen van Mierop [CWE] // Cornelissen, Vincent [ALLEN]","1533-06-12","1534-04-23"
"cornelis_of_bergen_viaf_unknown","CORNELIS of Bergen (Ep 1562 of 26 March 1525) [COE] // Cornelis of Bergen [CWE] // Bergen, Cornelius of [ALLEN]","1525-03-26","1525-03-26"
"coronel_ludovicus_viaf_349420","Luis Núñez CORONEL [COE] // Luis Núñez Coronel [CWE] // Coronel, Luis [ALLEN]","1522-04-21","1522-04-21"
"cortehoeven_dirk_viaf_8201663","Theodericus CORTEHOEVIUS [COE] // Theodericus Cortehoevius [CWE] // Cortehoevius, Theodericus [ALLEN]","1530-02-01","1530-02-01"
"courtebourne_pierre_de_viaf_unknown","Pierre de COURTEBOURNE [COE] // Pierre le Bâtard de Courtebourne [CWE] // Courtebourne, Peter of [ALLEN]","1502-03-01","1502-03-01"
"cousin_gilbert_viaf_121908936","Gilbert COUSIN [COE] // Gilbert Cousin [CWE] // Cognatus, Gilbertus (Cousin, Gilbert) [ALLEN]","1534-12-20","1536-05-20"
"cox_leonard_viaf_25801523","Leonard COX [COE] // Leonard Cox [CWE] // Cox, Leonard [ALLEN]","1527-03-28","1527-05-21"
"craneveldt_frans_van_viaf_54955515","Frans van CRANEVELT [COE] // Frans van Cranevelt [CWE] // Cranevelt, Francis [ALLEN]","1520-09-19","1527-07-26"
"crocus_cornelius_viaf_8306045","Cornelis CROOCK [COE] // Cornelis Croock [CWE] // Crocus, Cornelius [ALLEN]","1530-01-23","1530-07-01"
"croke_richard_viaf_67250364","Richard CROKE [COE] // Richard Croke [CWE] // Croke, Richard [ALLEN]","1518-04-23","1518-04-23"
"cromwell_thomas_earl_of_essex_viaf_29523928","Thomas CROMWELL [COE] // Thomas Cromwell [CWE] // Cromwell, Thomas (Cronveldius) [ALLEN]","1536-03-15","1536-03-15"
"croy_guillaume_de_viaf_203311375","Guillaume (II) de CROY [COE] // Guillaume de Croy [CWE] // Croy, William of [ALLEN]","1519-04-20","1519-05-01"
"croy_philippe_de_viaf_62704426","Philippe de CROY [COE] // Philippe de Croy [CWE] // Croy, Philippe [ALLEN]","1533-06-16","1533-06-16"
"cruyce_jan_van_der_viaf_unknown","Jan van der CRUYCE [COE] // Jan van der Cruyce [CWE] // Crucius, Joannes [ALLEN]","1528-01-28","1528-01-28"
"dam_bertram_viaf_50040058","Bertram von DAMM [COE] // Bertram von Damm [CWE] // Damus, Bertram (Damme, B, von dem) [ALLEN]","1532-06-17","1532-06-17"
"dancaster_william_viaf_unknown","William DANCASTER [COE] // William Dancaster [CWE] // Dancaster, William [ALLEN]","1519-10-16","1519-10-16"
"danès_pierre_viaf_9882374","Pierre DANÈS [COE] // Pierre Danès [CWE] // Danès, Peter [ALLEN]","1528-09-05","1528-09-05"
"danieli_giovanni_viaf_unknown","Giovanni DANIELI [COE] // Giovanni Danieli [CWE] // Danielis, John [ALLEN]","1534-05-16","1534-05-16"
"dantyszek_jan_viaf_5031671","Johannes DANTISCUS [COE] // Johannes Dantiscus [CWE] // Dantiscus, Joannes [ALLEN]","1532-04-30","1532-04-30"
"davidts_maarten_viaf_unknown","Maarten DAVIDTS [COE] // Maarten Davidts [CWE] // Davidts, Martin [ALLEN]","1522-01-10","1531-11-19"
"decimarius_petrus_viaf_unknown","Petrus DECIMARIUS [COE] // Petrus Decimarius [CWE] // Decimarius, Petrus [ALLEN]","1528-03-29","1528-09-16"
"deiotarus_zacharias_viaf_unknown","Zacharias DEIOTARUS [COE] // Zacharias Deiotarus [CWE] // Deiotarus, Zacharias [ALLEN]","1524-09-04","1531-06-01"
"della_rena_andrea_viaf_77136743","Andrea AMMONIO [COE] // Andrea Ammonio [CWE] // Ammonius, Andrea [ALLEN]","1511-04-10","1517-03-15"
"deloynes_françois_viaf_212150646","François DELOYNES [COE] // François Deloynes [CWE] // Deloynes, François [ALLEN]","1516-11-25","1517-02-21"
"demoulins_françois_viaf_172203114","François DU MOULIN de Rochefort [COE] // François Du Moulin [CWE] // Molinius, Franciscus (de Moulins, de Rochefort) [ALLEN]","1524-02-24","1526-06-06"
"denny_nuns_of_viaf_not_applicable","[Nuns of Denny] [COE] // Nuns of Denney [CWE] // Denny, Nuns of [ALLEN]","1527-01-01","1527-01-01"
"desprez_etienne_viaf_unknown","Etienne DESPREZ [COE] // Étienne Desprez [CWE] // Stephen Pratensis [ALLEN]","1529-04-01","1536-04-12"
"de_corte_pierre_viaf_14805099","Pieter de CORTE [COE] // Pieter de Corte [CWE] // Curtius, P. [ALLEN]","1525-01-21","1525-01-21"
"diemus_justus_viaf_unknown","Justus DIEMUS [COE] // Justus Diemus [CWE] // Diemus, Justus [ALLEN]","1526-10-22","1526-10-22"
"diesbach_nikolaus_von_viaf_unknown","Nikolaus von DIESBACH [COE] // Nikolaus von Diesbach [CWE] // Diesbach, Nikolaus von [ALLEN]","1527-07-06","1527-07-06"
"dietz_jost_ludwig_viaf_73844033","Justus Ludovicus DECIUS [COE] // Justus Decius [CWE] // Decius, Jostus (Jodocus) Ludovicus [ALLEN]","1523-10-24","1534-08-22"
"dilfus_franciscus_viaf_292009844","Frans van der DILFT [COE] // Frans van der Dilft [CWE] // Dilft, Francis (Delfus, Delphus) [ALLEN]","1526-02-03","1534-02-11"
"dorpius_martinus_viaf_17233237","Maarten van DORP [COE] // Maarten van Dorp [CWE] // Dorp, Martin van [ALLEN]","1514-09-01","1519-11-28"
"draconites_johannes_viaf_27871654","Johannes DRACONITES [COE] // Johannes Draconites [CWE] // Draco, Joannes [ALLEN]","1518-10-17","1519-04-18"
"dubois_françois_viaf_100900896","François DUBOIS [COE] // François Dubois [CWE] // Sylvius, Franciscus (Silvius [ALLEN]","1525-08-25","1526-03-13"
"dungersheim_hieronymus_viaf_41887098","Hieronymus DUNGERSHEIM [COE] // Hieronymus Dungersheim [CWE] // Dunghersheym, Jerome [ALLEN]","1517-03-18","1517-03-18"
"du_chastel_pierre_viaf_46920623","Pierre DU CHASTEL [COE] // Pierre du Chastel [CWE] // Duchâtel, Pierre [ALLEN]","1529-09-07","1534-11-04"
"eck_johann_viaf_100185986","Johann Maier of ECK [COE] // Johann Maier von Eck [CWE] // Eck, Johann [ALLEN]","1518-02-02","1530-09-18"
"eck_leonhard_von_viaf_22932782","Leonhard von ECK [COE] // Leonhard von Eck [CWE] // Eck, Leonard [ALLEN]","1535-06-30","1535-08-05"
"edingen_omaar_van_viaf_unknown","Omaar van EDINGEN [COE] // Omaar van Edingen [CWE] // Edingus, Audomarus (Edinghen, Enghien, Omaer van) [ALLEN]","1528-10-01","1531-04-16"
"edmond_[corpus_era]_viaf_unknown","EDMOND [COE] // Edmond [CWE] // Edmund [ALLEN]","1501-09-01","1502-01-01"
"effinger_lorenz_viaf_unknown","Lorenz EFFINGER [COE] // Lorenz Effinger [CWE] // Esinger, Laurence [ALLEN]","1520-07-12","1520-10-01"
"egli_fridolin_viaf_unknown","Fridolin EGLI [COE] // Fridolin Egli [CWE] // Egli, Fridolin [ALLEN]","1516-01-01","1516-01-01"
"egmont_floris_von_viaf_23295441","Floris van EGMOND [COE] // Floris van Egmond [CWE] // Egmont, Florentius of (Egmondanus, Florentinus) [ALLEN]","1519-10-02","1519-10-02"
"egnazio_giovanni_battista_viaf_100187526","Giambattista EGNAZIO [COE] // Giambattista Egnazio [CWE] // Egnatius, Johannes Baptista [ALLEN]","1517-06-21","1534-08-30"
"egranus_johannes_sylvius_viaf_25396571","Johannes Sylvius EGRANUS [COE] // Johannes Sylvius [CWE] // Egranus, Johannes Sylvius [ALLEN]","1523-07-01","1523-07-01"
"eichholz_adolf_viaf_unknown","Adolf EICHHOLZ [COE] // Adolf Eichholz [CWE] // Eichholz, Adolphus (Roboreus Dryoxylus) [ALLEN]","1518-10-06","1532-07-24"
"elisabeth_[corpus_era]_viaf_unknown","ELISABETH [COE] // Elisabeth, a nun [CWE] // Elizabeth, Nun [ALLEN]","1487-01-01","1487-01-01"
"ellenbog_nikolaus_viaf_71750518","Nikolaus ELLENBOG [COE] // Nikolaus Ellenbog [CWE] // Ellenbog, Nicholas [ALLEN]","1516-03-30","1516-04-01"
"emili_emilio_viaf_90357556","Emilio de MIGLI [COE] // Emilio de' Migli [CWE] // Emilii, Emilio di [ALLEN]","1529-05-04","1529-05-17"
"emser_hieronymus_viaf_19702295","Hieronymus EMSER [COE] // Hieronymus Emser [CWE] // Emser, Hieronymus [ALLEN]","1517-03-15","1527-12-29"
"engelbrecht_philipp_viaf_90637450","Philipp ENGELBRECHT [COE] // Philipp Engelbrecht [CWE] // Engelbrecht, Philip (Engentinus, Philippus) [ALLEN]","1520-05-24","1520-05-24"
"ephorinus_anzelm_viaf_162342507","Anselmus EPHORINUS [COE] // Anselmus Ephorinus [CWE] // Ephorinus, Anselmus [ALLEN]","1531-09-15","1535-08-16"
"episcopius_nicolaus_viaf_100388966","Nicolaus EPISCOPIUS [COE] // Nicolaus Episcopius [CWE] // Episcopius, Nicolaus [ALLEN]","1526-05-16","1530-01-17"
"eppendorf_heinrich_viaf_59837595","Heinrich EPPENDORF [COE] // Heinrich Eppendorf [CWE] // Eppendorf, Heinrich von [ALLEN]","1523-06-01","1529-02-01"
"ernst_duke_of_bavaria_viaf_57415353","Ernest, duke of BAVARIA [COE] // Duke Ernest of Bavaria [CWE] // Ernest, Duke of Bavaria [ALLEN]","1517-11-04","1517-11-04"
"eschenfelder_christoph_viaf_15584505","Christoph ESCHENFELDER [COE] // Christoph Eschenfelder [CWE] // Eschenfelder, Christoph [ALLEN]","1518-10-19","1536-01-27"
"eustachius_andreas_viaf_unknown","Eustachius ANDREAS [COE] // Eustachius Andreas [CWE] // Andreas, Eustace [ALLEN]","1524-12-27","1524-12-27"
"evangelista_[corpus_era]_viaf_unknown","EVANGELISTA [COE] // Evangelista [CWE] // Evangelista [ALLEN]","1497-01-01","1497-01-01"
"everardi_nicolaus_viaf_113330335","Nicolaas EVERAERTS [COE] // Nicolaas Everaerts [CWE] // Everard, Nicholas [ALLEN]","1520-04-17","1525-12-24"
"faber_jacobus_viaf_uncertain","Jacobus FABER [COE] // Jacob Faber [CWE] // Faber, J., of Deventer [ALLEN]","1503-07-09","1503-07-09"
"fabri_johann_viaf_73844870","Johannes FABRI [COE] // Johannes Fabri [CWE] // Faber, John [ALLEN]","1519-04-26","1535-05-15"
"falco_johannes_viaf_unknown","Johannes FALCO [COE] // Johannes Falco [CWE] // Falcon, John [ALLEN]","1499-02-03","1499-02-03"
"ferdinand_i_holy_roman_emperor_viaf_51698517","Emperor FERDINAND I [COE] // Archduke Ferdinand [CWE] // Ferdinand of Austria [ALLEN]","1522-11-29","1536-01-27"
"fernández_de_madrid_alonso_viaf_88700304","Alonso FERNÁNDEZ de Madrid [COE] // Alonso Fernández de Madrid [CWE] // Fernandez, Alfonso [ALLEN]","1527-11-13","1528-03-15"
"fettich_theobald_viaf_39718269","Theobald FETTICH [COE] // Theobald Fettich [CWE] // Fettich, Theobald [ALLEN]","1526-12-05","1533-02-01"
"fevynus_johannes_viaf_305828704","Jan van FEVIJN [COE] // Jan van Fevijn [CWE] // Fevinus, Joannes [ALLEN]","1519-09-09","1530-03-06"
"filonardi_ennio_viaf_88875469","Ennio FILONARDI [COE] // Ennio Filonardi [CWE] // Filonardi, Ennio [ALLEN]","1522-05-21","1532-11-13"
"fisher_christopher_viaf_unknown","Christopher FISHER [COE] // Christopher Fisher [CWE] // Fisher, Christopher [ALLEN]","1505-03-01","1505-03-01"
"fisher_john_saint_viaf_266081375","John FISHER [COE] // John Fisher [CWE] // Fisher, St. John [ALLEN]","1511-09-01","1524-09-04"
"fisher_robert_viaf_unknown","Robert FISHER [COE] // Robert Fisher [CWE] // Fisher, Robert [ALLEN]","1497-08-01","1499-12-05"
"flandern_louis_de_viaf_57769275","Louis of FLANDERS [COE] // Louis of Flanders [CWE] // Flanders, Louis of (Ludovicus Pratensis, Pratus) [ALLEN]","1521-01-01","1521-01-01"
"florenas_remaclus_viaf_18036550","REMACLUS ARDUENNA [COE] // Remacle d'Ardenne [CWE] // Rimaclus [ALLEN]","1516-06-01","1516-06-01"
"fonseca_alonso_de_viaf_3902488","Alonso de FONSECA [COE] // Alonso de Fonseca [CWE] // Fonseca, Alfonso de [ALLEN]","1526-09-03","1531-10-31"
"foxe_richard_viaf_34703866","Richard FOXE [COE] // Richard Foxe [CWE] // Foxe, Richard [ALLEN]","1506-01-01","1520-05-05"
"francesco_ii_sforza_duke_of_milan_viaf_32110035","Francesco II SFORZA [COE] // Francesco II Sforza [CWE] // Sforza, Francesco Maria [ALLEN]","1535-10-16","1535-10-16"
"franciscans_viaf_not_applicable","[Franciscans] [COE] // Franciscans [CWE] // Franciscans [ALLEN]","1530-02-20","1530-02-20"
"francis_i_king_of_france_viaf_21677","FRANCIS I [COE] // Francis I [CWE] // Francis I, King of France [ALLEN]","1517-02-21","1526-06-16"
"francis_john_viaf_unknown","John FRANCIS [COE] // John Francis [CWE] // Francis, John [ALLEN]","1524-12-27","1526-10-01"
"franck_sebastian_viaf_46842654","Sebastian FRANCK [COE] // Sebastian Franck [CWE] // Eleutherius [ALLEN]","1531-03-06","1531-03-06"
"frederick_iii_elector_of_saxony_viaf_316392243","Frederick III, elector of SAXONY [COE] // Duke / Elector Frederick of Saxony [CWE] // Frederick of Saxony [ALLEN]","1517-06-04","1519-05-30"
"frederiks_willem_viaf_unknown","Willem FREDERIKS [COE] // Willem Frederiks [CWE] // Frederici, William [ALLEN]","1521-04-30","1521-04-30"
"freisleben_christoph_viaf_15826485","Christoph FREISLEBEN [COE] // Christoph Freisleben [CWE] // Freisleben, Christopher [ALLEN]","1531-04-03","1531-04-03"
"frick_konrad_viaf_unknown","Konrad FRICK [COE] // Konrad Frick [CWE] // Frick, Conrad [ALLEN]","1520-07-12","1520-10-01"
"froben_hieronymus_viaf_32319505","Hieronymus FROBEN [COE] // Hieronymus Froben [CWE] // Froben, Hieronymus [ALLEN]","1521-08-14","1530-12-15"
"froben_johannes_erasmus_viaf_80419193","Erasmius FROBEN [COE] // Johannes Erasmius Froben [CWE] // Froben, John Erasmius [ALLEN]","1522-02-28","1529-11-02"
"froben_johann_viaf_7440203","Johann FROBEN [COE] // Johann Froben [CWE] // Froben, John [ALLEN]","1516-06-17","1518-10-22"
"fugger_anton_viaf_806644","Anton FUGGER [COE] // Anton Fugger [CWE] // Fugger, Anton [ALLEN]","1529-04-05","1531-08-22"
"furster_valentin_viaf_unknown","Valentin FURSTER [COE] // Valentin Furster [CWE] // Furster, Valentin [ALLEN]","1527-03-24","1527-03-24"
"gachi_jean_viaf_unknown","Jean GACHI [COE] // Jean Gachi [CWE] // Gacy, Jean [ALLEN]","1527-10-17","1527-10-17"
"gaguin_robert_viaf_14908169","Robert GAGUIN [COE] // Robert Gaguin [CWE] // Gaguin, Robert [ALLEN]","1495-09-01","1500-03-01"
"gaigny_jean_de_viaf_85041114","Jean de GAIGNY [COE] // Jean den Gaigny [CWE] // Loret, Stephen [ALLEN]","1533-05-11","1533-05-11"
"gallinarius_johannes_viaf_66819994","Johannes GALLINARIUS [COE] // Johannes Gallinarius [CWE] // Gallinarius, Joannes [ALLEN]","1522-08-15","1522-08-15"
"gardiner_stephen_viaf_54292111","Stephen GARDINER [COE] // Stephen Gardiner [CWE] // Gardiner, Stephen [ALLEN]","1526-02-28","1526-09-03"
"gattinara_mercurino_marchese_di_viaf_9855777","Mercurino Arborio di GATTINARA [COE] // Mercurino Gattinara [CWE] // Gattinara, Mercurino [ALLEN]","1520-10-04","1528-07-27"
"geldenhauer_gerard_viaf_12331377","Gerard GELDENHOUWER [COE] // Gerard Geldenhouwer [CWE] // Geldenhauer, Gerard of Nymegen (Noviomagus) [ALLEN]","1516-11-12","1529-12-03"
"georg_duke_of_saxony_viaf_52484350","George, duke of SAXONY [COE] // Duke George of Saxony [CWE] // George of Saxony, Duke [ALLEN]","1517-01-01","1531-05-15"
"georg_von_österreich_viaf_74667947","GEORGE of Austria [COE] // George of Austria [CWE] // George of Austria [ALLEN]","1528-02-03","1528-02-03"
"gerard_cornelis_viaf_56666862","Cornelis GERARD [COE] // Cornelis Gerard [CWE] // Gerard, Cornelius [ALLEN]","1489-01-01","1498-10-01"
"gerard_of_friesland_viaf_unknown","GERARD of Friesland [COE] // Gerard of Friesland [CWE] // Gerardus Phrysius (unidentified) [ALLEN]","1529-11-04","1533-06-08"
"gerard_of_kloster_viaf_unknown","GERARD of Kloster [COE] // Gerard of Kloster [CWE] // Kloster, Gerard of [ALLEN]","1520-06-21","1520-06-21"
"gerard_pieter_viaf_unknown","Pieter GERARD [COE] // Pieter Gerard [CWE] // Gerard, Peter [ALLEN]","1487-01-01","1487-01-01"
"gerbel_nicolaus_viaf_60906847","Nikolaus GERBEL [COE] // Nikolaus Gerbel [CWE] // Gerbell, Nicholas [ALLEN]","1515-08-01","1518-10-20"
"gering_christoph_viaf_unknown","Christoph GERING [COE] // Christoph Gering [CWE] // Gering, Christoph [ALLEN]","1534-01-30","1535-01-29"
"giberti_giovanni_matteo_viaf_74583902","Gian Matteo GIBERTI [COE] // Gian Matteo Giberti [CWE] // Giberti, Gian Matteo (Datarius) [ALLEN]","1524-04-20","1526-05-21"
"giese_tiedemann_viaf_32819965","Tiedemann GIESE [COE] // Tiedemann Giese [CWE] // Giese, Tiedemann [ALLEN]","1536-03-28","1536-06-06"
"gigli_silvestro_viaf_unknown","Silvestro GIGLI [COE] // Silvestro Gigli [CWE] // Gigli, Sylvester [ALLEN]","1517-01-31","1521-01-17"
"gillis_pierre_viaf_12425170","Pieter GILLIS [COE] // Pieter Gillis [CWE] // Gilles, Peter (Aegidius, Petrus) [ALLEN]","1505-03-01","1530-01-28"
"giovio_benedetto_viaf_54492095","Benedetto GIOVIO [COE] // Benedetto Giovio [CWE] // Jovius, B. [ALLEN]","1525-06-01","1525-10-01"
"giustiniano_sebastiano_viaf_88642380","Sebastiano GIUSTINIANI [COE] // Sebastiano Giustiniani [CWE] // Giustinian, Sebastian [ALLEN]","1517-03-01","1517-06-29"
"glapion_jean_viaf_308204333","Jean GLAPION [COE] // Jean Glapion [CWE] // Glapion, Joannes [ALLEN]","1522-04-21","1522-04-21"
"glareanus_henricus_viaf_73950690","Henricus GLAREANUS [COE] // Henricus Glareanus [CWE] // Glareanus, Henricus (H. Loriti of Glarus) [ALLEN]","1516-07-13","1535-09-10"
"göbler_justinus_viaf_37793830","Justin GOBLER [COE] // Justin Gobler [CWE] // Gobler, Justin [ALLEN]","1528-02-05","1528-02-05"
"goclenius_conrad_viaf_100370860","Conradus GOCLENIUS [COE] // Conradus Goclenius [CWE] // Goclenius, Conradus [ALLEN]","1521-02-06","1536-06-28"
"goethals_liévin_viaf_62363145","Lieven ALGOET [COE] // Lieven Algoet [CWE] // Algoet, Levinus or Livinus (Omnibinus, Panagethus) [ALLEN]","1520-04-13","1520-04-13"
"gois_damião_ de_viaf_29543090","Damião de GOIS [COE] // Damião de Gois [CWE] // Goes, Damian A (Lusitanus) [ALLEN]","1533-06-20","1536-07-15"
"gómez_alvar_viaf_23863826","Álvar GÓMEZ [COE] // Álvar Gómez [CWE] // Alvar [ALLEN]","1516-11-01","1516-11-01"
"gonnell_william_viaf_unknown","William GONNELL [COE] // William Gonnell [CWE] // Gonell, William [ALLEN]","1513-09-26","1518-04-22"
"gracián_diego_viaf_32887288","Diego GRACIÁN de Alderete [COE] // Diego Gracián de Alderete [CWE] // Gracian, Diego [ALLEN]","1527-12-01","1530-03-28"
"grapheus_cornelius_scribonius_viaf_24593400","Cornelius GRAPHEUS [COE] // Cornelius Grapheus [CWE] // Grapheus, Cornelius [ALLEN]","1529-03-07","1535-09-02"
"gratius_ortwin_viaf_100274693","Ortwinus GRATIUS [COE] // Ortwinus Gratius [CWE] // Gratius, Ortuinus [ALLEN]","1519-09-15","1519-09-15"
"gravius_bernardus_viaf_unknown","Bernardus GRAVIUS [COE] // Bernardus Gravius [CWE] // Gravius, Bernardus [ALLEN]","1533-12-24","1534-03-01"
"gravius_tielmannus_viaf_unknown","Tielmannus GRAVIUS [COE] // Tielmannus Gravius [CWE] // Gravius, Tielmann (a Fossa) [ALLEN]","1527-05-29","1536-06-22"
"greverade_adolf_viaf_unknown","Adolf GREVERADE [COE] // Greveradus [CWE] // Greverade [ALLEN]","1500-12-18","1500-12-18"
"grey_thomas_viaf_unknown","Thomas GREY [COE] // Thomas Grey [CWE] // Grey, Thomas [ALLEN]","1497-01-01","1517-02-13"
"grimani_domenico_viaf_67314831","Domenico GRIMANI [COE] // Domenico Grimani [CWE] // Grimani, Domenico [ALLEN]","1515-05-15","1519-10-02"
"groffik_jakub_viaf_unknown","Jakub GROFFIK [COE] // Jakub Groffik [CWE] // Grofficius [ALLEN]","1533-05-15","1533-05-15"
"grolier_jean_viaf_51698044","Jean GROLIER [COE] // Jean Grolier [CWE] // Grolier, Jean [ALLEN]","1518-04-24","1518-04-24"
"grunnius_lambertus_viaf_33092660","Lambertus GRUNNIUS [COE] // Lambertus Grunnius [CWE] // Grunnius, Lambertus [ALLEN]","1516-08-01","1516-08-01"
"grunnius_[corpus_era]_viaf_unknown","GRUNNIUS","1531-03-05","1531-03-05"
"gruntgen_heinrich_viaf_unknown","Heinrich GRUNTGEN [COE] // Heinrich Gruntgen [CWE] // Gruingius [ALLEN]","1520-03-07","1520-03-07"
"gruyères_léonard_de_viaf_unknown","Léonard de GRUYÈRES [COE] // Léonard de Gruyères [CWE] // Gruyères, Léonard de [ALLEN]","1524-12-29","1536-03-16"
"grynaeus_simon_viaf_51739295","Simon GRYNAEUS [COE] // Simon Grynaeus [CWE] // Grynaeus, Simon [ALLEN]","1525-12-26","1531-11-29"
"gualtieri_pietro_paolo_viaf_89729847","Pier Paolo GUALTIERI [COE] // Pier Paolo Gualtieri [CWE] // Gualterius, Petrus Paulus [ALLEN]","1535-06-01","1535-06-01"
"guibé_robert_viaf_44450742","Robert GUIBÉ [COE] // Robert Guibé [CWE] // Guibé, Robert [ALLEN]","1512-02-08","1512-02-08"
"guildford_henry_viaf_160149629","Henry GUILDFORD [COE] // Henry Guildford [CWE] // Guildford, Henry [ALLEN]","1519-05-15","1519-10-18"
"guilelmus_hermannus_viaf_79253976","Willem HERMANS [COE] // Willem Hermans [CWE] // Herman, William [ALLEN]","1493-01-01","1503-09-27"
"guillard_louis_viaf_172190973","Louis GUILLARD [COE] // Louis Guillard [CWE] // Guillard, Louis [ALLEN]","1521-06-17","1521-06-17"
"gumppenberg_ambrosius_von_viaf_27866230","Ambrosius von GUMPPENBERG [COE] // Ambrosius von Gumppenberg [CWE] // Gumppenberg, Ambrosius [ALLEN]","1532-03-05","1535-08-21"
"gusebel_johannes_viaf_5746266","Johannes LONGICAMPIANUS [COE] // Johannes Longicampianus [CWE] // Longicampianus, John [ALLEN]","1518-10-20","1518-10-20"
"hacus_christoph_viaf_54963143","Christoph HACK [COE] // Christoph Hack [CWE] // Hack, Christopher [ALLEN]","1519-08-13","1519-08-13"
"haer_jan_dirksz_van_der_viaf_unknown","Jan Dirksz van der HAER [COE] // Jan Dirksz van der Haer [CWE] // Harius, Joannes Theodericus [ALLEN]","1520-09-09","1520-09-09"
"halewyn_georges_de_viaf_100289355","Joris van HALEWIJN [COE] // Joris van Halewijn [CWE] // Halewin, George (Haloinus, Heloinus) [ALLEN]","1517-08-29","1521-03-31"
"halsey_thomas_viaf_unknown","Thomas HALSEY [COE] // Thomas Halsey [CWE] // Halsey, Thomas [ALLEN]","1512-02-08","1512-02-08"
"haner_johann_viaf_10904398","Johann HANER [COE] // Johann Haner [CWE] // Haner, John [ALLEN]","1524-02-17","1524-02-17"
"harst_karl_viaf_81360435","Karl HARST [COE] // Karl Harst [CWE] // Harst, Karl [ALLEN]","1521-06-22","1521-06-22"
"hasenberg_johann_viaf_250734458","Jan HORÁK [COE] // Jan Horák [CWE] // Hasenberg, John [ALLEN]","1530-01-06","1530-01-06"
"hatten_maternus_viaf_unknown","Maternus HATTEN [COE] // Maternus Hatten [CWE] // Hatten, Maternus [ALLEN]","1518-10-20","1522-06-04"
"hedio_kaspar_viaf_37708208","Caspar HEDIO [COE] // Caspar Hedio [CWE] // Hedio, Caspar [ALLEN]","1524-03-01","1535-05-24"
"heemstede_jan_of_viaf_unknown","Jan of HEEMSTEDE [COE] // Jan of Heemstede [CWE] // Heemstede, John of [ALLEN]","1525-11-08","1533-02-28"
"hegendorph_christoph_viaf_54260943","Christoph HEGENDORFF [COE] // Christoph Hegendorf [CWE] // Hegendorfer, Christopher [ALLEN]","1520-12-13","1520-12-13"
"henckel_johannes_viaf_42653796","Johann HENCKEL [COE] // Johann Henckel [CWE] // Henckel, Johann [ALLEN]","1526-03-07","1533-03-24"
