"correspondents_id","name_in_edition","Beginning of correspondence with Pirckheimer","End of the correspondence with Pirckheimer"
"georg_III_bamberg_bischof_viaf_15568815","Bischof Georg von Bamberg // Georg III., Schenk von Limpurg","1512-09-18","1520-12-03"
"gerbel_nicolaus_viaf_60906847","Nikolaus Gerbel","1518-05-10","1518-05-10"
"geuder_brigitta_viaf_8143882","Brigitta Geuder","1520-08-25","1520-08-25"
"geuder_georg_viaf_uncertain","Georg Geuder","1515-03-01","1530-06-24"
"geuder_hans_viaf_167595640","Hans Geuder","1515-03-01","1529-10-20"
"geuder_martin_der_jüngere_viaf_unknown","Martin Geuder d. J.","1528-06-26","1528-06-26"
"geuder_sebald_viaf_unknown","Sebald Geuder","1515-03-01","1530-06-27"
"glareanus_henricus_viaf_73950690","Heinrich Glareanus","1523-11-01","1530-09-05"
"gotzendorffer_hans_viaf_unknown","Hans Gotzendorffer","1499-06-13","1499-06-13"
"graf_balthasar_viaf_unkown","Balthasar Graf","1507-05-24","1507-05-24"
"groland_leonhard_viaf_168778652","Lienhart Groland","1519-08-26","1519-08-26"
"grüninger_johann_viaf_304920352","Johann Grieninger","1524-06-01","1529-12-18"
"gugel_christoph_viaf_232302151","Christoph Gugel","1525-01-01","1526-02-01"
"habermayer_katharine_viaf_8137100","Katharina Habermayerin // Katharina, Priorin des Klosters Marienburg","1506-01-09","1506-01-09"
"haller_sebastian_viaf_unknown","Sebastian Haller","0000-00-00","0000-00-00"
"haller_von_hallerstein_hieronymus_viaf_81436331","Hieronymus Haller","1517-08-08","1517-08-08"
"haloander_gregor_viaf_100185149","Gregor Haloander","1530-08-01","1530-09-01"
"hegendorph_christoph_viaf_54260943","Christoph Hegendorf","1520-07-03","1520-07-03"
"heinrich_III_nassau_graf_viaf_45163160","Graf Heinrich von Nassau","1527-10-31","1527-10-31"
"helfenstein_ulrich_von_viaf_232441970","Graf Ulrich von Helfenstein","1522-08-31","1522-08-31"
"heller_jakob_viaf_140302440","Jakob Heller","1518-03-20","1518-11-13"
"herden_katharina_viaf_32756028","Katharina Herden // Katharina, Priorin von Marienstein","1507-02-11","1507-02-11"
"hessus_helius_eobanus_viaf_71412338","Helius Eobanus Hessus","1521-06-01","1530-10-09"
"heß_johann_viaf_74612417","Johannes Hessus","1517-12-29","1530-10-13"
"hipler_johann_viaf_unknown","Johann Hipler","1518-05-25","1521-10-01"
"hircanus_sebastian_viaf_unknown","Sebastian Hircanus","1505-01-31","1505-01-31"
"hohenlohe_graf_albrecht_von_viaf_37680768","Graf Albrecht von Hohenlohe","1524-01-14","1526-03-05"
"hohenlohe_graf_georg_von_viaf_74616777","Graf Georg von Hohenlohe","1525-07-18","1525-07-18"
"hollfeld_mayor_of_viaf_not_applicable","Bürgermeister zu Hollfeld","1509-02-10","1509-02-10"
"hollfeld_town_council_of_viaf_not_applicable","Rat zu Hollfeld","1509-02-10","1509-02-10"
"hummelberger_gabriel_viaf_47706765","Gabriel Hummelberg","1527-09-08","1530-08-21"
"hummelberger_michael_viaf_287885872","Michael Hummelberg","1524-02-09","1527-04-14"
"hutten_ulrich_von_viaf_95193756","Ulrich von Hutten","1517-04-20","1521-11-01"
"huttich_johann_viaf_5722622","Johann Huttich","1524-10-18","1525-03-17"
"imhoff_andreas_viaf_25371459","Endres Imhoff","1526-09-01","1526-09-01"
"imhoff_hans_(V)_viaf_64775849","Hans Imhoff d. Ä.","1506-01-12","1506-01-12"
"imhoff_hans_(VI)_viaf_81855873","Hans Imhoff jun.","1518-11-14","1518-12-03"
"imhoff_hieronymus_viaf_unknown","Hieronymus Imhoff","1529-05-10","1529-11-01"
"imhoff_sebastian_I_viaf_22145067039866631202","Sebastian Imhoff","1528-06-01","1528-06-01"
"irenicus_franciscus_viaf_52493747","Franciscus Irenicus","1517-11-01","1518-07-20"
"jechler_lorenz_viaf_uncertain","Lorenz Jechler","1515-04-02","1515-04-02"
"kaden_michael_von_viaf_80400410","Michael von Kaden","1521-03-03","1521-03-03"
"käuffelin_balthasar_viaf_81875487","Balthasar Käuffelin","1519-01-07","1519-01-07"
"klays_konrad_viaf_unknown","Konrad Klays","1525-12-12","1525-12-12"
"klingenberg_johann_jakob_viaf_uncertain","Johann Jakob von Klingenberg","1519-11-14","1520-04-17"
"koberger_johannes_viaf_100735335","Hans Koberger","1525-03-20","1525-03-20"
"koler_katharina_viaf_unknown","Katharina Koler","1526-10-01","1526-10-01"
"kreber_leonhard_viaf_unknown","Leonhard Kreber","1524-01-04","1526-03-09"
"kreber_michael_viaf_unknown","Michael Kreber","1524-07-26","1527-11-02"
"kress_anton_viaf_8938667","Anton Kreß","1499-01-12","1504-04-12"
"kreß_magdalena_viaf_unknown","Magdalena Kreß","1527-05-26","1527-05-26"
"laeus_johannes_viaf_uncertain","Johannes Laeus","1526-04-22","1526-04-22"
"lang_johann_viaf_67343955","Johannes Lange","1519-12-21","1519-12-21"
"laufenburg_town_council_of_viaf_not_applicable","Rat zu Laufenburg","1507-05-20","1507-05-20"
"lawyers_of_two_counts_of_hohenlohe_viaf_not_applicable","Anwälte zweier Grafen von Hohenlohe","1504-12-28","1504-12-28"
"leib_kilian_viaf_57412912","Kilian Leib","1502-01-01","1530-10-03"
"lentersheim_veit_von_viaf_unknown","Veit von Lentersheim","1514-04-24","1514-04-24"
"leo_x_pope_viaf_316407579","Papst Leo X.","1515-01-01","1520-12-01"
"leupolt_gangolf_viaf_unknown","Gangolf Leupolt","1518-09-18","1518-09-18"
"lier_gottfried_von_viaf_unknown","Gottfried von Lier","1527-10-31","1527-10-31"
"linck_wenzeslaus_viaf_25394616","Wenceslaus Linck","1518-05-01","1521-03-04"
"locher_jakob_viaf_22239224","Jakob Locher Philomusus","1510-05-10","1510-05-10"
"lochinger_hans_viaf_unknown","Hans Lochinger","1518-03-23","1519-04-02"
"loeffelholz_von_colberg_martin_viaf_86025775","Martin Löffelholz","1508-03-25","1527-09-12"
"longinus_vincentius_viaf_49659875","Vinzenz Longinus Eleutherius","1502-01-01","1502-01-01"
"lotzer_johann_(1)_viaf_37256989","Johann Lotzer","1529-01-01","1529-01-01"
"ludwig_V_pfalz_kurfürst_viaf_61689502","Pfalzgraf Ludwig","1524-01-01","1524-01-01"
"lupf_augustin_viaf_unknown","Augustin Lupf","1515-01-01","1515-01-01"
"luther_martin_viaf_14773105","Martin Luther","1519-02-20","1519-02-20"
"macrinus_melchior_viaf_1369145857002922920825","Melchior Macrinus","1524-11-05","1524-11-05"
"maier_bartholomaeus_viaf_unknown","Bartholomaeus Maier","1528-04-16","1528-04-29"
"malon_gabriel_de_viaf_unknown","Gabriel de Malon","1526-04-26","1526-04-26"
"marchello_david_de_viaf_unknown","David de Marchello","1506-01-30","1511-05-26"
"marstaller_michael_viaf_232122308","Michael Marstaller","1517-10-25","1524-03-01"
"maximilian_I_holy_roman_emperor_viaf_293727145","Kaiser Maximilian","1512-09-01","1518-03-29"
"melanchthon_philipp_viaf_76319978","Philipp Melanchthon","1516-09-01","1526-09-10"
"miltiz_karl_von_viaf_72189171","Karl von Miltitz","1519-02-03","1521-01-01"
"montanus_jakob_viaf_52459266","Jakob Montanus","1524-02-08","1530-07-31"
"mosham_ruprecht_von_viaf_20551741","Rupert von Mosham ","1524-05-23","1524-05-23"
"murr_brigitta_von_viaf_unknown","Brigitta von Murr","1529-12-24","1529-12-24"
"murr_eufemia_von_viaf_37687141","Eufemia von Murr","1506-03-02","1520-04-17"
"nausea_friedrich_viaf_248203874","Friedrich Nausea","1518-06-19","1519-11-04"
"neudörffer_johann_viaf_49456710","Johann Neudörffer","1524-07-10","1524-07-10"
"neuenar_hermann_graf_von_viaf_18164526","Hermann von Neuenahr","1513-07-01","1530-07-01"
"nicolai_konrad_viaf_unknown","Konrad Nicolai","1525-09-04","1525-09-04"
"nürnberg_mayor_of_viaf_not_applicable","Bürgermeister von Nürnberg","1499-05-14","1499-05-14"
"nürnberg_town_council_ältere_herren_viaf_not_applicable","Die Älteren Herren des Nürnberger Rats","1506-09-10","1520-10-19"
"nürnberg_town_council_fünf_herren","Die Fünf Herren","1518-01-01","1518-01-01"
"nürnberg_town_council_of_viaf_not_applicable","Rat der Stadt Nürnberg","1499-05-08","1529-06-15"
"nützel_kaspar_viaf_15536542","Kaspar Nützel","1513-12-25","1525-11-01"
"oecolampadius_johann_viaf_56634092","Johannes Oecolampadius","1517-03-20","1527-02-01"
"öffl_sebastian_viaf_unknown","Sebastian Öffl","1518-05-30","1518-05-30"
"opsopoeus_vincentius_viaf_100205376","Vincentius Opsopoeus","1525-01-01","1528-03-01"
"pellicanus_konrad_viaf_41862976","Konrad Pellicanus","1524-01-16","1524-01-16"
"peutinger_konrad_viaf_56776766","Konrad Peutinger","1511-01-01","1530-03-12"
"pfintzing_melchior_viaf_56753537","Melchior Pfinzing","1512-01-01","1530-12-05"
"pflug_julius_von_viaf_3265533","Julius Pflug","1520-02-07","1530-09-11"
"pfnzing_sebald_viaf_80893478","Sebald Pfinzing","0000-00-00","1529-04-05"
"phrygio_paul_constantin_viaf_100373177","Paulus Constantinus Phrygio","1519-06-20","1525-02-04"
"pico_della_mirandola_giovanni_francesco_viaf_100167850","Giovanni Francesco Pico della Mirandola","1502-12-15","1530-03-15"
"pirckheimer_caritas_die_ältere_viaf_41848634","Caritas Pirckheimer d. Ä.","1502-01-01","1528-05-01"
"pirckheimer_caritas_die_jüngere_viaf_1024145858287223022794","Caritas Pirckheimer d. J.","1518-01-01","1530-11-13"
"pirckheimer_eufemia_viaf_100506353","Eufemia Pirckheimer","1505-12-21","1530-11-13"
