"Correspondent","name_in_edition","Beginning of the correspondence","End of the correspondence"
"daa18870-1c1f-4d5a-9cef-f9f93fcece52","Jakob Ziegler","1511-11-23","1530-10-31"
"e29e3092-5f6a-4995-b866-8df1aac8503d","Petrus Mosellanus","1519-01-24","1524-01-07"
"e30f839f-c832-42e2-b7ea-22a344dbdf2b","Jakob Montanus","1524-02-08","1530-07-31"
"e3e8f42f-41c6-4bff-afa6-152bdb2f9bde","Sabina Pirckheimer","1505-12-21","1529-11-06"
"e5ee387e-846b-415e-b5a7-8aaaeb6ca06e","Johannes Cuspinianus","1515-05-16","1527-01-25"
"e64e4259-4c7d-46d3-ad47-b0792af5acdc","Lorenz Beheim","1505-12-31","1520-04-18"
"e921d3e6-9dc2-40e7-9fe6-902dcd5cfe9b","Georg Spalatin","1508-08-26","1530-04-29"
"ed930b47-2327-461d-8784-59d26a9694dd","Ulrich Varnbühler // Ulrich Varnbüler","1504-03-30","1528-04-07"
"f022a3b4-8319-4bec-91d5-466f5888fb74","Kaspar Nützel","1513-12-25","1525-11-01"
"f06096c0-b735-4eeb-aa95-9cdca9635381","Johannes Alexander Brassicanus","1519-11-16","1521-03-05"
"f564e651-a2fc-489f-85ad-b6ee7657da50","Caritas Pirckheimer d. J.","1518-01-01","1530-11-13"
"fbe48cf3-563d-4db6-8ebe-176778754602","Veit Bild","1523-01-22","1528-10-02"
