"sender_id","name_in_edition","Beginning of the correspondence","End of the correspondence"
"2faf2bce-ebdc-42c1-a8bc-09d485a6ce74","Konrad Cordatus","1524-08-25","1525-11-01"
"302e8e11-6a37-4400-b3fe-6ae0b410824b","Florenz von Venningen","1524-04-20","1524-04-24"
"313d5e42-31ce-44fe-9832-eb4da2e49fcb","Wolfgang Faber Capito","1524-01-17","1524-09-09"
"339f5163-23f9-4ed6-ba08-9b6334539fc9","Christoph Scheurl","1511-03-25","1515-11-01"
"35263e2b-a420-45df-9c45-10a3d50b59af","Johannes Werner","1514-01-01","1514-01-01"
"38901003-7826-4efb-8284-48a139517cd0","Graf Albrecht von Hohenlohe","1524-01-14","1526-03-05"
"38b0f3c5-04ab-4805-82a6-d22fa9a01172","Hans Lochinger","1518-03-23","1519-04-02"
"3a800695-7c4d-4f08-b1b8-0635e09a5c91","Konrad Klays","1525-12-12","1525-12-12"
"3d8ecfd2-0603-4419-9f51-347e05b99d1c","Margaretha Rauch // Margaretha Reuin","1510-01-01","1529-12-12"
"3ebe13d3-f9af-4eb1-bdd6-50785c275b25","Rat zu Hollfeld","1509-02-10","1509-02-10"
"3ee5f6cd-ee1c-4774-af66-27271ec71cb3","Heinrich Glareanus","1523-11-01","1530-09-05"
"3fed2b68-68a4-4d13-b918-cc6384b44972","Philipp Plaß","1525-09-17","1525-09-17"
"40909457-29f1-47e9-bbd9-dd227789fa0d","Johann Neudörffer","1524-07-10","1524-07-10"
"43d92d42-0785-46b5-acc1-d67377ff7b11","Michel Schluchter","1506-11-11","1506-11-11"
"4652181c-036f-4a33-8c1f-e9f59f85adc6","Ulrich von Albersdorff","1518-05-08","1518-05-08"
"48011e35-9bac-4ce7-b181-62c64c2e22bc","Jakob Spiegel","1529-01-23","1529-01-23"
"48e4f1d6-db96-484c-9bf3-4134df219d09","Paul von Schwarzenberg","1517-03-15","1517-03-15"
"49ffb04e-35b8-4514-939a-7587eb48702b","Andreas Rüttel","1530-05-28","1530-09-25"
"4a0014d5-a821-411b-8564-348b29f99c7a","Johannes Baptista de Castro Campi gen. Barbeta","1524-01-27","1524-01-27"
"4b24604a-3ab2-467e-afad-3b5a8427c9ea","Hermann Buschler","1519-11-19","1519-11-19"
"4b69e4fe-636e-4d56-ab53-60ca0c0c5c3c","Antonio de Vento","1527-05-01","1527-05-01"
"4da42729-6e54-464b-9dc4-23c027637d65","Benedictus Chelidonius","1501-11-01","1519-11-03"
"4dc64c0f-d7c4-46f2-a272-60d8b674765b","Alvise Conti","NULL","NULL"
"4def768d-f29a-49fe-8466-9afeffa7a72c","Konrad Pellicanus","1524-01-16","1524-01-16"
"50b36d28-2920-43b4-a363-4d9bc4834645","Andreas Frank","1520-09-17","1520-09-17"
