correspondents_id	type	gender	viaf_id	Label	known_name_variations	known_name_variations_ref	pob_loc_id	pob_loc_annotation	pob_loc_annotation_ref	dob_year1	dob_month1	dob_day1	dob_computable1	dob_has_range	dob_year2	dob_month2	dob_day2	dob_computable2	dob_annotion	dob_annotion_ref	pod_loc_id	pod_loc_annotation	pod_loc_annotation_ref	dod_year1	dod_month1	dod_day1	dod_computable1	dod_has_range	dod_year2	dod_month2	dod_day2	dod_computable2	dod_annotion	dod_annotion_ref	further_annotation
auerbach_heinrich_viaf_69872391	individual	male	69872391	Heinrich STROMER	Stromerus // Auerbachius // Auerbach	GND	auerbach_DE_gid_2954603	Auerbach	COE III, 291-292	1482	NULL	NULL	1482-01-01	1	1482	NULL	NULL	1482-12-31	1482	COE III, 291-292	leipzig_DE_gid_2879139	Leipzig	COE III, 291-292	1542	11	26	1541-11-26	0	1542	11	26	1541-11-26	26 November 1542	COE III, 291-292	
peutinger_konrad_viaf_56776766	individual	male	56776766	Konrad PEUTINGER	Peutingerus // Beyttinger // Peuthinerus // Pytingerus	GND	augsburg_DE_gid_2954172	Ausgburg	COE III, 74-76	1465	10	15	1465-10-15	0	1465	10	15	1465-10-15	15 October 1465	COE III, 74-76	augsburg_DE_gid_2954172	Augsburg	COE III, 74-76	1547	10	28	1547-10-28	0	1547	10	28	1547-10-28	28 October 1547	COE III, 74-76	
camerarius_joachim_viaf_2495607	individual	male	2495607	Joachim CAMERARIUS	Joachim Camerarius der Ältere // Liebhard // Camerary // Kamerariades // Kammermeister // Camermeister // Kämmerer	GND // COE I, 247-248 // HGK I, 158	bamberg_DE_gid_2952984	Bamberg	HGK I, 158	1500	04	12	1500-04-12	0	1500	04	12	1500-04-12	12 April 1500	COE I, 247-248	leipzig_DE_gid_2879139	Leipzig	HGK I, 158	1574	04	17	1574-04-17	0	1574	04	17	1574-04-17	17 April 1574	COE I, 247-248	
melanchthon_philipp_viaf_76319978	individual	male	76319978	Philippus MELANCHTHON	Didymus Faventinus // Theophilus Neocomensis // Schwartzerd // Schwarzerd // Schwarzert // Schwarzerdt	GND	bretten_DE_gid_2944200	Bretten	COE II, 424-429	1497	02	16	1497-02-16	0	1497	02	16	1497-02-16	16 February 1497	COE II, 424-429	wittenberg_DE_gid_7303020	Wittenberg	COE II, 424-429	1560	04	19	1560-04-19	0	1560	04	19	1560-04-19	19 April 1560	COE II, 424-429	
pirckheimer_willibald_viaf_27173507	individual	male	27173507	Willibald PIRCKHEIMER	Philadelphus // Cotta // Cottalambergius // Cottalembergius // Cotta Lembergius // Pirckheimer // Byrkhamer // Pirkeymerus // Pyrckheimerus // Pyrkheymerus // Birgheimerus // Birgheimer // Pirckheymer // Birckheimer // Pirckheimerus // Pirkheimer // Pirchaimerus // Pirckeymer // Bircamer // Birchheimer // Pirkheymer // Pirkamerus // Pirkeymer // Bircamerus // Birckhaimer // Pircheimerus // Pirckeymerus // Pirckeymherus // Pirckheymerus // Birckheymerus // Pircheymerus // Pirckheimherus // Pirckh	GND	eichstätt_DE_gid_2932069	Eichstätt	COE III, 90-94	1470	12	05	1470-12-05	0	1470	12	05	1470-12-05	5 December 1470	COE III, 90-94	nürnberg_DE_gid_2861650	Nürnberg	COE III, 90-94	1530	12	22	1530-12-22	0	1530	12	22	1530-12-22	22 December 1530	COE III, 90-94	
erasmus_desiderius_viaf_95982394	individual	male	95982394	ERASMUS	NULL	NULL	rotterdam_NL_gid_2747891	bei Rotterdam	HGK I, 250	1469	NULL	NULL	1469-01-01	1	NULL	NULL	NULL	1469-12-31	1469	HGK I, 250	basel_CH_gid_2661604	Basel	HGK I, 250	1536	NULL	NULL	1536-01-01	1	1536	NULL	NULL	1536-12-31	1536	HGK I 250	
pellicanus_konrad_viaf_41862976	individual	male	41862976	Conradus PELLICANUS	Pellican // Pelicanus // Pellikan // Pelican // Pelikaan // Pilicanus // Kürsner // Kürschner // Kurscherer	GND	rouffach_FR_gid_2982636	Rufach/Oberelsass	Deutsche Biographie	1478	01	08	1478-01-08	0	1478	01	08	1478-01-08	8 January 1478	COE III, 65-66	zürich_CH_gid_2657896	Zürich	Deutsche Biographie	1556	04	06	1556-04-06	0	1556	04	06	1556-04-06	6 April 1556	COE III, 65-66	
huttich_johann_viaf_5722622	individual	male	5722622	Johann HUTTICH	Eutychius // Huttichius // Hutichius // Huthichius	COE II, 220-221 // GND	strinz_trinitatis_DE_gid_2825809	Strinz in the Taunus	COE II, 220-221	1490	NULL	NULL	1490-01-01	1	1490	NULL	NULL	1490-12-31	ca. 1490	Reuchlin BW Leseausgabe Bd.IV, 229	strasbourg_FR_gid_2973783	Straßburg	GND	1544	03	04	1544-03-04	0	1544	03	04	1544-03-04	4 March 1544	COE II, 220-221	
egnazio_giovanni_battista_viaf_100187526	individual	male	100187526	Giambattista EGNAZIO	Cipelli // Cipolles // Aegnatius // Egnatius // Egnace // Egnatio	GND	venice_IT_gid_3164603	Venice	COE I, 424-425	1478	NULL	NULL	1478-01-01	1	1478	NULL	NULL	1478-12-31	1478	COE I, 424-425	unknown_location_XX_gid_unknown	Unknown	COE I, 424-425	1553	07	04	1553-07-04	0	1553	07	04	1553-07-04	4 July 1553	COE I, 424-425	
nausea_friedrich_viaf_248203874	individual	male	248203874	Fridericus NAUSEA	Blancicampianus // Grau // Grawe // Graf // Philalethus Eusebianus	GND	waischenfeld_DE_gid_2815297	Waischenfeld	COE III, 7-8	1496	NULL	NULL	1496-01-01	1	NULL	NULL	NULL	1496-12-31	c 1496	CERL Thesaurus	trento_IT_gid_3165243	Trent	COE III, 7-8	1552	02	06	1552-02-06	0	1552	02	06	1552-02-06	6 February 1552	COE III, 7-8	
