"correspondents_id","type","gender","viaf_id","name_in_edition","known_name_variations","known_name_variations_ref","pob_loc_id","pob_loc_annotation","pob_loc_annotation_ref","dob_year1","dob_month1","dob_day1","dob_computable1","dob_has_range","dob_year2","dob_month2","dob_day2","dob_computable2","dob_annotion","dob_annotion_ref","pod_loc_id","pod_loc_annotation","pod_loc_annotation_ref","dod_year1","dod_month1","dod_day1","dod_computable1","dod_has_range","dod_year2","dod_month2","dod_day2","dod_computable2","dod_annotion","dod_annotion_ref","further_annotation"
"alciati_andrea_viaf_51699991","individual","male","51699991","Andrea ALCIATI [COE] // Andrea Alciati [CWE] // Alciati, Andrea [ALLEN]","Alciatus // Alciato // Alciat","COE I, 23-26 // HGK I, 20","alzate_brianza_IT_gid_6535114","Alzate Brianza bei Como","HGK I, 20","1492","05","08","1492-05-08","0","1492","05","08","1492-05-08","8 May 1492","COE I, 23-26","pavia_IT_gid_3171366","Pavia","HGK I, 20","1550","01","12","1550-01-12","0","1550","01","12","1550-01-12","12 January 1550","COE I, 23-26",""
"brie_germain_de_viaf_227062191","individual","male","227062191","Germain de BRIE [COE] // Germain de Brie [CWE] // Brie, Germain de [ALLEN]","Brixius, the name form Brice is incorrect","COE I, 200-202","auxerre_FR_gid_3035843","Auxerre","HGK I, 133","1490","","","1490-01-01","1","1490","","","1490-12-31","ca 1490","HGK I, 130","paris_FR_gid_2988507","Paris","HGK I, 133","1538","07","22","1538-07-22","0","1538","07","22","1538-07-22","22 July 1538","COE I, 200-202",""
"sadoleto_jacopo_viaf_76326881","individual","male","76326881","Jacopo SADOLETO [COE] // Jacopo Sadoleto [CWE] // Sadoleto, Jacopo [ALLEN]","Sadolet","COE III, 183-187","modena_IT_gid_3173331","Modena","COE III, 183-187","1477","","12","1477-07-12","0","1477","","12","1477-07-12","12 July 1477","COE III, 183-187","rome_IT_gid_3169070","Rome","COE III, 183-187","1547","10","18","1547-10-18","0","1547","10","18","1547-10-18","18 October 1547","COE III, 183-187",""
"tusanus_jacobus_viaf_221293349","individual","male","221293349","Jacques TOUSSAIN [COE] // Jacques Toussain [CWE] // Tusanus [ALLEN]","Tusanus","COE III, 336-337","unknown_location_diocese_of_troyes_FR_gid_unknown","Unknown, in the diocese of Troyes","COE III, 336-337","","","","0000-00-00","1","","","","0000-00-00","","COE III, 336-337","unknown_location_XX_gid_unknown","Unknown","COE III, 336-337","1547","03","15","1547-03-15","0","1547","03","15","1547-03-15","15 March 1547","COE III, 336-337",""
"armagnac_georges_de_viaf_59219003","individual","male","59219003","Georges d'ARMAGNAC [COE] // Georges d'Armagnac [CWE] // Armagnac, Georges d' [ALLEN]","","","unknown_location_in_france_FR_gid_unknown","Unknown","COE I, 72","1500","","","1500-01-01","1","1500","","","1500-12-31","1500","COE I, 72","unknown_location_XX_gid_unknown","Unknown","COE I, 72","1585","07","10","1585-07-10","0","1585","07","10","1585-07-10","10 July 1585","COE I, 72",""
"erasmus_desiderius_viaf_95982394","individual","male","95982394","[Erasmus Desiderius] [COE] // Erasmus [CWE] // Erasmus [ALLEN]","","","rotterdam_NL_gid_2747891","bei Rotterdam","HGK I, 250","1469","","","1469-01-01","1","1469","","","1469-12-31","1469","HGK I, 250","basel_CH_gid_2661604","Basel","HGK I, 250","1536","","","1536-01-01","1","1536","","","1536-12-31","1536","HGK I 250",""
"vives_juan_luis_viaf_71399403","individual","male","71399403","Juan Luis VIVES [COE] // Juan Luis Vives [CWE] // Vives, John Louis [ALLEN]","","","valencia_ES_gid_2509954","Valencia","COE III, 409-413","1492","03","06","1492-03-06","0","1492","03","06","1492-03-06","6 March 1492","COE III, 409-413","brugge_BE_gid_2800931","Bruges","COE III, 409-413","1540","05","06","1540-05-06","0","1540","05","06","1540-05-06","6 May 1540","COE III, 409-413",""
"egnazio_giovanni_battista_viaf_100187526","individual","male","100187526","Giambattista EGNAZIO [COE] // Giambattista Egnazio [CWE] // Egnatius, Johannes Baptista [ALLEN]","Cipelli // Cipolles // Aegnatius // Egnatius // Egnace // Egnatio","GND","venice_IT_gid_3164603","Venice","COE I, 424-425","1478","","","1478-01-01","1","1478","","","1478-12-31","1478","COE I, 424-425","unknown_location_XX_gid_unknown","Unknown","COE I, 424-425","1553","07","04","1553-07-04","0","1553","07","04","1553-07-04","4 July 1553","COE I, 424-425",""
