"locations_id","Location Name Modern","Latitude","Longitude","NoCorrToPirck","NoCorrFromPirck"
"neuburg_an_der_donau_DE_gid_2866070","Neuburg an der Donau","48.73218","11.18709","2","NULL"
"neuenstein_DE_gid_2865557","Neuenstein","49.2049","9.58","1","1"
"neumarkt_in_der_oberpfalz_DE_gid_2864549","Neumarkt in der Oberpfalz","49.28028","11.46278","1","NULL"
"neustadt_an_der_aisch_DE_gid_2864057","Neustadt an der Aisch","49.57953","10.61126","NULL","1"
"nördlingen_DE_gid_2861914","Nördlingen","48.85122","10.48868","3","NULL"
"nürnberg_DE_gid_2861650","Nuremberg","49.45421","11.07752","39","15"
"nürnberg_katharinenkloster_DE_gid_unknown","Katharinenkloster Nürnberg","49.451667","11.081944","1","NULL"
"nürnberg_klarissenkloster_st_klara_DE_gid_unknown","Klarissenkloster St. Klara","49.4486","11.0794","3","4"
"oleśnica_PL_gid_3090170","Oleśnica","51.21338","17.38986","1","NULL"
"orléans_FR_gid_2989317","Orléans","47.90289","1.90389","1","NULL"
"padova_IT_gid_3171728","Padua","45.40797","11.88586","1","NULL"
"palencia_ES_gid_3114531","Palencia","42.00955","-4.52406","1","NULL"
"pamplona_ES_gid_3114472","Pamplona","42.81687","-1.64323","1","NULL"
"passau_DE_gid_2855328","Passau","48.5665","13.43122","2","NULL"
"pavia_IT_gid_3171366","Pavia","45.19205","9.15917","4","NULL"
"pillenreuth_abbey_DE_gid_unknown","Pillenreuth Abbey","49.3792","11.0781","1","NULL"
"prague_CZ_gid_3067696","Prague","50.08804","14.42076","1","NULL"
"ravensburg_DE_gid_2849802","Ravensburg","47.78198","9.61062","1","1"
"regensburg_DE_gid_2849483","Regensburg","49.01513","12.10161","3","NULL"
"roding_DE_gid_2845924","Roding","49.19426","12.51956","1","NULL"
"rome_IT_gid_3169070","Rome","41.89193","12.51133","4","4"
"salzburg_AT_gid_2766824","Salzburg","47.79941","13.04399","1","NULL"
"schloss_münchsdorf_DE_gid_unknown","Schloss Münchsdorf","48.588261","12.903188","1","NULL"
"schloss_schillingsfürst_DE_gid_unknown","Schloss Schillingsfürst","49.289997","10.257241","1","NULL"
"schloss_schwarzenberg_bei_scheinfeld_DE_gid_unknown","Schloss Schwarzenberg (Scheinfeld)","49.671848","10.473292","1","NULL"
"schloss_schwarzenburg_gid_unknown","Schloß Schwarzenburg","49.354251","12.490547","1","NULL"
"schwäbisch_hall_DE_gid_2835481","Schwäbisch Hall","49.11127","9.73908","2","NULL"
"schweinfurt_DE_gid_2834498","Schweinfurt","50.04937","10.22175","NULL","1"
"sélestat_FR_gid_2975233","Sélestat","48.26667","7.45","2","2"
"sevilla_ES_gid_2510911","Seville","37.38283","-5.97317","2","NULL"
"siena_IT_gid_3166548","Siena","43.31822","11.33064","1","NULL"
"solothurn_CH_gid_2658564","Solothurn","47.20791","7.53714","1","NULL"
"speyer_DE_gid_2830582","Speyer","49.32083","8.43111","NULL","1"
"strasbourg_FR_gid_2973783","Strasbourg","48.58342","7.74296","3","4"
"stuttgart_DE_gid_2825297","Stuttgart","48.78232","9.17702","5","1"
"toledo_ES_gid_2510409","Toledo","39.8581","-4.02263","2","NULL"
"torgau_DE_gid_2821807","Torgau","51.56016","12.99617","1","NULL"
"toulouse_FR_gid_2972315","Toulouse","43.60426","1.44367","1","NULL"
"tours_FR_gid_2972191","Tours","47.38333","0.68333","1","NULL"
"trento_IT_gid_3165243","Trento","46.06787","11.12108","1","NULL"
"tübingen_DE_gid_2820860","Tübingen","48.52266","9.05222","2","2"
"ulm_DE_gid_2820256","Ulm","48.39841","9.99155","3","NULL"
"valladolid_ES_gid_3106672","Valladolid","41.65518","-4.72372","3","NULL"
"venice_IT_gid_3164603","Venice","45.43713","12.33265","5","1"
"vienna_AT_gid_2761369","Vienna","48.20849","16.37208","5","3"
"waischenfeld_DE_gid_2815297","Waischenfeld","49.84645","11.3481","1","1"
"weil_der_stadt_DE_gid_2812625","Weil der Stadt","48.74953","8.87176","1","NULL"
"weinsberg_DE_gid_2812158","Weinsberg","49.15127","9.28762","1","1"
