"Id"	"type"	"gender"	"viaf_id"	"name_in_edition"	"known_name_variations"	"known_name_variations_ref"	"pob_loc_id"	"pob_loc_annotation"	"pob_loc_annotation_ref"	"dob_year1"	"dob_month1"	"dob_day1"	"dob_computable1"	"dob_has_range"	"dob_year2"	"dob_month2"	"dob_day2"	"dob_computable2"	"dob_annotion"	"dob_annotion_ref"	"pod_loc_id"	"pod_loc_annotation"	"pod_loc_annotation_ref"	"dod_year1"	"dod_month1"	"dod_day1"	"dod_computable1"	"dod_has_range"	"dod_year2"	"dod_month2"	"dod_day2"	"dod_computable2"	"dod_annotion"	"dod_annotion_ref"	"further_annotation"
"ziegler_jakob_viaf_15074694"	"individual"	"male"	"15074694"	"Jakob ZIEGLER [COE] // Jakob Ziegler [CWE] // Ziegler, Jakob (Landavus Bavarus) [ALLEN]"	"Zigler // Ciglerus // Zeiglerius // Lateranus // Landavus // Zieglerus"	"GND"	"landau_an_der_isar_DE_gid_2881650"	"Landau (Bavaria)"	"COE III, 474-475"	"1470"	NULL	NULL	"1470-01-01"	"1"	"1470"	NULL	NULL	"1470-12-31"	"um 1470"	"ADB"	"passau_DE_gid_2855328"	"Passau"	"COE III, 474-475"	"1549"	"08"	NULL	"1549-08-01"	"1"	"1549"	"08"	NULL	"1549-08-31"	"August 1549"	"ADB"	""
"rhegius_urbanus_viaf_17232588"	"individual"	"male"	"17232588"	"Urbanus RHEGIUS [COE] // Urbanus Regius [CWE] // Regius, Urbanus (Rieger) [ALLEN]"	"Urban Rieger"	"COE III, 151-153"	"langenargen_DE_gid_2881263"	"Langenargen"	"COE III, 151-153"	"1489"	"05"	NULL	"1489-05-01"	"1"	"1489"	"05"	NULL	"1489-05-31"	"May 1489"	"COE III, 151-153"	"celle_DE_gid_2940213"	"Celle"	"COE III, 151-153"	"1541"	"05"	"23"	"1541-05-23"	"0"	"1541"	"05"	"23"	"1541-05-23"	"23 May 1541"	"COE III, 151-153"	""
"hegendorph_christoph_viaf_54260943"	"individual"	"male"	"54260943"	"Christoph HEGENDORFF [COE] // Christoph Hegendorf [CWE] // Hegendorfer, Christopher [ALLEN]"	"Hegendorfer // Hegendorfinus // Hegendorphinus"	"COE II, 171-172 // HGK I, 333"	"leipzig_DE_gid_2879139"	"Leipzig"	"HGK I, 333"	"1500"	NULL	NULL	"1500-01-01"	"1"	"1500"	NULL	NULL	"1500-12-31"	"1500"	"COE II, 171-172"	"lüneburg_DE_gid_2875115"	"Lüneburg"	"HGK I, 333"	"1540"	"08"	"08"	"1540-08-08"	"0"	"1540"	"08"	"08"	"1540-08-08"	"8 August 1540"	"COE II, 171-172"	""
"glareanus_henricus_viaf_73950690"	"individual"	"male"	"73950690"	"Henricus GLAREANUS [COE] // Henricus Glareanus [CWE] // Glareanus, Henricus (H. Loriti of Glarus) [ALLEN]"	"Loriti // Loritz // Loris // Loritus // Glarean"	"GND"	"mollis_CH_gid_2659636"	"Mollis/Glarus"	"HGK I, 304"	"1488"	"06"	NULL	"1488-06-01"	"1"	"1488"	"06"	NULL	"1488-06-30"	"June 1488"	"COE II, 105-108"	"freiburg_DE_gid_2925177"	"Freiburg i. Br."	"HGK I, 304"	"1563"	"03"	"27"	"1563-03-27"	"1"	"1563"	"03"	"28"	"1563-03-28"	"27/8 March 1563"	"COE II, 105-108"	""
"venatorius_thomas_viaf_43677502"	"individual"	"male"	"43677502"	"Thomas VENATORIUS [COE] // Thomas Venatorius [CWE] // Venatorius, Thomas [ALLEN]"	"Jagauf // Gechauf // Gechauff // Jäger // Ventorius // Jagauf // Venator"	"GND"	"nürnberg_DE_gid_2861650"	"Nürnberg"	"COE III, 382-383"	"1488"	"01"	"01"	"1488-01-01"	"1"	"1488"	"12"	"31"	"1488-12-31"	"c 1488"	"COE III, 382-383"	"nürnberg_DE_gid_2861650"	"Nürnberg"	"COE III, 382-383"	"1551"	"02"	"04"	"1551-02-04"	"0"	"1551"	"02"	"04"	"1551-02-04"	"4 February 1551"	"COE III, 382-383"	""
"gerbel_nicolaus_viaf_60906847"	"individual"	"male"	"60906847"	"Nikolaus GERBEL [COE] // Nikolaus Gerbel [CWE] // Gerbell, Nicholas [ALLEN]"	"Gerbellius // Musophilus // Gerbelius // Gnidius // Cotta"	"COE II, 90-91 // HGK I, 294 // GND"	"pforzheim_DE_gid_2853969"	"Pforzheim"	"HGK I, 294"	"1485"	NULL	NULL	"1485-01-01"	"1"	"1485"	NULL	NULL	"1485-12-31"	"c 1485"	"COE II, 90-91"	"strasbourg_FR_gid_2973783"	"Straßburg"	"HGK I, 294"	"1560"	"01"	"20"	"1560-01-20"	"0"	"1560"	"01"	"20"	"1560-01-20"	"20 January 1560"	"COE II, 90-91"	""
"reuchlin_johann_viaf_66542815"	"individual"	"male"	"66542815"	"Johann REUCHLIN [COE] // Johann Reuchlin [CWE] // Reuchlin, Johann (Capnio) [ALLEN]"	"Capnion // Capnio // Roechlin // Kapnion // Reuchlinus"	"GND"	"pforzheim_DE_gid_2853969"	"Pforzheim"	"Reuchlin BW"	"1454"	"01"	"29"	"1454-01-29"	"0"	"1454"	"01"	"29"	"1454-01-29"	"29. Januar 1455"	"Reuchlin BW"	"stuttgart_DE_gid_2825297"	"Stuttgart"	"Reuchlin BW"	"1522"	"06"	"30"	"1522-06-30"	"0"	"1522"	"06"	"30"	"1522-06-30"	"30 June 1522"	"COE III, 145-150"	""
"erasmus_desiderius_viaf_95982394"	"individual"	"male"	"95982394"	"[Erasmus Desiderius] [COE] // Erasmus [CWE] // Erasmus [ALLEN]"	NULL	NULL	"rotterdam_NL_gid_2747891"	"bei Rotterdam"	"HGK I, 250"	"1469"	NULL	NULL	"1469-01-01"	"1"	NULL	NULL	NULL	"1469-12-31"	"1469"	"HGK I, 250"	"basel_CH_gid_2661604"	"Basel"	"HGK I, 250"	"1536"	NULL	NULL	"1536-01-01"	"1"	"1536"	NULL	NULL	"1536-12-31"	"1536"	"HGK I 250"	""
"pellicanus_konrad_viaf_41862976"	"individual"	"male"	"41862976"	"Conradus PELLICANUS [COE] // Conradus Pellicanus [CWE] // Pellican, Conrad [ALLEN]"	"Pellican // Pelicanus // Pellikan // Pelican // Pelikaan // Pilicanus // Kürsner // Kürschner // Kurscherer"	"GND"	"rouffach_FR_gid_2982636"	"Rufach/Oberelsass"	"Deutsche Biographie"	"1478"	"01"	"08"	"1478-01-08"	"0"	"1478"	"01"	"08"	"1478-01-08"	"8 January 1478"	"COE III, 65-66"	"zürich_CH_gid_2657896"	"Zürich"	"Deutsche Biographie"	"1556"	"04"	"06"	"1556-04-06"	"0"	"1556"	"04"	"06"	"1556-04-06"	"6 April 1556"	"COE III, 65-66"	""
"busche_hermann_von_dem_viaf_27087291"	"individual"	"male"	"27087291"	"Hermannus BUSCHIUS [COE] // Hermann von dem Busche [CWE] // Busch, Hermann [ALLEN]"	"von Büschen // Busch // von dem Busche Pasiphilus // van dem Busche // von Büsche // Buschius (Puschius) // Pansiphilus"	"GND"	"sassenberg_DE_gid_2841351"	"Sassenberg bei Warendorf/Westfalen"	"HGK I, 150"	"1468"	NULL	NULL	"1468-01-01"	"1"	"1468"	NULL	NULL	"1468-12-31"	"ca 1468"	"HGK I, 150"	"dülmen_DE_gid_2934662"	"Dülmen/Westfalen"	"HGK I, 150"	"1534"	"04"	NULL	"1534-04-01"	"1"	"1534"	"04"	NULL	"1534-04-30"	"April 1534"	"COE I, 233-234"	""
"bucer_martin_viaf_2478527"	"individual"	"male"	"2478527"	"Martin BUCER [COE] // Martin Bucer [CWE] // Bucer, Martin [ALLEN]"	"Butzer // Trew // Treu // Trewe // Bucerus // Butger // Felinus Aretius"	"GND"	"sélestat_FR_gid_2975233"	"Schlettstadt/Elsaß"	"HGK I, 137"	"1491"	"11"	"11"	"1491-11-11"	"0"	"1491"	"11"	"11"	"1491-11-11"	"11 November 1491"	"COE I, 209-212"	"cambridge_GB_gid_2653941"	"Cambridge"	"HGK I, 137"	"1551"	"02"	"27"	"1551-02-27"	"1"	"1551"	"02"	"28"	"1551-02-28"	"27/8 February 1551"	"COE I, 209-212"	""
"rhenanus_beatus_viaf_39415982"	"individual"	"male"	"39415982"	"BEATUS Rhenanus [COE] // Beatus Rhenanus [CWE] // Beatus Rhenanus (Beat Bild) [ALLEN]"	"Rinower // Licentius Evangelus // Bild // Selezestadiensis // Selestadiensis // Bildius"	"COE I, 104-109 // GND"	"sélestat_FR_gid_2975233"	"Sélestat"	"COE I, 104-109"	"1485"	"08"	"22"	"1485-08-22"	"0"	"1485"	"08"	"22"	"1485-08-22"	"22 August 1485"	"COE I, 104-109"	"strasbourg_FR_gid_2973783"	"Strasbourg"	"COE I, 104-109"	"1547"	"07"	"20"	"1547-07-20"	"0"	"1547"	"07"	"20"	"1547-07-20"	"20 July 1547"	"COE I, 104-109"	""
"spiegel_jakob_viaf_24846746"	"individual"	"male"	"24846746"	"Jakob SPIEGEL [COE] // Jakob Spiegel [CWE] // Spiegel, James [ALLEN]"	"Spiegellius // Spiegell // Spiegelius // Speculis // Spigel // Specularis"	"GND // COE III, 270-272"	"sélestat_FR_gid_2975233"	"Sélestat"	"COE III, 270-272"	"1483"	NULL	NULL	"1483-01-01"	"1"	"1483"	NULL	NULL	"1483-12-31"	"c 1483"	"COE III, 270-272"	"unknown_location_XX_gid_unknown"	"Unknown"	"COE III, 270-272"	"1547"	"07"	"01"	"1547-07-01"	"1"	NULL	NULL	NULL	NULL	"after 30 June 1547"	"COE III, 270-272"	""
"spalatin_georg_viaf_240011410"	"individual"	"male"	"240011410"	"Georgius SPALATINUS [COE] // Georgius Spalatinus [CWE] // Spalatinus, George [ALLEN]"	"Burckhardt // Burkhardt // Burckard // Burkhard // Burkard // Burckart // Burckard // Spalatin // Burghardt // Burchardus"	"GND"	"spalt_DE_gid_2830849"	"Spalt"	"COE III, 266-268"	"1484"	"01"	"17"	"1484-01-17"	"0"	"1484"	"01"	"17"	"1484-01-17"	"17 January 1484"	"COE III, 266-268"	"altenburg_DE_gid_2957773"	"Altenburg"	"COE III, 266-268"	"1545"	"01"	"16"	"1545-01-16"	"0"	"1545"	"01"	"16"	"1545-01-16"	"16 January 1545"	"COE III, 266-268"	""
"hutten_ulrich_von_viaf_95193756"	"individual"	"male"	"95193756"	"Ulrich von HUTTEN [COE] // Ulrich von Hutten [CWE] // Hutten, Ulrich von [ALLEN]"	"Huttenus // ab Hutten"	"HGK I, 350"	"steckelberg_castle_DE_gid_unknown"	"Burg Steckelberg bei Schlüchtern nahe Fulda/Hessen"	"HGK I, 350"	"1488"	"04"	"21"	"1488-04-21"	"0"	"1488"	"04"	"21"	"1488-04-21"	"21 April 1488"	"COE II, 216-220"	"ufenau_CH_gid_7669974"	"Insel Ufenau im Zürichsee"	"HGK I, 350"	"1523"	"08"	NULL	"1523-08-20"	"1"	"1523"	"08"	NULL	"1523-08-31"	"end of August 1523"	"COE II, 216-220"	""
"huttich_johann_viaf_5722622"	"individual"	"male"	"5722622"	"Johann HUTTICH [COE] // Johann Huttich [CWE] // Huttich, John [ALLEN]"	"Eutychius // Huttichius // Hutichius // Huthichius"	"COE II, 220-221 // GND"	"strinz_trinitatis_DE_gid_2825809"	"Strinz in the Taunus"	"COE II, 220-221"	"1490"	NULL	NULL	"1490-01-01"	"1"	"1490"	NULL	NULL	"1490-12-31"	"ca. 1490"	"Reuchlin BW Leseausgabe Bd.IV, 229"	"strasbourg_FR_gid_2973783"	"Straßburg"	"GND"	"1544"	"03"	"04"	"1544-03-04"	"0"	"1544"	"03"	"04"	"1544-03-04"	"4 March 1544"	"COE II, 220-221"	""
"frederick_iii_elector_of_saxony_viaf_316392243"	"individual"	"male"	"316392243"	"Frederick III, elector of SAXONY [COE] // Duke / Elector Frederick of Saxony [CWE] // Frederick of Saxony [ALLEN]"	NULL	NULL	"torgau_DE_gid_2821807"	"Torgau"	"COE III, 203-205"	"1463"	"01"	"17"	"1463-01-17"	"0"	"1463"	"01"	"17"	"1463-01-17"	"17 January 1463"	"COE III, 203-205"	"lochau_DE_gid_2876645"	"Lochau"	"COE III, 203-205"	"1525"	"05"	"05"	"1525-05-05"	"0"	"1525"	"05"	"05"	"1525-05-05"	"5 May 1525"	"COE III, 203-205"	""
