"letters_id","letter_no_in_edition","sender_id","sender_as_marked","sender_inferred","sender_uncertain","recipient_id","recipient_as_marked","recipient_inferred","recipient_uncertain","label","send_date_year1","send_date_month1","send_date_day1","send_date_computable1","send_date_has_range","send_date_year2","send_date_month2","send_date_day2","send_date_computable2","send_date_as_marked","send_date_inferred","send_date_approx","send_date_uncertain","Source","source_loc_as_marked","source_loc_inferred","source_loc_uncertain","Target","target_loc_as_marked","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x","further_annotation"
"era_cwe_480","480 [CWE] // 480 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","480 To Guillaume Budé Brussels, 28 October 1516 [CWE]","1516","10","28","1516-10-28","0","1516","10","28","1516-10-28","28 October 1516 [CWE]","0","0","0","brussels_BE_gid_2800866","Brussels [CWE]","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_531","531 [CWE] // 531 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","531 To Guillaume Budé Antwerp, 15 February 1517 [CWE]","1517","02","15","1517-02-15","0","1517","02","15","1517-02-15","15 February 1517 [CWE]","0","0","0","antwerpen_BE_gid_2803138","Antwerpen [CWE]","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_534","534 [CWE] // 534 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","534 To Guillaume Budé Antwerp, 21 February 1517 [CWE]","1517","02","21","1517-02-21","0","1517","02","21","1517-02-21","21 February 1517 [CWE]","0","0","0","antwerpen_BE_gid_2803138","Antwerpen [CWE]","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_689","689 [CWE] // 689 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","689 To Guillaume Budé Louvain, 26 October [1517] [CWE]","1517","10","26","1517-10-26","0","1517","10","26","1517-10-26","26 October [1517] [CWE]","1","0","0","leuven_BE_gid_2792482","Louvain [CWE]","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_723","723 [CWE] // 723 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","723 To Guillaume Budé Louvain, 30 November 1517 [CWE]","1517","11","30","1517-11-30","0","1517","11","30","1517-11-30","30 November 1517 [CWE]","0","0","0","leuven_BE_gid_2792482","Louvain [CWE]","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_767","767 [CWE] // 767 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","767 To Guillaume Budé Louvain, [c 18 January] 1518 [CWE]","1518","01","18","1518-01-18","0","1518","01","18","1518-01-18","[c 18 January] 1518 [CWE]","1","1","0","leuven_BE_gid_2792482","Louvain [CWE]","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_778","778 [CWE] // 778 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","778 To Guillaume Budé Louvain, 22 February [1518] [CWE]","1518","02","22","1518-02-22","0","1518","02","22","1518-02-22","22 February [1518] [CWE]","1","0","0","leuven_BE_gid_2792482","Louvain [CWE]","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_813","813 [CWE] // 813 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","813 To Guillaume Budé Louvain, 17 April [1518] [CWE]","1518","04","17","1518-04-17","0","1518","04","17","1518-04-17","17 April [1518] [CWE]","1","0","0","leuven_BE_gid_2792482","Louvain [CWE]","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_869","869 [CWE] // 869 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","869 To Guillaume Budé Louvain, 15 October 1518 [CWE]","1518","10","15","1518-10-15","0","1518","10","15","1518-10-15","15 October 1518 [CWE]","0","0","0","leuven_BE_gid_2792482","Louvain [CWE]","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_906","906 [CWE] // 906 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","906 To Guillaume Budé Louvain, 22 December 1518 [CWE]","1518","12","22","1518-12-22","0","1518","12","22","1518-12-22","22 December 1518 [CWE]","0","0","0","leuven_BE_gid_2792482","Louvain [CWE]","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_930","930 [CWE] // 930 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","930 To Guillaume Budé Mechelen, 21 March 1519 [CWE]","1519","03","21","1519-03-21","0","1519","03","21","1519-03-21","21 March 1519 [CWE]","0","0","0","mechelen_BE_gid_2791537","Mechelen [CWE]","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_954","954 [CWE] // 954 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","954 To Guillaume Budé [Louvain, April] 1519 [CWE]","1519","04","","1519-04-01","1","1519","04","","1519-04-30","[April] 1519 [CWE]","1","0","0","leuven_BE_gid_2792482","[Louvain] [CWE]","1","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"gbudé_lg_18","19 [Budé lettres grecques]","laestarchos_hermodore_viaf_unknown","Hermodore Laestarchos [Budé lettres grecques]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [Budé lettres grecques]","0","0","Ep 18 Laestarchos à Budé. Chios, 15 octobre 1539 [Budé lettres grecques]","1539","10","15","1539-10-15","0","1539","10","15","1539-10-15","15 octobre 1539","0","0","0","chíos_GR_gid_259973","Chios","0","0","paris_FR_gid_2988507","[Paris]","1","0","greek","familiar letter","letter_1_to_1",""
"gbudé_lg_25","25 [Budé lettre grecques]","lascaris_janus_viaf_32142389","Jean Lascaris [Budé lettres grecques]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [Budé lettres grecques]","0","0","Ep 25 Lascaris à Budé. Milan, 13 janvier [1510] [Budé lettres grecques]","1510","01","13","1510-01-13","0","1510","01","13","1510-01-13","13 janvier [1510]","1","0","0","milano_IT_gid_3173435","Milan","0","0","paris_FR_gid_2988507","[Paris]","1","0","greek","familiar letter","letter_1_to_1",""
"gbudé_lg_44","44 [Budé lettre grecques]","longolius_christopherus_viaf_12405190","Christophe de Longueil [Budé lettres grecques]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [Budé lettres grecques]","0","0","Ep 44 Longueil à Budé. Padoue, 25 janvier [1521] [Budé lettres grecques]","1521","01","25","1521-01-25","0","1521","01","25","1521-01-25","25 janvier [1521]","1","0","0","padova_IT_gid_3171728","Padoue","0","0","romorantin_lanthenay_FR_gid_2982967","[Romorantin Lanthenay]","1","0","greek","familiar letter","letter_1_to_1",""
"gbudé_lg_66","66 [Budé lettre grecques]","rabelais_françois_viaf_24606939","François Rabelais [Budé lettres grecques]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [Budé lettres grecques]","0","0","Ep 66 Rabelais à Budé. Fontenay, 4 mars [1521] [Budé lettres grecques]","1521","03","04","1521-03-04","0","1521","03","04","1521-03-04","4 mars [1521]","1","0","0","fontenay_le_comte_FR_gid_3017921","Fontenay","0","0","romorantin_lanthenay_FR_gid_2982967","[Romorantin Lanthenay]","1","0","greek","familiar letter","letter_1_to_1",""
"gbudé_lg_7","7 [Budé lettres grecques]","brie_germain_de_viaf_227062191","Germain de Brie [Budé lettres grecques]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [Budé lettres grecques]","0","0","Ep 7 De Brie à Budé. Paris, 20 décembre 1520 [Budé lettres grecques]","1520","12","20","1520-12-20","0","1520","12","20","1520-12-20","20 décembre 1520","0","0","0","paris_FR_gid_2988507","Paris","0","0","blois_FR_gid_3032213","[Blois]","1","0","greek","familiar letter","letter_1_to_1",""
"gbudé_lg_9","9 [Budé lettres grecques]","brie_germain_de_viaf_227062191","Germain de Brie [Budé lettres grecques]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [Budé lettres grecques]","0","0","Ep 9 De Brie à Budé. Paris, 31 janvier 1521 [Budé lettres grecques]","1521","01","31","1521-01-31","0","1521","01","31","1521-01-31","31 janvier 1521","0","0","0","paris_FR_gid_2988507","Paris","0","0","romorantin_lanthenay_FR_gid_2982967","[Romorantin Lanthenay]","1","0","greek","familiar letter","letter_1_to_1",""
"gbudé_tournoy_8","8 [Tournoy]","vives_juan_luis_viaf_71399403","Vives","0","0","budé_guillaume_viaf_105878228","Budé","0","0","Vives a Budé <Bruges, novembre/décembre 1529>","1529","11","","1529-11-01","1","1529","12","","1529-12-31","<novembre/décembre 1529>","1","0","0","brugge_BE_gid_2800931","<Bruges>","1","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"gbudé_tournoy_9","9 [Tournoy]","vives_juan_luis_viaf_71399403","Vives","0","0","budé_guillaume_viaf_105878228","Budé","0","0","Vives a Budé, Bruges, 1 Septembre 1532","1532","09","01","1532-09-01","0","1532","09","01","1532-09-01","1 Septembre 1532","0","0","0","brugge_BE_gid_2800931","Bruges","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
