correspondents_id	type	gender	viaf_id	Label	known_name_variations	known_name_variations_ref	pob_loc_id	pob_loc_annotation	pob_loc_annotation_ref	dob_year1	dob_month1	dob_day1	dob_computable1	dob_has_range	dob_year2	dob_month2	dob_day2	dob_computable2	dob_annotion	dob_annotion_ref	pod_loc_id	pod_loc_annotation	pod_loc_annotation_ref	dod_year1	dod_month1	dod_day1	dod_computable1	dod_has_range	dod_year2	dod_month2	dod_day2	dod_computable2	dod_annotion	dod_annotion_ref	further_annotation
eck_johann_viaf_100185986	individual	male	100185986	Johann Maier of ECK	Maier // Eckius // Mecke // Eck // Eccus // Eckcius // Mayr // Mair // Eccius // Eckius // Ekius // Ecke // Eeck // Eycken // Ecken // Maierus // Maioris	GND	egg_an_der_günz_DE_gid_2933168	Eck [Egg] an der Günz bei Ottobeuren/Schwaben	HGK I, 241	1486	NULL	NULL	1486-01-01	1	1486	NULL	NULL	1486-12-31	1486	COE I, 416-419	ingolstadt_DE_gid_2895992	Ingolstadt	HGK I, 241	1543	02	10	1543-02-10	0	1543	02	10	1543-02-10	10 February 1543	COE I, 416-419	
pirckheimer_willibald_viaf_27173507	individual	male	27173507	Willibald PIRCKHEIMER	Philadelphus // Cotta // Cottalambergius // Cottalembergius // Cotta Lembergius // Pirckheimer // Byrkhamer // Pirkeymerus // Pyrckheimerus // Pyrkheymerus // Birgheimerus // Birgheimer // Pirckheymer // Birckheimer // Pirckheimerus // Pirkheimer // Pirchaimerus // Pirckeymer // Bircamer // Birchheimer // Pirkheymer // Pirkamerus // Pirkeymer // Bircamerus // Birckhaimer // Pircheimerus // Pirckeymerus // Pirckeymherus // Pirckheymerus // Birckheymerus // Pircheymerus // Pirckheimherus // Pirckh	GND	eichstätt_DE_gid_2932069	Eichstätt	COE III, 90-94	1470	12	05	1470-12-05	0	1470	12	05	1470-12-05	5 December 1470	COE III, 90-94	nürnberg_DE_gid_2861650	Nürnberg	COE III, 90-94	1530	12	22	1530-12-22	0	1530	12	22	1530-12-22	22 December 1530	COE III, 90-94	
lang_johann_viaf_67343955	individual	male	67343955	Johann LANG	Lang // Lange // Langius // Langus // Langk // Longus // Langen	GND	erfurt_DE_gid_2929670	Erfurt	COE II, 287-289	1487	NULL	NULL	1487-01-01	1	1487	NULL	NULL	1487-12-31	1487 (?)	NDB	erfurt_DE_gid_2929670	Erfurt	COE II, 287-289	1548	04	02	1548-04-04	0	1548	04	02	1548-04-04	2 April 1548	COE II, 287-289	
leo_x_pope_viaf_316407579	individual	male	316407579	Pope LEO X	Giovanni de' Medici	COE II, 319-322	florence_IT_gid_3176959	Florence	COE II, 319-322	1475	12	11	1475-12-11	0	1475	12	11	1475-12-11	11 December 1475	COE II, 319-322	rome_IT_gid_3169070	Rome	COE II, 319-322	1521	12	01	1521-12-01	0	1521	12	01	1521-12-01	1 December 1521	COE II, 319-322	
capito_wolfgang_viaf_61578502	individual	male	61578502	Wolfgang Faber CAPITO	Capito // Luithold // Luitholdus // Capiton // Cephalaeus // Köphel // Köphl // Cephaleus // Köpphel // Faber // Luithold // Köpffel // Köpfel // Koepfel	GND	haguenau_FR_gid_3014078	Hagenau/Elsaß	HGK I, 163	1478	NULL	NULL	1478-01-01	1	1478	NULL	NULL	1478-12-31	1478	HGK I, 163	strasbourg_FR_gid_2973783	Straßburg	HGK I, 163	1541	11	02	1541-11-02	0	1541	11	02	1541-11-02	2 November 1541	COE I, 261-264	
hessus_helius_eobanus_viaf_71412338	individual	male	71412338	Helius EOBANUS Hessus	Koch // Hesse // Hessi // Hess // von Frankenberg	GND	halgehausen_DE_gid_2911550	Halgehausen bei Frankenberg/Hessen	HGK I, 248	1488	01	06	1488-01-06	0	1488	01	06	1488-01-06	6 January 1488	COE I, 434-436	marburg_an_der_lahn_DE_gid_2873759	Marburg/Lahn	HGK I, 248	1540	10	04	1540-10-04	0	1540	10	04	1540-10-04	4 October 1540	COE I, 434-436	
zasius_ulrich_viaf_61645489	individual	male	61645489	Udalricus ZASIUS	Zasy // Zäsy // Zazius	GND // COE III, 469-473	konstanz_DE_gid_2885679	Konstanz	GND	1461	NULL	NULL	1461-01-01	1	1461	NULL	NULL	1461-12-31	1461	COE III, 469-473	freiburg_DE_gid_2925177	Freiburg im Breisgau	GND	1535	11	24	1535-11-24	0	1535	11	24	1535-11-24	24 November 1535	COE III, 469-473	
glareanus_henricus_viaf_73950690	individual	male	73950690	Henricus GLAREANUS	Loriti // Loritz // Loris // Loritus // Glarean	GND	mollis_CH_gid_2659636	Mollis/Glarus	HGK I, 304	1488	06	NULL	1488-06-01	1	1488	06	NULL	1488-06-30	June 1488	COE II, 105-108	freiburg_DE_gid_2925177	Freiburg i. Br.	HGK I, 304	1563	03	27	1563-03-27	1	1563	03	28	1563-03-28	27/8 March 1563	COE II, 105-108	
gerbel_nicolaus_viaf_60906847	individual	male	60906847	Nikolaus GERBEL	Gerbellius // Musophilus // Gerbelius // Gnidius // Cotta	COE II, 90-91 // HGK I, 294 // GND	pforzheim_DE_gid_2853969	Pforzheim	HGK I, 294	1485	NULL	NULL	1485-01-01	1	1485	NULL	NULL	1485-12-31	c 1485	COE II, 90-91	strasbourg_FR_gid_2973783	Straßburg	HGK I, 294	1560	01	20	1560-01-20	0	1560	01	20	1560-01-20	20 January 1560	COE II, 90-91	
reuchlin_johann_viaf_66542815	individual	male	66542815	Johann REUCHLIN	Capnion // Capnio // Roechlin // Kapnion // Reuchlinus	GND	pforzheim_DE_gid_2853969	Pforzheim	Reuchlin BW	1454	01	29	1454-01-29	0	1454	01	29	1454-01-29	29. Januar 1455	Reuchlin BW	stuttgart_DE_gid_2825297	Stuttgart	Reuchlin BW	1522	06	30	1522-06-30	0	1522	06	30	1522-06-30	30 June 1522	COE III, 145-150	
erasmus_desiderius_viaf_95982394	individual	male	95982394	ERASMUS	NULL	NULL	rotterdam_NL_gid_2747891	bei Rotterdam	HGK I, 250	1469	NULL	NULL	1469-01-01	1	NULL	NULL	NULL	1469-12-31	1469	HGK I, 250	basel_CH_gid_2661604	Basel	HGK I, 250	1536	NULL	NULL	1536-01-01	1	1536	NULL	NULL	1536-12-31	1536	HGK I 250	
busche_hermann_von_dem_viaf_27087291	individual	male	27087291	Hermannus BUSCHIUS	von Büschen // Busch // von dem Busche Pasiphilus // van dem Busche // von Büsche // Buschius (Puschius) // Pansiphilus	GND	sassenberg_DE_gid_2841351	Sassenberg bei Warendorf/Westfalen	HGK I, 150	1468	NULL	NULL	1468-01-01	1	1468	NULL	NULL	1468-12-31	ca 1468	HGK I, 150	dülmen_DE_gid_2934662	Dülmen/Westfalen	HGK I, 150	1534	04	NULL	1534-04-01	1	1534	04	NULL	1534-04-30	April 1534	COE I, 233-234	
rhenanus_beatus_viaf_39415982	individual	male	39415982	BEATUS Rhenanus	Rinower // Licentius Evangelus // Bild // Selezestadiensis // Selestadiensis // Bildius	COE I, 104-109 // GND	sélestat_FR_gid_2975233	Sélestat	COE I, 104-109	1485	08	22	1485-08-22	0	1485	08	22	1485-08-22	22 August 1485	COE I, 104-109	strasbourg_FR_gid_2973783	Strasbourg	COE I, 104-109	1547	07	20	1547-07-20	0	1547	07	20	1547-07-20	20 July 1547	COE I, 104-109	
spiegel_jakob_viaf_24846746	individual	male	24846746	Jakob SPIEGEL	Spiegellius // Spiegell // Spiegelius // Speculis // Spigel // Specularis	GND // COE III, 270-272	sélestat_FR_gid_2975233	Sélestat	COE III, 270-272	1483	NULL	NULL	1483-01-01	1	1483	NULL	NULL	1483-12-31	c 1483	COE III, 270-272	unknown_location_XX_gid_unknown	Unknown	COE III, 270-272	1547	07	01	1547-07-01	1	NULL	NULL	NULL	NULL	after 30 June 1547	COE III, 270-272	
hutten_ulrich_von_viaf_95193756	individual	male	95193756	Ulrich von HUTTEN	Huttenus // ab Hutten	HGK I, 350	steckelberg_castle_DE_gid_unknown	Burg Steckelberg bei Schlüchtern nahe Fulda/Hessen	HGK I, 350	1488	04	21	1488-04-21	0	1488	04	21	1488-04-21	21 April 1488	COE II, 216-220	ufenau_CH_gid_7669974	Insel Ufenau im Zürichsee	HGK I, 350	1523	08	NULL	1523-08-20	1	1523	08	NULL	1523-08-31	end of August 1523	COE II, 216-220	
andreis_franjo_trankvil_viaf_22294763	individual	male	22294763	Tranquillus ANDRONICUS Parthenius	Trankvil // Andreis // Dalmatinac // Andrijević	GND	trogir_HR_gid_3188763	Trogir	COE I, 56-57	1490	NULL	NULL	1490-01-01	1	1490	NULL	1490-12-31	1490-12-31	1490	COE I, 56-57	trogir_HR_gid_3188763	Trogir	COE I, 56-57	1571	NULL	NULL	1571-01-01	1	1571	NULL	NULL	1571-12-31	1571	COE I, 56-57	
neuenar_hermann_graf_von_viaf_18164526	individual	male	18164526	Hermann von NEUENAHR	Neuenar // Nuenar // Newenaer // Nova Aquila	GND	unknown_location_in_germany_DE_gid_unknown	Unknown	COE III, 14-15	1492	NULL	NULL	1492-01-01	1	1492	NULL	NULL	1492-12-31	c 1492	COE III, 14-15	augsburg_DE_gid_2954172	Augsburg	COE III, 14-15	1530	10	30	1530-10-30	0	1530	10	30	1530-10-30	30 October 1530	COE III, 14-15	
nausea_friedrich_viaf_248203874	individual	male	248203874	Fridericus NAUSEA	Blancicampianus // Grau // Grawe // Graf // Philalethus Eusebianus	GND	waischenfeld_DE_gid_2815297	Waischenfeld	COE III, 7-8	1496	NULL	NULL	1496-01-01	1	NULL	NULL	NULL	1496-12-31	c 1496	CERL Thesaurus	trento_IT_gid_3165243	Trent	COE III, 7-8	1552	02	06	1552-02-06	0	1552	02	06	1552-02-06	6 February 1552	COE III, 7-8	
oecolampadius_johann_viaf_56634092	individual	male	56634092	Johannes OECOLAMPADIUS	Oecolampadius // Ökolampadius // Heussgen // Hausschein // Haußschein // Hußschin // Oecolampade // Oecolompadius // Ocolampadius // Oecolamp. // Oekolampad // Hussgen // Husschin // Hußschyn // Oekolampadius // Icolampadius // Ecolampadius // Decolampadios // Ecolampade // Huszgen // Ecolampadio	GND	weinsberg_DE_gid_2812158	Weinsberg	COE III, 24-27	1482	NULL	NULL	1482-01-01	1	1482	NULL	NULL	1482-12-31	1482	COE III, 24-27	basel_CH_gid_2661604	Basel	COE III, 24-27	1531	11	22	1531-11-22	1	1531	11	23	1531-11-23	22/3 November 1531	COE III, 24-27	
