Id	letter_no_in_edition	source	sender_as_marked	sender_inferred	sender_uncertain	target	recipient_as_marked	recipient_inferred	recipient_uncertain	label	send_date_year1	send_date_month1	send_date_day1	send_date_computable1	send_date_has_range	send_date_year2	send_date_month2	send_date_day2	send_date_computable2	send_date_as_marked	send_date_inferred	send_date_approx	send_date_uncertain	source_loc_id	source_loc_as_marked	source_loc_inferred	source_loc_uncertain	target_loc_id	target_loc_as_marked	target_loc_inferred	target_loc_uncertain	letter_language	letter_type_genus	letter_type_x_to_x	further_annotation
era_cwe_1444	1444 [CWE] // 1444 [ALLEN]	auerbach_heinrich_viaf_69872391	Heinrich Stromer [CWE]	0	0	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	1444 From Heinrich Stromer Leipzig, 1 May 1524 [CWE]	1524	05	01	1524-05-01	0	1524	05	01	1524-05-01	1 May 1524 [CWE]	0	0	0	leipzig_DE_gid_2879139	Leipzig [CWE]	0	0	basel_CH_gid_2661604	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_cwe_1501	1501 [CWE] // 1501 [ALLEN]	camerarius_joachim_viaf_2495607	Joachim Camerarius [CWE]	0	0	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	1501 From Joachim Camerarius Wittenberg, 30 [September 1524] [CWE]	1524	09	30	1524-09-30	0	1524	09	30	1524-09-30	30 [September 1524] [CWE]	1	0	0	wittenberg_DE_gid_7303020	Wittenberg [CWE]	0	0	basel_CH_gid_2661604	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_cwe_1500	1500 [CWE] // 1500 [ALLEN]	melanchthon_philipp_viaf_76319978	Philippus Melanchthon [CWE]	0	0	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	1500 From Philippus Melanchthon [Wittenberg], 30 September 1524 [CWE]	1524	09	30	1524-09-30	0	1524	09	30	1524-09-30	30 September 1524 [CWE]	0	0	0	wittenberg_DE_gid_7303020	[Wittenberg] [CWE]	1	0	basel_CH_gid_2661604	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
wpirck_bw_803	803	schade_peter_viaf_12457732	Petrus Mosellanus	0	0	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer	0	0	Petrus Mosellanus an P. Lat. Abdruck. Leipzig, 7. Januar 1524	1524	01	07	1524-01-07	0	1524	01	07	1524-01-07	7. Januar 1524	0	0	0	leipzig_DE_gid_2879139	Leipzig	0	0	nürnberg_DE_gid_2861650	Nürnberg	1	1	latin	familiar letter	letter_1_to_1	
era_cwe_1480	1480 [CWE] // 1480 [ALLEN]	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer [CWE]	0	0	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	1480 From Willibald Pirckheimer Nürnberg, 1 September 1524 [CWE]	1524	09	01	1524-09-01	0	1524	09	01	1524-09-01	1 September 1524 [CWE]	0	0	0	nürnberg_DE_gid_2861650	Nürnberg [CWE]	0	0	basel_CH_gid_2661604	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
wpirck_bw_810	810	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer	0	0	oecolampadius_johann_viaf_56634092	Johannes Oecolampadius	0	0	P. an Johannes Oecolampadius. Lat. Autogr. Nürnberg, 23. Januar 1524	1524	01	23	1524-01-23	0	1524	01	23	1524-01-23	23. Januar 1524	0	0	0	nürnberg_DE_gid_2861650	Nürnberg	0	0	basel_CH_gid_2661604	Basel	1	1	latin	familiar letter	letter_1_to_1	
wpirck_bw_874	874	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer	0	0	huttich_johann_viaf_5722622	Johann Huttich	0	0	P. an Johann Huttich. Lat. Konz. <Nürnberg, Ende Oktober/ Anfang November 1524>	1524	10	NULL	1524-10-20	1	1524	11	NULL	1524-11-10	<Ende Oktober/ Anfang November 1524>	1	0	1	nürnberg_DE_gid_2861650	<Nürnberg>	1	0	strasbourg_FR_gid_2973783	Strasbourg	0	1	latin	familiar letter	letter_1_to_1	
era_cwe_1443	1443 [CWE] // 1443 [ALLEN]	luther_martin_viaf_14773105	Martin Luther [CWE]	0	0	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	1443 From Martin Luther Wittenberg, [c 13 April] 1524 [CWE]	1524	04	15	1524-04-15	0	1524	04	15	1524-04-15	[c 15 April] 1524 [CWE]	1	1	0	wittenberg_DE_gid_7303020	Wittenberg [CWE]	0	0	basel_CH_gid_2661604	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
wpirck_bw_808	808	capito_wolfgang_viaf_61578502	Wolfgang Faber Capito	0	0	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer	0	0	Wolfgang Faber Capito an P. Lat. Autogr. Straßburg, 17. Januar 1524	1524	01	17	1524-01-17	0	1524	01	17	1524-01-17	17. Januar 1524	0	0	0	strasbourg_FR_gid_2973783	Straßburg	0	0	nürnberg_DE_gid_2861650	Nürnberg	1	1	latin	familiar letter	letter_1_to_1	
wpirck_bw_870	870	capito_wolfgang_viaf_61578502	Wolfgang Faber Capito	0	0	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer	0	0	Wolfgang Faber Capito an P. Lat. Autogr. Straßburg, 9. September 1524	1524	08	09	1524-08-09	0	1524	08	09	1524-08-09	9. September 1524	0	0	0	strasbourg_FR_gid_2973783	Straßburg	0	0	nürnberg_DE_gid_2861650	Nürnberg	1	1	latin	familiar letter	letter_1_to_1	
