Id	type	gender	viaf_id	Label	known_name_variations	known_name_variations_ref	pob_loc_id	pob_loc_annotation	pob_loc_annotation_ref	dob_year1	dob_month1	dob_day1	dob_computable1	dob_has_range	dob_year2	dob_month2	dob_day2	dob_computable2	dob_annotion	dob_annotion_ref	pod_loc_id	pod_loc_annotation	pod_loc_annotation_ref	dod_year1	dod_month1	dod_day1	dod_computable1	dod_has_range	dod_year2	dod_month2	dod_day2	dod_computable2	dod_annotion	dod_annotion_ref	further_annotation
auerbach_heinrich_viaf_69872391	individual	male	69872391	Heinrich STROMER	Stromerus // Auerbachius // Auerbach	GND	auerbach_DE_gid_2954603	Auerbach	COE III, 291-292	1482	NULL	NULL	1482-01-01	1	1482	NULL	NULL	1482-12-31	1482	COE III, 291-292	leipzig_DE_gid_2879139	Leipzig	COE III, 291-292	1542	11	26	1541-11-26	0	1542	11	26	1541-11-26	26 November 1542	COE III, 291-292	
melanchthon_philipp_viaf_76319978	individual	male	76319978	Philippus MELANCHTHON	Didymus Faventinus // Theophilus Neocomensis // Schwartzerd // Schwarzerd // Schwarzert // Schwarzerdt	GND	bretten_DE_gid_2944200	Bretten	COE II, 424-429	1497	02	16	1497-02-16	0	1497	02	16	1497-02-16	16 February 1497	COE II, 424-429	wittenberg_DE_gid_7303020	Wittenberg	COE II, 424-429	1560	04	19	1560-04-19	0	1560	04	19	1560-04-19	19 April 1560	COE II, 424-429	
schade_peter_viaf_12457732	individual	male	12457732	Petrus MOSELLANUS	Peter Schade	COE II, 466-467	bruttig_DE_gid_2942976	Bruttig	COE II, 466-467	1493	NULL	NULL	1493-01-01	1	1494	NULL	NULL	1494-12-31	ca. 1493/94	Reuchlin BW Leseausgabe Bd.IV, 231	leipzig_DE_gid_2879139	Leipzig	COE II, 466-467	1524	04	19	1524-04-19	0	1524	04	19	1524-04-19	19 April 1524	COE II, 466-467	
pirckheimer_willibald_viaf_27173507	individual	male	27173507	Willibald PIRCKHEIMER	Philadelphus // Cotta // Cottalambergius // Cottalembergius // Cotta Lembergius // Pirckheimer // Byrkhamer // Pirkeymerus // Pyrckheimerus // Pyrkheymerus // Birgheimerus // Birgheimer // Pirckheymer // Birckheimer // Pirckheimerus // Pirkheimer // Pirchaimerus // Pirckeymer // Bircamer // Birchheimer // Pirkheymer // Pirkamerus // Pirkeymer // Bircamerus // Birckhaimer // Pircheimerus // Pirckeymerus // Pirckeymherus // Pirckheymerus // Birckheymerus // Pircheymerus // Pirckheimherus // Pirckh	GND	eichstätt_DE_gid_2932069	Eichstätt	COE III, 90-94	1470	12	05	1470-12-05	0	1470	12	05	1470-12-05	5 December 1470	COE III, 90-94	nürnberg_DE_gid_2861650	Nürnberg	COE III, 90-94	1530	12	22	1530-12-22	0	1530	12	22	1530-12-22	22 December 1530	COE III, 90-94	
leo_x_pope_viaf_316407579	individual	male	316407579	Pope LEO X	Giovanni de' Medici	COE II, 319-322	florence_IT_gid_3176959	Florence	COE II, 319-322	1475	12	11	1475-12-11	0	1475	12	11	1475-12-11	11 December 1475	COE II, 319-322	rome_IT_gid_3169070	Rome	COE II, 319-322	1521	12	01	1521-12-01	0	1521	12	01	1521-12-01	1 December 1521	COE II, 319-322	
capito_wolfgang_viaf_61578502	individual	male	61578502	Wolfgang Faber CAPITO	Capito // Luithold // Luitholdus // Capiton // Cephalaeus // Köphel // Köphl // Cephaleus // Köpphel // Faber // Luithold // Köpffel // Köpfel // Koepfel	GND	haguenau_FR_gid_3014078	Hagenau/Elsaß	HGK I, 163	1478	NULL	NULL	1478-01-01	1	1478	NULL	NULL	1478-12-31	1478	HGK I, 163	strasbourg_FR_gid_2973783	Straßburg	HGK I, 163	1541	11	02	1541-11-02	0	1541	11	02	1541-11-02	2 November 1541	COE I, 261-264	
bannicius_jacobus_viaf_72207021	individual	male	72207021	Jacopo BANNISIO	Bannisio // Bannicius // Bannisiis // Bannissis // Banisius	GND // COE I, 90-91	korčula_HR_gid_3197710	Korčula	COE I, 90-91	1466	10	15	1466-10-15	0	1466	10	15	1466-10-15	15 October 1466	Pirckheimer BW II, 487	unknown_location_XX_gid_unknown	Unknown	COE I, 90-91	1532	11	19	1532-11-19	0	1532	11	19	1532-11-19	19 November 1532	COE I, 90-91	
glareanus_henricus_viaf_73950690	individual	male	73950690	Henricus GLAREANUS	Loriti // Loritz // Loris // Loritus // Glarean	GND	mollis_CH_gid_2659636	Mollis/Glarus	HGK I, 304	1488	06	NULL	1488-06-01	1	1488	06	NULL	1488-06-30	June 1488	COE II, 105-108	freiburg_DE_gid_2925177	Freiburg i. Br.	HGK I, 304	1563	03	27	1563-03-27	1	1563	03	28	1563-03-28	27/8 March 1563	COE II, 105-108	
venatorius_thomas_viaf_43677502	individual	male	43677502	Thomas VENATORIUS	Jagauf // Gechauf // Gechauff // Jäger // Ventorius // Jagauf // Venator	GND	nürnberg_DE_gid_2861650	Nürnberg	COE III, 382-383	1488	01	01	1488-01-01	1	1488	12	31	1488-12-31	c 1488	COE III, 382-383	nürnberg_DE_gid_2861650	Nürnberg	COE III, 382-383	1551	02	04	1551-02-04	0	1551	02	04	1551-02-04	4 February 1551	COE III, 382-383	
reuchlin_johann_viaf_66542815	individual	male	66542815	Johann REUCHLIN	Capnion // Capnio // Roechlin // Kapnion // Reuchlinus	GND	pforzheim_DE_gid_2853969	Pforzheim	Reuchlin BW	1454	01	29	1454-01-29	0	1454	01	29	1454-01-29	29. Januar 1455	Reuchlin BW	stuttgart_DE_gid_2825297	Stuttgart	Reuchlin BW	1522	06	30	1522-06-30	0	1522	06	30	1522-06-30	30 June 1522	COE III, 145-150	
