"ModernState","Number of letters Budé sent to this modern state","Number of letters sent from this modern state to Budé"
"France","114","25"
"Belgium","26","24"
"Italy","22","9"
"Unknown","16","1"
"Switzerland","9","7"
"United Kingdom","9","3"
"Germany","3","1"
"Greece","NULL","1"
