"correspondents_id","NoEPPfromEra","NoEPPtoEra"
"scevola_daniele_viaf_unknown","NULL","1"
"horion_guillaume_de_viaf_unknown","1","NULL"
"halsey_thomas_viaf_unknown","1","NULL"
"antonius_of_luxembourg_viaf_unknown","8","NULL"
"amelius_georg_viaf_57427674","NULL","1"
"kmita_piotr_viaf_77411316","1","NULL"
"słalp_dąbrówski_marcin_viaf_unknown","NULL","2"
"trzecieski_andrzej_viaf_uncertain","NULL","1"
"rosinus_johannes_viaf_37991609","1","NULL"
"thurzó_alexius_viaf_81112974","1","NULL"
"parra_juan_de_la_viaf_unknown","1","NULL"
"lange_jean_viaf_unknown","NULL","1"
"lucinge_philibert_de_viaf_unknown","NULL","1"
"lalemand_jean_viaf_unknown","1","NULL"
"vers_louis_de_viaf_unknown","2","NULL"
"assendelft_gerrit_van_viaf_285766245","1","NULL"
"bergen_antoon_(1)_van_viaf_unknown","6","NULL"
"bergen_antoon_(3)_van_viaf_unknown","2","NULL"
"borssele_anna_van_viaf_unknown","1","NULL"
"deiotarus_zacharias_viaf_unknown","1","3"
"egmont_floris_von_viaf_23295441","1","NULL"
"gerard_pieter_viaf_unknown","1","NULL"
"henricus_de_bergen_viaf_10913982","3","NULL"
"herema_gerard_van_viaf_unknown","1","NULL"
"hornes_maximilien_de_viaf_20840615","1","NULL"
"hugenoys_lieven_viaf_unknown","1","NULL"
"obrecht_jan_viaf_unknown","1","NULL"
"oem_van_wijngaarden_viaf_unknown","1","1"
"ernst_duke_of_bavaria_viaf_57415353","1","NULL"
"adrianus_[corpus_era]_viaf_unknown","1","NULL"
"an_unsuccessful_candidate_for_the_latin_chair_viaf_unknown","1","NULL"
"a_friend_viaf_unknown","5","NULL"
"a_monk_viaf_unknown","1","NULL"
"a_physician_viaf_unknown","1","NULL"
"bachuus_gerard_viaf_unknown","NULL","1"
"basel_town_council_of_viaf_not_applicable","4","NULL"
"besançon_senate_of_viaf_not_applicable","2","NULL"
"boerio_bernardo_viaf_unknown","2","NULL"
"boner_seweryn_viaf_23296558","1","1"
"burgundy_nicolas_of_viaf_unknown","1","NULL"
"cologne_nuns_of_viaf_not_applicable","1","NULL"
"courtebourne_pierre_de_viaf_unknown","1","NULL"
"danieli_giovanni_viaf_unknown","NULL","1"
"denny_nuns_of_viaf_not_applicable","1","NULL"
"desprez_etienne_viaf_unknown","1","2"
"edmond_[corpus_era]_viaf_unknown","2","NULL"
"elisabeth_[corpus_era]_viaf_unknown","1","NULL"
"eustachius_andreas_viaf_unknown","1","NULL"
"evangelista_[corpus_era]_viaf_unknown","1","NULL"
"falco_johannes_viaf_unknown","1","NULL"
"franciscans_viaf_not_applicable","1","NULL"
"francis_john_viaf_unknown","2","NULL"
"frick_konrad_viaf_unknown","1","1"
"gerard_of_friesland_viaf_unknown","NULL","2"
"grunnius_lambertus_viaf_33092660","1","NULL"
"grunnius_[corpus_era]_viaf_unknown","1","NULL"
"halewyn_georges_de_viaf_100289355","2","1"
"janandus_claudius_viaf_unknown","1","NULL"
"jan_of_brussels_viaf_unknown","2","NULL"
"lagnier_simon_viaf_unknown","1","NULL"
"laurentia_johannes_baptista_viaf_unknown","1","NULL"
"leontius_[corpus_era]_viaf_unknown","1","NULL"
"louvain_collegium_trilingue_viaf_not_applicable","1","NULL"
"louvain_faculty_of_theology_a_member_of_viaf_unknown","1","NULL"
"louvain_theologians_of_viaf_not_applicable","4","NULL"
"loxanus_georgius_viaf_unknown","1","NULL"
"lübeck_a_man_of_viaf_unknown","1","NULL"
"ludovicus_[corpus_era_ep_167]_viaf_unknown","1","NULL"
"ludovicus_[corpus_era_ep_790]_viaf_unknown","1","NULL"
"luxembourg_nicolas_de_viaf_unknown","1","NULL"
"malaise_nicolas_de_viaf_309895453","1","NULL"
"manius_petrus_viaf_unknown","1","NULL"
"martinus_[corpus_era]_viaf_unknown","1","NULL"
"maximilian_of_transylvania_viaf_21802698","3","2"
"merbelius_petrus_viaf_unknown","1","3"
"metz_chapter_of_cathedral_viaf_not_applicable","1","NULL"
"morel_désiré_viaf_unknown","1","NULL"
"morin_jean_viaf_unknown","2","NULL"
"müller_leonhard_viaf_unknown","NULL","1"
"nicasius_[corpus_era]_viaf_unknown","1","NULL"
"nicola_felipe_viaf_unknown","1","NULL"
"niger_bernardus_viaf_unknown","NULL","1"
"parcius_thomas_viaf_unknown","1","NULL"
"paris_faculty_of_theology_of_viaf_not_applicable","3","NULL"
"paris_parliament_of_viaf_not_applicable","2","NULL"
"patron_a_[corpus_era]_viaf_unknown","1","NULL"
"praepositus_edanus_nicolaus_viaf_unknown","1","NULL"
"praus_kilian_viaf_unknown","NULL","1"
"precellius_georgius_viaf_uncertain","NULL","1"
"priccardus_leonardus_viaf_unknown","2","1"
"quinonus_guilhelmus_viaf_unknown","1","NULL"
"quintinus_[corpus_era]_viaf_unknown","1","NULL"
"rhodus_stegrius_viaf_unknown","1","NULL"
"ricius_franz_viaf_100463260","NULL","1"
"ruistre_nicolas_viaf_unknown","2","NULL"
"rupilius_franciscus_viaf_uncertain","1","1"
"sasboudus_[corpus_era]_viaf_unknown","1","NULL"
"schirn_georg_viaf_unknown","NULL","1"
"silvius_andreas_viaf_20500070","1","NULL"
"strasbourg_magistrates_of_viaf_not_applicable","3","NULL"
"swiss_confedercy_viaf_not_applicable","1","NULL"
"thuringus_saltzensis_chunradus_viaf_unknown","NULL","1"
"trophinus_felix_viaf_unknown","1","NULL"
"unnamed_person_viaf_not_applicable","6","NULL"
"verinus_gabriel_viaf_51698984","NULL","1"
"vesuvius_nicolaus_viaf_unknown","4","1"
"warnerszoon_claes_viaf_unknown","5","NULL"
"werter_johann_viaf_unknown","1","NULL"
"winckel_pieter_viaf_unknown","1","NULL"
"zurich_town_council_of_viaf_not_applicable","1","NULL"
"vergil_polydore_viaf_89468390","6","4"
"adrian_vi_ pope_ viaf_76430137","4","2"
"witzel_georg_viaf_5033354","NULL","2"
"schudelin_johann_viaf_unknown","1","NULL"
"oliver_pedro_juan_viaf_34607051","NULL","1"
"vives_juan_luis_viaf_71399403","7","20"
"bourgogne_adolphe_de_viaf_308694698","3","NULL"
"bourbon_nicolas_viaf_61581703","1","NULL"
"bembo_pietro_viaf_54144140","5","4"
"egnazio_giovanni_battista_viaf_100187526","6","3"
"giustiniano_sebastiano_viaf_88642380","NULL","2"
"grimani_domenico_viaf_67314831","4","NULL"
"aiazza_girolamo_viaf_unknown","1","1"
"gattinara_mercurino_marchese_di_viaf_9855777","6","5"
"grynaeus_simon_viaf_51739295","4","1"
"viromandus_hieronymus_viaf_unknown","1","NULL"
"paleario_aonio_viaf_46755883","NULL","1"
"canossa_lodovico_viaf_20611230","1","1"
"fevynus_johannes_viaf_305828704","1","1"
"vianden_melchior_matthaei_of_viaf_unknown","1","NULL"
"cheregato_francesco_viaf_10186230","4","1"
"caminadus_augustinus_vincentius_viaf","3","NULL"
"effinger_lorenz_viaf_unknown","1","1"
"guibé_robert_viaf_44450742","1","NULL"
"vlatten_johann_von_viaf_192938582","10","9"
"nausea_friedrich_viaf_248203874","6","NULL"
"burgundy_henry_of_viaf_unknown","1","NULL"
"balthasar_konstanz_bischof_viaf_42723378","2","1"
"herwagen_johann_viaf_84180756","1","2"
"emser_hieronymus_viaf_19702295","3","3"
"oecolampadius_johann_viaf_56634092","7","1"
"cochlæus_johannes_viaf_121589726","6","2"
"whitford_richard_viaf_7440509","2","NULL"
"zebrzydowski_andrzej_viaf_31698046","2","NULL"
"zwingli_ulrich_viaf_71399367","6","1"
"aytta_wigle_van_viaf_56619243","8","23"
"dietz_jost_ludwig_viaf_73844033","5","2"
"harst_karl_viaf_81360435","1","NULL"
"cornelis_of_bergen_viaf_unknown","1","NULL"
"rem_wolfgang_andreas_viaf_61982771","1","NULL"
"bergen_jan_(3)_van_viaf_unknown","1","NULL"
"moringus_gerardus_viaf_191136181","NULL","1"
"cornarius_janus_viaf_71422380","1","NULL"
"łaski_hieronim_viaf_161930274","3","NULL"
"łaski_jan_(1)_viaf_54138660","1","NULL"
"łaski_jan_(2)_viaf_222145667146705170005","6","3"
