"correspondents_id","NoEPPfromEra","NoEPPtoEra"
"charles_iii_duke_of_savoy_viaf_41706196","1","NULL"
"egranus_johannes_sylvius_viaf_25396571","1","NULL"
"meyner_matthias_viaf_unknown","1","NULL"
"ruthall_thomas_viaf_21976614","4","NULL"
"johannes_maria_armoricus_viaf_unknown","NULL","1"
"sbrulius_richardus_viaf_57544463","1","NULL"
"clesio_bernardo_viaf_59192040","13","23"
"gachi_jean_viaf_unknown","1","NULL"
"francis_i_king_of_france_viaf_21677","4","1"
"gaguin_robert_viaf_14908169","4","4"
"cassander_franciscus_viaf_unknown","2","NULL"
"cigalini_francesco_viaf_27885400","1","NULL"
"giovio_benedetto_viaf_54492095","1","1"
"bogbinder_hans_viaf_unknown","1","NULL"
"valdés_alfonso_de_viaf_89087729","8","5"
"valdés_juan_de_viaf_19691005","3","NULL"
"sasbout_jodok_viaf_22959409","1","1"
"faber_jacobus_viaf_uncertain","NULL","1"
"merleberge_jan_vab_viaf_unknown","1","NULL"
"marletus_claudius_viaf_89243740","NULL","1"
"carondelet_jean_viaf_35387645","7","3"
"franck_sebastian_viaf_46842654","1","NULL"
"colster_abel_van_viaf_unknown","1","NULL"
"boece_hector_viaf_17337454","2","1"
"marcäus_helias_viaf_81341599","2","NULL"
"wilhelm_v_herzog_von_kleve_jülich_berg_viaf_291388445","5","1"
"ruser_johann_viaf_unknown","2","NULL"
"eck_johann_viaf_100185986","1","2"
"pirckheimer_willibald_viaf_27173507","40","15"
"rosemondt_godescalc_viaf_15113247","3","NULL"
"paracelsus_viaf_12313247","1","1"
"schalbe_kaspar_viaf_uncertain","1","1"
"luther_martin_viaf_14773105","4","2"
"hompen_hayo_viaf_90975196","6","NULL"
"engelbrecht_philipp_viaf_90637450","NULL","1"
"eppendorf_heinrich_viaf_59837595","3","1"
"nyder_konrad_viaf_unknown","NULL","1"
"lang_johann_viaf_67343955","3","NULL"
"hué_guillaume_viaf_unknown","1","NULL"
"lefèvre_d'étaples_jacques_viaf_100170223","4","1"
"hedio_kaspar_viaf_37708208","3","1"
"resende_andré_de_viaf_120700950","1","NULL"
"pflug_julius_von_viaf_3265533","6","3"
"calcagnini_celio_viaf_76366882","1","2"
"montini_floriano_viaf_uncertain","1","1"
"bartolini_lorenzo_di_bartolomeo_viaf_38444988","1","NULL"
"clement_vii_pope_viaf_90633828","3","2"
"leo_x_pope_viaf_316407579","6","5"
"pucci_antonio_viaf_49215795","2","NULL"
"pucci_lorenzo_viaf_37813554","1","NULL"
"florenas_remaclus_viaf_18036550","1","NULL"
"andrelini_publio_fausto_viaf_32016421","4","4"
"claimondus_johannes_viaf_72207793","2","NULL"
"cajetan_tommaso_de_vio_viaf_49196005","1","NULL"
"laetus_jodocus_viaf_69745698","1","1"
"dantyszek_jan_viaf_5031671","1","NULL"
"giese_tiedemann_viaf_32819965","1","1"
"alardet_amblard_viaf_unknown","1","NULL"
"alardet_claude_louis_viaf_314873892","1","1"
"boerio_giovanni_battista_viaf_unknown","1","NULL"
"boerio_giovanni_viaf_unknown","1","NULL"
"parentibus_lazarus_a_viaf_unknown","1","NULL"
"spinola_luigi_viaf_unknown","NULL","1"
"ammonius_jean_viaf_122081603","NULL","1"
"ammonius_levinus_viaf_unknown","2","6"
"bostius_arnold_viaf_22932384","2","NULL"
"charles_v_holy_roman_emperor_viaf_88598818","3","3"
"edingen_omaar_van_viaf_unknown","2","NULL"
"georg_von_österreich_viaf_74667947","1","NULL"
"goethals_liévin_viaf_62363145","1","NULL"
"keysere_robert_de_viaf_54247831","1","1"
"martens_joachim_viaf_unknown","1","NULL"
"rex_felix_viaf_311598393","NULL","1"
"uenhove_carolus_viaf_193330185","6","NULL"
"hune_martin_viaf_unknown","3","NULL"
"egli_fridolin_viaf_unknown","1","NULL"
"agricola_georg_viaf_100164815","3","NULL"
"haer_jan_dirksz_van_der_viaf_unknown","1","NULL"
"gerard_cornelis_viaf_56666862","14","4"
"guilelmus_hermannus_viaf_79253976","5","2"
"lethmaet_herman_viaf_89176625","2","2"
"mauritszoon_jacob_viaf_unknown","3","NULL"
"snoy_reinier_viaf_7421281","NULL","1"
"theodericus_franciscus_viaf_unknown","5","NULL"
"ruys_walter_viaf_77133642","1","NULL"
"henry_viii_king_of_england_viaf_172419710","12","2"
"everardi_nicolaus_viaf_113330335","6","NULL"
"canter_jacobus_viaf_810331","1","NULL"
"frederiks_willem_viaf_unknown","1","NULL"
"hacus_christoph_viaf_54963143","1","NULL"
"gómez_alvar_viaf_23863826","NULL","1"
"steuco_agostino_viaf_59880366","1","1"
"agricola_johann_viaf_72187518","1","NULL"
"bebel_heinrich_viaf_24719906","NULL","1"
"montfoort_pieter_van_viaf_uncertain","NULL","1"
"talesius_quirinus_viaf_unknown","4","NULL"
"tunstall_cuthbert_viaf_22160214","10","4"
"capito_wolfgang_viaf_61578502","8","10"
"hessus_helius_eobanus_viaf_71412338","6","NULL"
"froben_johann_viaf_7440203","5","2"
"tittelmans_franciscus_viaf_27074875","1","3"
"kretz_matthias_viaf_7727516","2","2"
"heemstede_jan_of_viaf_unknown","3","1"
"hezius_theodericus_viaf_287437455","2","1"
"gallinarius_johannes_viaf_66819994","NULL","1"
"longland_john_viaf_65200907","6","2"
"schweiß_alexander_von_viaf_89934990","1","NULL"
"carlowitz_christoph_von_viaf_23195303","1","2"
"stadion_christoph_von_bishop_of_augsburg_viaf_72202625","6","6"
"gratius_ortwin_viaf_100274693","1","NULL"
"mutianus_rufus_conradus_viaf_59879191","2","1"
"neve_jan_de_viaf_unknown","1","NULL"
"hoogstraten_andreas_of_viaf_unknown","1","1"
"hoogstraten_jacobus_van_viaf_13114285","1","NULL"
"ceratinus_jacobus_viaf_62367114","NULL","1"
"theoderici_jacobus_viaf_unknown","1","NULL"
"lotzer_johann_(1)_viaf_37256989","1","1"
"wolsey_thomas_viaf_22937889","13","NULL"
"arsenios_archbischop_of_monemvasia_viaf_24636751","NULL","1"
"lascaris_janus_viaf_32142389","1","NULL"
"caesarius_johannes_viaf_144319","6","6"
"lambelin_jean_viaf_unknown","1","NULL"
"fettich_theobald_viaf_39718269","2","NULL"
"gruntgen_heinrich_viaf_unknown","1","NULL"
"campen_jan_van_viaf_7729157","NULL","1"
"morrhy_gérard_viaf_78441521","NULL","2"
"draconites_johannes_viaf_27871654","2","NULL"
"hörmann_georg_viaf_67293006","NULL","1"
"angst_wolfgang_viaf_107637903","1","1"
"eck_leonhard_von_viaf_22932782","2","NULL"
"sycamber_rutger_viaf_17566940","NULL","1"
"beyer_christian_viaf_42894682","NULL","1"
"gerard_of_kloster_viaf_unknown","1","NULL"
"agrippa_von_nettsheim_heinrich_cornelius_viaf_24596804","4","5"
"eichholz_adolf_viaf_unknown","1","2"
"gravius_bernardus_viaf_unknown","NULL","2"
