"recipient_id","Number of letters sent from Erasmus to this correspondent"
"mombaer_jan_viaf_56632525","2"
"eck_leonhard_von_viaf_22932782","2"
"sinapius_johannes_viaf_50037880","2"
"lethmaet_herman_viaf_89176625","2"
"zebrzydowski_andrzej_viaf_31698046","2"
"kretz_matthias_viaf_7727516","2"
"grapheus_cornelius_scribonius_viaf_24593400","2"
"boerio_bernardo_viaf_unknown","2"
"casembroot_leonard_viaf_unknown","2"
"more_john_viaf_88670570","2"
"badius_josse_viaf_44352439","2"
"draconites_johannes_viaf_27871654","2"
"dubois_françois_viaf_100900896","2"
"edmond_[corpus_era]_viaf_unknown","2"
"boece_hector_viaf_17337454","2"
"schürer_matthias_viaf_102445072","2"
"mutianus_rufus_conradus_viaf_59879191","2"
"cornelissen_van_mierop_vincent_viaf_unknown","2"
"albon_antoine_de_viaf_304010662","2"
"boudet_michel_viaf_120896676","2"
"sucket_karel_viaf_unknown","2"
"gumppenberg_ambrosius_von_viaf_27866230","2"
"halewyn_georges_de_viaf_100289355","2"
"marcäus_helias_viaf_81341599","2"
"bottis_henri_de_viaf_49563346","2"
"jan_of_brussels_viaf_unknown","2"
"sigismund_i_king_of_poland_viaf_84145052","2"
"mexía_cristóbal_viaf_unknown","2"
"marguerite_queen_consort_of_henry_ii_king_of_navarre_viaf_89797196","2"
"bucer_martin_viaf_2478527","2"
"copus_guilielmus_viaf_22249056","2"
"paul_iv_pope_viaf_88875623","2"
"whitford_richard_viaf_7440509","2"
"scarpinelli_agostino_viaf_unknown","2"
"pucci_antonio_viaf_49215795","2"
"balthasar_konstanz_bischof_viaf_42723378","2"
"edingen_omaar_van_viaf_unknown","2"
"pio_alberto_viaf_122252078","2"
"rescius_rutgerus_viaf_76304064","2"
"morin_jean_viaf_unknown","2"
"latimer_william_viaf_unknown","2"
"vers_louis_de_viaf_unknown","2"
"claimondus_johannes_viaf_72207793","2"
"paris_parliament_of_viaf_not_applicable","2"
"jacobus_antonii_viaf_89039252","2"
"morillon_guido_viaf_39363518","2"
"anton_gurk_bischof_viaf_80560287","2"
"ammonius_levinus_viaf_unknown","2"
"boner_jan_viaf_163357497","2"
"hezius_theodericus_viaf_287437455","2"
"watson_john_viaf_unknown","1"
"bourbon_nicolas_viaf_61581703","1"
"beere_richard_viaf_32827049","1"
"lagnier_simon_viaf_unknown","1"
"frick_konrad_viaf_unknown","1"
"sucket_jan_(i)_viaf_unknown","1"
"laurentia_johannes_baptista_viaf_unknown","1"
"aiazza_girolamo_viaf_unknown","1"
"beyming_heinrich_viaf_unknown","1"
"sutter_johann_viaf_5760662","1"
"andreis_franjo_trankvil_viaf_22294763","1"
"marius_augustinus_viaf_64816093","1"
"ruiz_de_la_mota_bishop_of_badajoz_viaf_69068021","1"
"canter_jacobus_viaf_810331","1"
"john_iii_king_of_portugal_viaf_59093168","1"
"assendelft_gerrit_van_viaf_285766245","1"
"cox_leonard_viaf_25801523","1"
"vergerio_pietro_paolo_viaf_51698984","1"
"alardet_amblard_viaf_unknown","1"
"ernst_duke_of_bavaria_viaf_57415353","1"
"gracián_diego_viaf_32887288","1"
"sbrulius_richardus_viaf_57544463","1"
"grolier_jean_viaf_51698044","1"
"trophinus_felix_viaf_unknown","1"
"sturm_jakob_viaf_42633585","1"
"schweiß_alexander_von_viaf_89934990","1"
"smith_john_viaf_unknown","1"
"hué_guillaume_viaf_unknown","1"
"cornarius_janus_viaf_71422380","1"
"schudelin_johann_viaf_unknown","1"
"cigalini_francesco_viaf_27885400","1"
"boerio_giovanni_battista_viaf_unknown","1"
"praepositus_edanus_nicolaus_viaf_unknown","1"
"ellenbog_nikolaus_viaf_71750518","1"
"egranus_johannes_sylvius_viaf_25396571","1"
"gerard_of_kloster_viaf_unknown","1"
"quinonus_guilhelmus_viaf_unknown","1"
"schmotzer_goerg_viaf_unknown","1"
"elisabeth_[corpus_era]_viaf_unknown","1"
"louvain_collegium_trilingue_viaf_not_applicable","1"
"falco_johannes_viaf_unknown","1"
"sasboudus_[corpus_era]_viaf_unknown","1"
"noot_adolf_van_der_viaf_unknown","1"
"janandus_claudius_viaf_unknown","1"
"hugenoys_lieven_viaf_unknown","1"
"resende_andré_de_viaf_120700950","1"
"papin_antoine_viaf_unknown","1"
"burgundy_henry_of_viaf_unknown","1"
"boner_stanislaw_viaf_163161362","1"
"swiss_confedercy_viaf_not_applicable","1"
"reisch_gregor_viaf_9989194","1"
"furster_valentin_viaf_unknown","1"
"luxembourg_nicolas_de_viaf_unknown","1"
"fisher_christopher_viaf_unknown","1"
"deloynes_françois_viaf_212150646","1"
"plaine_gérard_de_viaf_unknown","1"
"gaigny_jean_de_viaf_85041114","1"
"a_monk_viaf_unknown","1"
"alardus_amstelredamus_viaf_85054604","1"
"mosham_ruprecht_von_viaf_20551741","1"
"quintinus_[corpus_era]_viaf_unknown","1"
"lübeck_a_man_of_viaf_unknown","1"
"bartolini_lorenzo_di_bartolomeo_viaf_38444988","1"
"gerbel_nicolaus_viaf_60906847","1"
"cantiuncula_claudius_viaf_74646923","1"
"wichmans_peter_viaf_unknown","1"
"ludovicus_[corpus_era_ep_167]_viaf_unknown","1"
"egmont_floris_von_viaf_23295441","1"
"halsey_thomas_viaf_unknown","1"
"noot_jeroen_van_der_viaf_unknown","1"
"gardiner_stephen_viaf_54292111","1"
"kleberger_hans_viaf_21316184","1"
"angleberme_pierre_de_viaf_unknown","1"
"diesbach_nikolaus_von_viaf_unknown","1"
"ruys_walter_viaf_77133642","1"
"morel_désiré_viaf_unknown","1"
"molendino_johannes_de_viaf_unknown","1"
"loxanus_georgius_viaf_unknown","1"
"illiers_rené_de_viaf_unknown","1"
"mykonius_oswald_viaf_22936778","1"
"cromwell_thomas_earl_of_essex_viaf_29523928","1"
"bercin_antoine_viaf_unknown","1"
"winnmann_nikolaus_viaf_39729055","1"
"cordus_euricius_viaf_122063278","1"
"giovio_benedetto_viaf_54492095","1"
"hacus_christoph_viaf_54963143","1"
"könneritz_christoph_von_viaf_80525504","1"
"hoogstraten_andreas_of_viaf_unknown","1"
"dam_bertram_viaf_50040058","1"
"parentibus_lazarus_a_viaf_unknown","1"
