"Id","letter_no_in_edition","Source","sender_inferred","sender_uncertain","Target","recipient_inferred","recipient_uncertain","Label","send_date_year1","send_date_computable1","send_date_has_range","send_date_year2","send_date_computable2","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x"
"era_cwe_523","523 [CWE] // 523 [ALLEN]","96b34928-b9ad-4622-a9e5-2bc06a5895ef","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","523 From Guillaume Cop Paris, 6 February [1517] [CWE]","1517","1517-02-06","0","1517","1517-02-06","1","0","0","paris_FR_gid_2988507","0","0","brussels_BE_gid_2800866","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_494","494 [CWE] // 494 [ALLEN]","10f58e5e-e43a-405e-901a-3633cbf82bc9","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","494 From François Deloynes Paris [c 25 November 1516] [CWE]","1516","1516-11-25","0","1516","1516-11-25","1","1","0","paris_FR_gid_2988507","0","0","brussels_BE_gid_2800866","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1375","1375 [CWE] // 1375 [ALLEN]","702846d2-4b22-4fc3-90f2-ae30d88d23c5","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","1375 From Francis I Saint-Germain-en-Laye, 7 July [1523] [CWE]","1523","1523-07-07","0","1523","1523-07-07","1","0","0","saint_germain_en_laye_FR_gid_2979783","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1367","1367 [CWE] // 1367 [ALLEN]","0f7bc43b-c60d-4261-a19a-e1e559dc8873","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","1367 From Cuthbert Tunstall London, 3 June 1523 [CWE]","1523","1523-06-05","0","1523","1523-06-05","0","0","0","london_GB_gid_2643743","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_2226","2226 [CWE] // 2226 [ALLEN]","0f7bc43b-c60d-4261-a19a-e1e559dc8873","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","2226 From Cuthbert Tunstall London, 24 October 1529 [CWE]","1529","1529-10-24","0","1529","1529-10-24","0","0","0","london_GB_gid_2643743","0","0","freiburg_DE_gid_2925177","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_572","572 [CWE] // 572 [ALLEN]","0f7bc43b-c60d-4261-a19a-e1e559dc8873","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","572 From Cuthbert Tunstall Antwerp, 22 April [1517] [CWE]","1517","1517-04-22","0","1517","1517-04-22","1","0","0","antwerpen_BE_gid_2803138","0","0","antwerpen_BE_gid_2803138","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_663","663 [CWE] // 663 [ALLEN]","0f7bc43b-c60d-4261-a19a-e1e559dc8873","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","663 From Cuthbert Tunstall Bruges, 14 September [1517] [CWE]","1517","1517-09-14","0","1517","1517-09-14","1","0","0","brugge_BE_gid_2800931","0","0","leuven_BE_gid_2792482","1","0","latin","familiar letter","letter_1_to_1"
"era_cwealien_571","571 [CWE] // 571 [ALLEN]","0f7bc43b-c60d-4261-a19a-e1e559dc8873","0","0","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","0","0","Letter From Cuthbert Tunstall to Guillaume Budé [CWE]","1517","1517-04-01","1","1517","1517-04-21","1","0","0","antwerpen_BE_gid_2803138","1","0","paris_FR_gid_2988507","1","0","latin","familiar letter","letter_1_to_1"
"gbudé_lg_25","25 [Budé lettre grecques]","fa8b4f44-551f-4cc6-a4f7-d5fb957064ae","0","0","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","0","0","Ep 25 Lascaris à Budé. Milan, 13 janvier [1510] [Budé lettres grecques]","1510","1510-01-13","0","1510","1510-01-13","1","0","0","milano_IT_gid_3173435","0","0","paris_FR_gid_2988507","1","0","greek","familiar letter","letter_1_to_1"
"gbudé_lg_28","28 [Budé lettre grecques]","fa8b4f44-551f-4cc6-a4f7-d5fb957064ae","0","0","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","0","0","Ep 28 Lascaris à Budé. [entre le 1er novembre 1519 et le 21 février 1520] [Budé lettres grecques]","1519","1519-11-01","1","1520","1520-02-21","1","0","0","unknown_location_in_france_FR_gid_unknown","0","1","marly_la_ville_FR_gid_2995653","1","0","greek","familiar letter","letter_1_to_1"
