"Id","Label","locations_modern_state","locations_modern_province","Latitude","Longitude","locations_ll_combined"
"niederheimbach_DE_gid_2863341","Niederheimbach","Germany","Rheinland-Pfalz","50.03333","7.81667","50.03333, 7.81667"
"noves_FR_gid_2989935","Noves","France","Provence-Alpes-Côte d'Azur","43.87736","4.90248","43.87736, 4.90248"
"orléans_FR_gid_2989317","Orléans","France","Centre-Val de Loire","47.90289","1.90389","47.90289, 1.90389"
"oxford_GB_gid_2640729","Oxford","United Kingdom","England","51.75222","-1.25596","51.75222, -1.25596"
"padova_IT_gid_3171728","Padua","Italy","Veneto","45.40797","11.88586","45.40797, 11.88586"
"paris_FR_gid_2988507","Paris","France","Île-de-France","48.85341","2.3488","48.85341, 2.3488"
"richmond_palace_GB_gid_unknown","Richmond","United Kingdom","England","51.46171","-0.30633","51.46171, -0.30633"
"rome_IT_gid_3169070","Rome","Italy","Lazio","41.89193","12.51133","41.89193, 12.51133"
"saint_germain_des_près_FR_gid_6693610","Saint-Germain-des-Prés","France","Île-de-France","48.85377","2.33331","48.85377, 2.33331"
"saint_germain_en_laye_FR_gid_2979783","Saint-Germain-en-Laye","France","Île-de-France","48.9","2.08333","48.9, 2.08333"
"saint_omer_FR_gid_2977845","Saint-Omer","France","Hauts-de-France","50.75","2.25","50.75, 2.25"
"toulouse_FR_gid_2972315","Toulouse","France","Occitanie","43.60426","1.44367","43.60426, 1.44367"
"unknown_location_in_england_GB_gid_unknown","Unknown Location in England","United Kingdom","England","NULL","NULL","NULL"
"unknown_location_in_france_FR_gid_unknown","Unknown Location in France","France","Unknown","NULL","NULL","NULL"
"unknown_location_in_italy_IT_gid_unknown","Unknown Location in Italy","Italy","Unknown","NULL","NULL","NULL"
"unknown_location_in_spain_ES_gid_unknown","Unknown Location in Spain","Spain","Unknown","NULL","NULL","NULL"
"unknown_location_XX_gid_unknown","Unknown Location","Unknown","Unknown","NULL","NULL","NULL"
"venice_IT_gid_3164603","Venice","Italy","Veneto","45.43713","12.33265","45.43713, 12.33265"
"vic_sur_seille_FR_gid_2969364","Vic-sur-Seille","France","Grand Est","48.78204","6.53081","48.78204, 6.53081"
"zaragosa_ES_gid_3104324","Zaragoza","Spain","Aragon","41.65606","-0.87734","41.65606, -0.87734"
"bonnefont_FR_gid_3031759","Bonnefont","France","Occitanie","43.24983","0.34476","43.24983, 0.34476"
"châtillon_sur_seine_FR_gid_3026046","Châtillon-sur-Seine","France","Bourgogne-Franche-Comté","47.85851","4.57375","47.85851, 4.57375"
"fontenay_le_comte_FR_gid_3017921","Fontenay-le-Comte","France","Pays de la Loire","46.46667","-0.81667","46.46667, -0.81667"
"la_villeneuve_sur_vingeanne_FR_gid_3005488","La Villeneuve-sur-Vingeanne","France","Bourgogne-Franche-Comté","47.56314","5.42329","47.56314, 5.42329"
"nuits_saint_georges_FR_gid_2989837","Nuits-Saint-Georges","France","Bourgogne-Franche-Comté","47.13683","4.949","47.13683, 4.949"
"reims_FR_gid_2984114","Reims","France","Grand Est","49.25","4.03333","49.25, 4.03333"
"rodez_FR_gid_2983154","Rodez","France","Occitanie","44.35258","2.57338","44.35258, 2.57338"
"romorantin_lanthenay_FR_gid_2982967","Romorantin-Lanthenay","France","Centre-Val de Loire","47.36667","1.75","47.36667, 1.75"
"saint_genis_les_ollières_FR_gid_2979984","Saint-Genis-les-Ollières","France","Auvergne-Rhône-Alpes","45.7571","4.72625","45.7571, 4.72625"
"troyes_FR_gid_2971549","Troyes","France","Grand Est","48.3","4.08333","48.3, 4.08333"
