"ModernState","Year","NoEppSentFromEra","NoEppSentToEra"
"Czech Republic","1520","NULL","1"
"Germany","1520","34","8"
"Spain","1520","1","NULL"
"Poland","1520","2","NULL"
"United Kingdom","1520","13","5"
"Austria","1520","NULL","NULL"
"France","1520","8","2"
"Italy","1520","7","1"
"Unknown","1520","2","NULL"
"Belgium","1520","23","5"
"Hungary","1520","NULL","NULL"
"Portugal","1520","NULL","NULL"
"Slovakia","1520","NULL","NULL"
"Netherlands","1488","5","NULL"
"Switzerland","1488","NULL","NULL"
"Czech Republic","1488","NULL","NULL"
"Germany","1488","NULL","NULL"
"Spain","1488","NULL","NULL"
"Poland","1488","NULL","NULL"
"United Kingdom","1488","NULL","NULL"
"Austria","1488","NULL","NULL"
"France","1488","NULL","NULL"
"Italy","1488","NULL","NULL"
"Unknown","1488","1","NULL"
"Belgium","1488","NULL","NULL"
"Hungary","1488","NULL","NULL"
"Portugal","1488","NULL","NULL"
"Slovakia","1488","NULL","NULL"
"Netherlands","1521","2","NULL"
"Switzerland","1521","3","2"
"Czech Republic","1521","3","NULL"
"Germany","1521","10","4"
"Spain","1521","2","1"
"Poland","1521","NULL","NULL"
"United Kingdom","1521","7","1"
"Austria","1521","NULL","NULL"
"France","1521","5","1"
"Italy","1521","4","3"
"Unknown","1521","3","NULL"
"Belgium","1521","22","3"
"Hungary","1521","NULL","NULL"
"Portugal","1521","NULL","NULL"
"Slovakia","1521","NULL","NULL"
"Netherlands","1500","NULL","NULL"
"Switzerland","1500","NULL","NULL"
"Czech Republic","1500","NULL","NULL"
"Germany","1500","NULL","NULL"
"Spain","1500","NULL","NULL"
"Poland","1500","NULL","NULL"
"United Kingdom","1500","1","NULL"
"Austria","1500","NULL","NULL"
"France","1500","17","1"
"Italy","1500","NULL","NULL"
"Unknown","1500","2","NULL"
"Belgium","1500","1","NULL"
"Hungary","1500","NULL","NULL"
"Portugal","1500","NULL","NULL"
"Slovakia","1500","NULL","NULL"
"Netherlands","1522","NULL","NULL"
"Switzerland","1522","5","NULL"
"Czech Republic","1522","1","2"
"Germany","1522","14","10"
"Spain","1522","2","NULL"
"Poland","1522","NULL","NULL"
"United Kingdom","1522","2","NULL"
"Austria","1522","NULL","2"
"France","1522","4","4"
"Italy","1522","7","4"
"Unknown","1522","1","NULL"
"Belgium","1522","9","15"
"Hungary","1522","NULL","NULL"
"Portugal","1522","NULL","NULL"
"Slovakia","1522","NULL","NULL"
"Netherlands","1523","NULL","NULL"
"Switzerland","1523","7","1"
"Czech Republic","1523","NULL","NULL"
"Germany","1523","15","10"
"Spain","1523","1","NULL"
"Poland","1523","1","NULL"
"United Kingdom","1523","5","2"
"Austria","1523","NULL","NULL"
"France","1523","4","7"
"Italy","1523","5","1"
"Unknown","1523","NULL","NULL"
"Belgium","1523","5","6"
"Hungary","1523","NULL","NULL"
"Portugal","1523","NULL","NULL"
"Slovakia","1523","NULL","NULL"
"Netherlands","1501","NULL","NULL"
"Switzerland","1501","NULL","NULL"
"Czech Republic","1501","NULL","NULL"
"Germany","1501","NULL","NULL"
"Spain","1501","NULL","NULL"
"Poland","1501","NULL","NULL"
"United Kingdom","1501","1","NULL"
"Austria","1501","NULL","NULL"
"France","1501","20","NULL"
"Italy","1501","NULL","NULL"
"Unknown","1501","2","NULL"
"Belgium","1501","2","NULL"
"Hungary","1501","NULL","NULL"
"Portugal","1501","NULL","NULL"
"Slovakia","1501","NULL","NULL"
"Netherlands","1525","1","NULL"
"Switzerland","1525","6","2"
"Czech Republic","1525","1","NULL"
"Germany","1525","15","5"
"Spain","1525","3","1"
"Poland","1525","3","1"
"United Kingdom","1525","3","1"
"Austria","1525","NULL","1"
"France","1525","15","6"
"Italy","1525","21","9"
"Unknown","1525","3","NULL"
"Belgium","1525","18","6"
"Hungary","1525","1","2"
"Portugal","1525","NULL","NULL"
"Slovakia","1525","NULL","NULL"
"Netherlands","1526","NULL","NULL"
"Switzerland","1526","2","2"
"Czech Republic","1526","NULL","NULL"
"Germany","1526","13","14"
"Spain","1526","6","3"
"Poland","1526","4","1"
"United Kingdom","1526","7","4"
"Austria","1526","NULL","NULL"
"France","1526","16","3"
"Italy","1526","8","1"
"Unknown","1526","3","NULL"
"Belgium","1526","12","12"
"Hungary","1526","1","1"
"Portugal","1526","NULL","NULL"
"Slovakia","1526","1","NULL"
"Netherlands","1502","2","NULL"
"Switzerland","1502","NULL","NULL"
"Czech Republic","1502","NULL","NULL"
"Germany","1502","NULL","NULL"
"Spain","1502","NULL","NULL"
"Poland","1502","NULL","NULL"
"United Kingdom","1502","NULL","NULL"
"Austria","1502","NULL","NULL"
"France","1502","2","NULL"
"Italy","1502","NULL","NULL"
"Unknown","1502","NULL","NULL"
"Belgium","1502","NULL","NULL"
"Hungary","1502","NULL","NULL"
"Portugal","1502","NULL","NULL"
"Slovakia","1502","NULL","NULL"
"Netherlands","1489","11","4"
"Switzerland","1489","NULL","NULL"
"Czech Republic","1489","NULL","NULL"
"Germany","1489","NULL","NULL"
"Spain","1489","NULL","NULL"
"Poland","1489","NULL","NULL"
"United Kingdom","1489","NULL","NULL"
"Austria","1489","NULL","NULL"
