"Id"	"letter_no_in_edition"	"sender_id"	"sender_as_marked"	"sender_inferred"	"sender_uncertain"	"recipient_id"	"recipient_as_marked"	"recipient_inferred"	"recipient_uncertain"	"label"	"send_date_year1"	"send_date_month1"	"send_date_day1"	"send_date_computable1"	"send_date_has_range"	"send_date_year2"	"send_date_month2"	"send_date_day2"	"send_date_computable2"	"send_date_as_marked"	"send_date_inferred"	"send_date_approx"	"send_date_uncertain"	"Source"	"source_loc_as_marked"	"source_loc_inferred"	"source_loc_uncertain"	"Target"	"target_loc_as_marked"	"target_loc_inferred"	"target_loc_uncertain"	"letter_language"	"letter_type_genus"	"letter_type_x_to_x"	"further_annotation"
"gbudé_rep_41"	"41 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"bembo_pietro_viaf_54144140"	"Pietro Bembo, patricien de Venise"	"0"	"0"	"Ep 41 A Pietro Bembo, patricien de Venise. Paris, 17 août 1519"	"1519"	"08"	"17"	"1519-08-17"	"0"	"1519"	"08"	"17"	"1519-08-17"	"17 août 1519"	"0"	"0"	"0"	"paris_FR_gid_2988507"	"Paris"	"0"	"0"	"rome_IT_gid_3169070"	"[Rome]"	"0"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	NULL
"gbudé_rep_42"	"42 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"sadoleto_jacopo_viaf_76326881"	"L'évêque Jacques Sadolet"	"0"	"0"	"Ep 42 A l'évêque Jacques Sadolet. Paris, 18 août [1519]"	"1519"	"08"	"18"	"1519-08-18"	"0"	"1519"	"08"	"18"	"1519-08-18"	"18 août [1519]"	"1"	"0"	"0"	"paris_FR_gid_2988507"	"Paris"	"0"	"0"	"rome_IT_gid_3169070"	"[Rome]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	NULL
"gbudé_rep_43"	"43 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"vives_juan_luis_viaf_71399403"	"Louis Vivès"	"0"	"0"	"Ep 43 A Louis Vivès. Paris, 19 août 1519"	"1519"	"08"	"19"	"1519-08-19"	"0"	"1519"	"08"	"19"	"1519-08-19"	"19 août 1519"	"0"	"0"	"0"	"paris_FR_gid_2988507"	"Paris"	"0"	"0"	"leuven_BE_gid_2792482"	"[Leuven]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	NULL
"gbudé_rep_46"	"46 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"deloynes_françois_viaf_212150646"	"François Deloynes"	"0"	"0"	"Ep 46 A François Deloynes. Marly, 29 septembre [1519]"	"1519"	"09"	"29"	"1519-09-29"	"0"	"1519"	"09"	"29"	"1519-09-29"	"29 septembre [1519]"	"1"	"0"	"0"	"marly_la_ville_FR_gid_2995653"	"Marly"	"0"	"0"	"paris_FR_gid_2988507"	"[Paris]"	"0"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	NULL
"gbudé_rep_47"	"47 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"le_picart_françois_viaf_97992504"	"François Le Picart"	"0"	"0"	"Ep 47 A François Le Picart. Marly, 30 septembre [1519]"	"1519"	"09"	"30"	"1519-09-30"	"0"	"1519"	"09"	"30"	"1519-09-30"	"30 septembre [1519]"	"1"	"0"	"0"	"marly_la_ville_FR_gid_2995653"	"Marly"	"0"	"0"	"paris_FR_gid_2988507"	"[Paris]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	NULL
"gbudé_rep_49"	"16 [Budé lettres grecques] // 49 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"croke_richard_viaf_67250364"	"Richard Croke"	"0"	"0"	"Ep 49 A Richard Croke. Paris, 3 novembre [1519]"	"1519"	"11"	"03"	"1519-11-03"	"0"	"1519"	"11"	"03"	"1519-11-03"	"3 novembre [1519]"	"1"	"0"	"0"	"paris_FR_gid_2988507"	"Paris"	"0"	"0"	"cambridge_GB_gid_2653941"	"[Cambridge]"	"0"	"1"	"greek"	"familiar letter"	"letter_1_to_1"	"this is also Budé lettres grecques No. 16"
"gbudé_rep_51"	"51 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"vives_juan_luis_viaf_71399403"	"Louis Vivès"	"0"	"0"	"Ep 51 A Louis Vivès. Marly, 2 janvier 1520"	"1520"	"01"	"02"	"1520-01-02"	"0"	"1520"	"01"	"02"	"1520-01-02"	"2 janvier 1520"	"0"	"0"	"0"	"marly_la_ville_FR_gid_2995653"	"Marly"	"0"	"0"	"leuven_BE_gid_2792482"	"[Leuven]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	NULL
"gbudé_rep_52"	"52 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"vives_juan_luis_viaf_71399403"	"Louis Vivès"	"0"	"0"	"Ep 52 A Louis Vivès. Paris, 2 février 1520"	"1520"	"02"	"02"	"1520-02-02"	"0"	"1520"	"02"	"02"	"1520-02-02"	"2 février 1520"	"0"	"0"	"0"	"paris_FR_gid_2988507"	"Paris"	"0"	"0"	"leuven_BE_gid_2792482"	"[Leuven]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	NULL
"gbudé_rep_53"	"21 [Budé lettres grecques] // 53 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"lamy_pierre_viaf_unknown"	"Pierre Lamy, franciscain"	"0"	"0"	"Ep 53 A Pierre Lamy, franciscain. Paris, 10 février [1520]"	"1520"	"02"	"10"	"1520-02-10"	"0"	"1520"	"02"	"10"	"1520-02-10"	"10 février [1520]"	"1"	"0"	"0"	"paris_FR_gid_2988507"	"Paris"	"0"	"0"	"fontenay_le_comte_FR_gid_3017921"	"[Fontenay-le-Comte]"	"0"	"1"	"greek"	"familiar letter"	"letter_1_to_1"	"this is also Budé lettres grecques No. 21"
"gbudé_rep_55"	"55 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"longolius_christopherus_viaf_12405190"	"Christophe de Longueil"	"0"	"0"	"Ep 55 A Christophe de Longueil. Marly, 25 février [1520]"	"1520"	"02"	"21"	"1520-02-21"	"0"	"1520"	"02"	"21"	"1520-02-21"	"25 février [1520]"	"1"	"0"	"0"	"marly_la_ville_FR_gid_2995653"	"Marly"	"0"	"0"	"venice_IT_gid_3164603"	"[Venice]"	"1"	"1"	"greek"	"familiar letter"	"letter_1_to_1"	"the date of dispatch has been set to the 21 février, for an explenation cf. Répertoire p. 99 // this is Budé lettres grecques No. 40"
"gbudé_rep_56"	"56 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"eichholz_adolf_viaf_unknown"	"Adolphus Roboreus"	"0"	"0"	"Ep 56 A Adolphus Roboreus. Marly, 22 février [1520]"	"1520"	"02"	"22"	"1520-02-22"	"0"	"1520"	"02"	"22"	"1520-02-22"	"22 février [1520]"	"1"	"0"	"0"	"marly_la_ville_FR_gid_2995653"	"Marly"	"0"	"0"	"köln_DE_gid_2886242"	"[Cologne]"	"0"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	NULL
"gbudé_rep_57"	"57 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"bembo_pietro_viaf_54144140"	"Pietro Bembo"	"0"	"0"	"Ep 57 A Pietro Bembo. Marly, 24 février 1520"	"1520"	"02"	"24"	"1520-02-24"	"0"	"1520"	"02"	"24"	"1520-02-24"	"24 février 1520"	"0"	"0"	"0"	"marly_la_ville_FR_gid_2995653"	"Marly"	"0"	"0"	"rome_IT_gid_3169070"	"[Rome]"	"0"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	NULL
