"letters_id","letter_no_in_edition","sender_id","sender_as_marked","sender_inferred","sender_uncertain","recipient_id","recipient_as_marked","recipient_inferred","recipient_uncertain","label","send_date_year1","send_date_month1","send_date_day1","send_date_computable1","send_date_has_range","send_date_year2","send_date_month2","send_date_day2","send_date_computable2","send_date_as_marked","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_as_marked","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_as_marked","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x","further_annotation"
"era_cwe_266","266 [CWE] // 266 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","4c76aabc-f34e-41e8-9910-f44048ad9ed2","Adolph of Burgundy, heer van Veere [CWE]","0","0","266 To Adolph of Burgundy, heer van Veere London, [autumn] 1512 [CWE]","1512","NULL","NULL","1512-09-01","1","1512","NULL","NULL","1512-11-30","[autumn] 1512 [CWE]","1","0","0","london_GB_gid_2643743","London [CWE]","0","0","tournehem_sur_la_hem_FR_gid_2972235","[Tournehem-sur-la-Hem]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_2711","2711 [CWE] // 2711 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","9959ff1b-6091-45ec-bbcc-9532d1d07472","William V, duke of Cleves [CWE]","0","0","2711 To William v, duke of Cleves Freiburg, 1532 [CWE]","1532","NULL","NULL","1532-01-01","1","1532","NULL","NULL","1532-12-31","1532 [CWE]","0","0","0","freiburg_DE_gid_2925177","Freiburg [CWE]","0","0","büderich_DE_gid_2942083","[Büderich]","1","0","latin","dedicatory letter","letter_1_to_1","Preface to two new books added to *Apophthegmata (II)* (Basel: H. Froben and N. Episcopius, 1532 = USTC 612553), cf. CWE XIX, 148 and Tello 2023, no. 410. The date range for this letter may be more specific, refer to ALLEN X, 89 for details."
"era_cwe_2750","2750 [CWE] // 2750 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","aae78701-5318-483d-b1c7-35c7a0f6a06d","Johannes Fabri [CWE]","0","0","2750 To Johannes Fabri [Freiburg, late 1532] [CWE]","1532","NULL","NULL","1532-10-01","1","1532","NULL","NULL","1532-12-31","[late 1532] [CWE]","1","0","0","freiburg_DE_gid_2925177","[Freiburg] [CWE]","1","0","vienna_AT_gid_2761369","[Vienna]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_27a","27A [CWE] // 27A [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","335da4b6-67df-4a9e-9eb2-9d651b9bf5c0","Cornelis Gerard [CWE]","0","0","27A To Cornelis Gerard [Steyn, 1489?] [CWE]","1489","NULL","NULL","1489-01-01","1","1489","NULL","NULL","1489-12-31","[1489?] [CWE]","1","0","1","steyn_monastery_NL_gid_unknown","[Steyn] [CWE]","1","0","lopsen_monastery_NL_gid_unknown","[Monastery Lopsen]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_28","28 [CWE] // 28 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","335da4b6-67df-4a9e-9eb2-9d651b9bf5c0","Cornelis Gerard [CWE]","0","0","28 To Cornelis Gerard [Steyn, 1489?] [CWE]","1489","NULL","NULL","1489-01-01","1","1489","NULL","NULL","1489-12-31","[1489?] [CWE]","1","0","1","steyn_monastery_NL_gid_unknown","[Steyn] [CWE]","1","0","lopsen_monastery_NL_gid_unknown","[Monastery Lopsen]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_29","29 [CWE] // 29 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","335da4b6-67df-4a9e-9eb2-9d651b9bf5c0","Cornelis Gerard [CWE]","0","0","29 To Cornelis Gerard [Steyn, 1489] [CWE]","1489","NULL","NULL","1489-01-01","1","1489","NULL","NULL","1489-12-31","[1489] [CWE]","1","0","0","steyn_monastery_NL_gid_unknown","[Steyn] [CWE]","1","0","lopsen_monastery_NL_gid_unknown","[Monastery Lopsen]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_2917a","2917A [CWE] // 2509 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","d86e9fb0-c6d2-406a-a352-63a6fa4237dc","Bonifacius Amerbach [CWE]","0","0","2917a To Bonifacius Amerbach [Freiburg, spring 1534] [CWE]","1534","NULL","NULL","1534-03-01","1","1534","NULL","NULL","1534-05-31","[spring 1534] [CWE]","1","0","0","freiburg_DE_gid_2925177","[Freiburg] [CWE]","1","0","basel_CH_gid_2661604","[Basel]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_2986","2986 [CWE] // 2986 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","007b1451-07a0-4a17-b430-58a8bee94202","Georgius Loxanus [CWE]","0","0","2986 To Georgius Loxanus Freiburg, 1534 [CWE]","1534","NULL","NULL","1534-01-01","1","1534","NULL","NULL","1534-12-31","1534 [CWE]","0","0","0","freiburg_DE_gid_2925177","Freiburg [CWE]","0","0","unknown_location_XX_gid_unknown","[Unknown Location]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_3","3 [CWE] // 3 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","83385521-6409-421c-8fd9-e89c5740e1b9","Pieter Gerard [CWE]","0","0","3 To Pieter Gerard [Steyn? 1487?] [CWE]","1487","NULL","NULL","1487-01-01","1","1487","NULL","NULL","1487-12-31","[1487?] [CWE]","1","0","1","steyn_monastery_NL_gid_unknown","[Steyn?] [CWE]","1","1","sion_abbey_NL_gid_unknown","[Sion Abbey]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_30","30 [CWE] // 30 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","335da4b6-67df-4a9e-9eb2-9d651b9bf5c0","Cornelis Gerard [CWE]","0","0","30 To Cornelis Gerard [Steyn, 1489?] [CWE]","1489","NULL","NULL","1489-01-01","1","1489","NULL","NULL","1489-12-31","[1489?] [CWE]","1","0","1","steyn_monastery_NL_gid_unknown","[Steyn] [CWE]","1","0","lopsen_monastery_NL_gid_unknown","[Monastery Lopsen]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_3031a","3031A [CWE] // 3031A [ALLEN]","626c0dde-e152-4394-87c3-8a0ede0a683c","Konrad Heresbach [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","3031a From Konrad Heresbach Düsseldorf, 1534-6 [CWE]","1534","NULL","NULL","1534-11-01","1","1536","NULL","NULL","1536-07-12","1534-6 [CWE]","0","0","0","düsseldorf_DE_gid_2934246","Düsseldorf [CWE]","0","0","basel_CH_gid_2661604","[Basel]","1","0","latin","familiar letter","letter_1_to_1","The determination of the date range has been made in reference to ALLEN XI, 156."
"era_cwe_31","31 [CWE] // 31 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","cbd92b4f-8d61-4497-bace-f223843a7970","a friend [CWE]","0","0","31 To a friend [Steyn, 1489?] [CWE]","1489","NULL","NULL","1489-01-01","1","1489","NULL","NULL","1489-12-31","[1489?] [CWE]","1","0","1","steyn_monastery_NL_gid_unknown","[Steyn] [CWE]","1","0","unknown_location_XX_gid_unknown","[Unknown Location]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_32","32 [CWE] // 32 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","0c46141f-93bb-487f-b40c-5e27986aeee7","Jacob Canter [CWE]","0","0","32 To Jacob Canter [Steyn, end of 1489] [CWE]","1489","NULL","NULL","1489-11-01","1","1489","NULL","NULL","1489-12-31","[end of 1489] [CWE]","1","0","0","steyn_monastery_NL_gid_unknown","[Steyn] [CWE]","1","0","antwerpen_BE_gid_2803138","[Antwerp]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_33","33 [CWE] // 33 [ALLEN]","05e04600-4dc6-4755-a00c-a62a348647e0","Willem Hermans [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","33 From Willem Hermans [Steyn, 1493?] [CWE]","1493","NULL","NULL","1493-01-01","1","1493","NULL","NULL","1493-12-31","[1493?] [CWE]","1","0","1","steyn_monastery_NL_gid_unknown","[Steyn] [CWE]","1","0","brussels_BE_gid_2800866","[Brussels]","1","0","latin","familiar letter","letter_1_to_1","NULL"
