"correspondents_id","type","gender","viaf_id","name_in_edition","known_name_variations","known_name_variations_ref","pob_loc_id","pob_loc_annotation","pob_loc_annotation_ref","dob_year1","dob_month1","dob_day1","dob_computable1","dob_has_range","dob_year2","dob_month2","dob_day2","dob_computable2","dob_annotion","dob_annotion_ref","pod_loc_id","pod_loc_annotation","pod_loc_annotation_ref","dod_year1","dod_month1","dod_day1","dod_computable1","dod_has_range","dod_year2","dod_month2","dod_day2","dod_computable2","dod_annotion","dod_annotion_ref","further_annotation"
"barbier_nicolas_viaf_unknown","individual","male","unknown","Nicolas BARBIER [COE] // Nicolas Barbier [CWE] // Barbirius, Nicolaus [ALLEN]","NULL","NULL","arras_FR_gid_3036784","prob. Arras","COE I, 93","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 93","unknown_location_XX_gid_unknown","Unknown","COE I, 93","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 93","NULL"
"basel_town_council_of_viaf_not_applicable","corporate body","NULL","not applicable","[Town Council of Basel] [COE] // The Town Council of Basel [CWE] // Basle Town Council [ALLEN]","NULL","NULL","unknown_location_XX_gid_unknown","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"batt_cornelis_viaf_unknown","individual","male","unknown","Cornelis BATT [COE] // Cornelis Batt [CWE] // Batt, Cornelius [ALLEN]","NULL","NULL","bergen_op_zoom_NL_gid_2759145","prob. Bergen op Zoom","COE I, 100","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 100","unknown_location_XX_gid_unknown","Unknown","COE I, 100","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 100","NULL"
"bechyně_petr_viaf_unknown","individual","male","unknown","Petr BECHYNĚ [COE] // Petr Bechyně [CWE] // Bechinius, Peter [ALLEN]","Bechinie // Bechinius // Bechinicius // a Lazan // Lazian // Lusan","COE I, 114","bechyně_CZ_gid_3079616","[Bechyně:CK]","COE I, 114","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 114","unknown_location_XX_gid_unknown","Unknown","COE I, 114","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 114","NULL"
"bensrott_nikolaus_viaf_unknown","individual","male","unknown","Nikolaus BENSROTT [COE] // Nikolas Bensrott [CWE] // Bensrott, Nicholas [ALLEN]","Benseradus","COE I, 123","uffeln_DE_gid_2820426","Üffeln, on the Weser","COE I, 123","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 123","unknown_location_XX_gid_unknown","Unknown","COE I, 123","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 123","NULL"
"besançon_senate_of_viaf_not_applicable","corporate body","NULL","not applicable","[not included in COE] // Senate of Besançon [CWE] // Besançon, Senate of [ALLEN]","NULL","NULL","unknown_location_XX_gid_unknown","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"boerio_bernardo_viaf_unknown","individual","male","unknown","Bernardo BOERIO [COE] // Bernardo Boerio [CWE] // Boerio, Bernard [ALLEN]","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","COE I, 158-159","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 158-159","unknown_location_XX_gid_unknown","Unknown","COE I, 158-159","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 158-159","NULL"
"boerio_giovanni_battista_viaf_unknown","individual","male","unknown","Giovanni Battista BOERIO [COE] // Giovanni Battista Boerio [CWE] // Boerio, John Baptista [ALLEN]","NULL","NULL","genoa_IT_gid_3176219","Genoa","COE I, 158-159","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 158-159","unknown_location_XX_gid_unknown","Unknown","COE I, 158-159","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 158-159","NULL"
"boerio_giovanni_viaf_unknown","individual","male","unknown","Giovanni BOERIO [COE] // Giovanni Boerio [CWE] // Boerio, John [ALLEN]","NULL","NULL","genoa_IT_gid_3176219","Genova","Dizionario Biografico degli Italiani","1450","NULL","NULL","1450-01-01","1","1450","NULL","NULL","1450-12-31","verso la metà del sec. XV","Dizionario Biografico degli Italiani","unknown_location_XX_gid_unknown","Unknown","COE I, 158-159","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 158-159","NULL"
"brielis_guilielmus_viaf_unknown","individual","male","unknown","Guilielmus BRIELIS [COE] // Guilielmus Brielis [CWE] // Brielis, William [ALLEN]","NULL","NULL","brielle_NL_gid_2758326","Unknown, possibly Brielle","COE I, 202","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 202","unknown_location_XX_gid_unknown","Unknown","COE I, 202","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 202","NULL"
