"locations_name_modern","YEAR","COUNT"
"Antwerp","1516","2"
"Antwerp","1517","3"
"Antwerp","1519","1"
"Antwerp","1520","1"
"Basel","1525","2"
"Basel","1527","2"
"Basel","1528","1"
"Basel","1530","1"
"Basel","1532","1"
"Leuven","1517","2"
"Leuven","1518","5"
"Leuven","1519","2"
"Leuven","1520","2"
"Leuven","1521","1"
"Paris","NULL","2"
"Paris","1505","2"
"Paris","1511","2"
"Paris","1520","1"
"Paris","1521","1"
"Paris","1526","1"
