"letters_id","sender_id","recipient_id","send_date_computable1","source_loc_id","SourceLAT","SourceLNG","target_loc_id","TargetLAT","TargetLNG","GEOM"
"era_cwe_1078","c7280d05-7044-4b72-9af8-5dcff8b57743","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-03-14","köln_DE_gid_2886242","50.93333","6.95","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (6.95 50.93333 , 4.70093 50.87959) |era_cwe_1078"
"era_cwe_1083","313d5e42-31ce-44fe-9832-eb4da2e49fcb","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-03-17","basel_CH_gid_2661604","47.5584","7.57327","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (7.57327 47.5584 , 4.70093 50.87959) |era_cwe_1083"
"era_cwe_1084","d86e9fb0-c6d2-406a-a352-63a6fa4237dc","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-03-19","basel_CH_gid_2661604","47.5584","7.57327","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (7.57327 47.5584 , 4.70093 50.87959) |era_cwe_1084"
"era_cwe_1087","763f4d64-dffb-40eb-bc45-2fde4992223e","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-03-01","greenwich_GB_gid_2647937","51.47785","-0.01176","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (-0.01176 51.47785 , 4.70093 50.87959) |era_cwe_1087"
"era_cwe_1089","eeb88e60-ea26-4029-9e0c-77a8f3f58e5c","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-04-01","greenwich_GB_gid_2647937","51.47785","-0.01176","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (-0.01176 51.47785 , 4.70093 50.87959) |era_cwe_1089"
"era_cwe_1090","763f4d64-dffb-40eb-bc45-2fde4992223e","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-02-20","greenwich_GB_gid_2647937","51.47785","-0.01176","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (-0.01176 51.47785 , 4.70093 50.87959) |era_cwe_1090"
"era_cwe_1094","77c727bc-3e7f-4608-8845-485b177518c1","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-04-28","kortrijk_BE_gid_2794055","50.82803","3.26487","antwerpen_BE_gid_2803138","51.21989","4.40346","LINESTRING (3.26487 50.82803 , 4.40346 51.21989) |era_cwe_1094"
"era_cwe_1095","d9233b24-a98c-4279-8065-e2ab70c0d080","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-04-30","nürnberg_DE_gid_2861650","49.45421","11.07752","antwerpen_BE_gid_2803138","51.21989","4.40346","LINESTRING (11.07752 49.45421 , 4.40346 51.21989) |era_cwe_1095"
"era_cwe_1096","763f4d64-dffb-40eb-bc45-2fde4992223e","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-05-01","greenwich_GB_gid_2647937","51.47785","-0.01176","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (-0.01176 51.47785 , 4.70093 50.87959) |era_cwe_1096"
"era_cwe_110","970aec7e-c773-4c16-8ac1-fb12315b9d1c","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1499-10-01","oxford_GB_gid_2640729","51.75222","-1.25596","oxford_GB_gid_2640729","51.75222","-1.25596","LINESTRING (-1.25596 51.75222 , -1.25596 51.75222) |era_cwe_110"
"era_cwe_1105","0f1d8faa-dd28-4b15-8fa6-bf747560fb1c","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-05-24","freiburg_DE_gid_2925177","47.9959","7.85222","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (7.85222 47.9959 , 4.70093 50.87959) |era_cwe_1105"
"era_cwe_1106","763f4d64-dffb-40eb-bc45-2fde4992223e","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-05-26","canterbury_GB_gid_2653877","51.27904","1.07992","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (1.07992 51.27904 , 4.70093 50.87959) |era_cwe_1106"
"era_cwe_1108","a947e7e4-41f3-4f30-acd3-3cb79fbf5e18","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-06-04","brugge_BE_gid_2800931","51.20892","3.22424","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (3.22424 51.20892 , 4.70093 50.87959) |era_cwe_1108"
"era_cwe_1109","6bd6eb34-d5f1-47fe-bfaf-82f0aa28031d","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-06-15","mainz_DE_gid_2874225","49.98419","8.2791","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (8.2791 49.98419 , 4.70093 50.87959) |era_cwe_1109"
"era_cwe_112","89448511-269c-45ab-8470-d3cb17483444","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1499-10-27","oxford_GB_gid_2640729","51.75222","-1.25596","oxford_GB_gid_2640729","51.75222","-1.25596","LINESTRING (-1.25596 51.75222 , -1.25596 51.75222) |era_cwe_112"
"era_cwe_1120ck1","44907411-79f3-44dd-88fa-0bfa62f5e74f","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-07-12","freiburg_DE_gid_2925177","47.9959","7.85222","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (7.85222 47.9959 , 4.70093 50.87959) |era_cwe_1120ck1"
"era_cwe_1120ck2","3e5dc2ae-e201-459d-b784-c59e89ca5266","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-07-12","freiburg_DE_gid_2925177","47.9959","7.85222","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (7.85222 47.9959 , 4.70093 50.87959) |era_cwe_1120ck2"
"era_cwe_1121","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-07-13","freiburg_DE_gid_2925177","47.9959","7.85222","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (7.85222 47.9959 , 4.70093 50.87959) |era_cwe_1121"
"era_cwe_1135","6fc3d197-6ece-40c4-829a-fb63f2ed1ea3","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-08-15","steckelberg_castle_DE_gid_unknown","50.336944","9.620278","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (9.620278 50.336944 , 4.70093 50.87959) |era_cwe_1135"
"era_cwe_1142","3fe2dd32-36f1-40e7-896f-64ba2d25bcc9","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-09-10","milano_IT_gid_3173435","45.46427","9.18951","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (9.18951 45.46427 , 4.70093 50.87959) |era_cwe_1142"
"era_cwe_1145","e023ac42-74bd-4e3c-b2af-80aebebcf03f","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-09-19","brugge_BE_gid_2800931","51.20892","3.22424","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (3.22424 51.20892 , 4.70093 50.87959) |era_cwe_1145"
"era_cwe_1154","a2502d86-a7d5-4c42-b196-e0bf75f0b729","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-10-01","znojmo_CZ_gid_3061344","48.8555","16.0488","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (16.0488 48.8555 , 4.70093 50.87959) |era_cwe_1154"
"era_cwe_1161","6fc3d197-6ece-40c4-829a-fb63f2ed1ea3","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-11-13","ebernburg_castle_DE_gid_unknown","49.807044","7.838608","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (7.838608 49.807044 , 4.70093 50.87959) |era_cwe_1161"
"era_cwe_1180","d2fe0216-e9b0-4077-ba21-251d1ff16084","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1521-01-15","rome_IT_gid_3169070","41.89193","12.51133","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (12.51133 41.89193 , 4.70093 50.87959) |era_cwe_1180"
"era_cwe_1197","c82a6a4f-8f72-4492-abc9-13cb74de7870","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1521-04-07","worms_DE_gid_2806142","49.63278","8.35916","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (8.35916 49.63278 , 4.70093 50.87959) |era_cwe_1197"
"era_cwe_1198","cba4206b-4373-45aa-b555-8c303890afe6","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1521-04-07","worms_DE_gid_2806142","49.63278","8.35916","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (8.35916 49.63278 , 4.70093 50.87959) |era_cwe_1198"
"era_cwe_1207","ab2c289d-79f7-4f1c-992f-7ea1afb6fa1f","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1521-05-30","basel_CH_gid_2661604","47.5584","7.57327","anderlecht_BE_gid_2803201","50.83619","4.31454","LINESTRING (7.57327 47.5584 , 4.31454 50.83619) |era_cwe_1207"
"era_cwe_1213","2e8f7e81-e0bc-454a-bb7b-19d692b58280","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1521-06-18","rome_IT_gid_3169070","41.89193","12.51133","anderlecht_BE_gid_2803201","50.83619","4.31454","LINESTRING (12.51133 41.89193 , 4.31454 50.83619) |era_cwe_1213"
"era_cwe_1222","a947e7e4-41f3-4f30-acd3-3cb79fbf5e18","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1521-07-10","brugge_BE_gid_2800931","51.20892","3.22424","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (3.22424 51.20892 , 4.70093 50.87959) |era_cwe_1222"
"era_cwe_1232a","5473f315-77da-4b76-9d54-9493de118054","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1521-08-31","florence_IT_gid_3176959","43.77925","11.24626","anderlecht_BE_gid_2803201","50.83619","4.31454","LINESTRING (11.24626 43.77925 , 4.31454 50.83619) |era_cwe_1232a"
"era_cwe_1233a","d86e9fb0-c6d2-406a-a352-63a6fa4237dc","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1521-09-01","basel_CH_gid_2661604","47.5584","7.57327","anderlecht_BE_gid_2803201","50.83619","4.31454","LINESTRING (7.57327 47.5584 , 4.31454 50.83619) |era_cwe_1233a"
"era_cwe_1241","313d5e42-31ce-44fe-9832-eb4da2e49fcb","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1521-10-14","halle_(saale)_DE_gid_2911522","51.5","12","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (12 51.5 , 4.70093 50.87959) |era_cwe_1241"
"era_cwe_1241a","bdba997b-1e7c-485c-b8c1-8a9a12fe9986","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1521-10-20","leuven_BE_gid_2792482","50.87959","4.70093","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (4.70093 50.87959 , 7.57327 47.5584) |era_cwe_1241a"
"era_cwe_1245","1faa67ba-9b05-46e9-9690-8b6b3bc29829","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1521-11-29","vitoria_ES_gid_3104499","42.84998","-2.67268","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (-2.67268 42.84998 , 7.57327 47.5584) |era_cwe_1245"
"era_cwe_1246","6914dc8d-6f89-4a11-96d6-cf2b24e5615c","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1521-12-04","richmond_palace_GB_gid_unknown","51.46171","-0.30633","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (-0.30633 51.46171 , 7.57327 47.5584) |era_cwe_1246"
"era_cwe_1247","ae299c0d-a569-4eb0-894a-0c99bfb0575e","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1521-12-09","augsburg_DE_gid_2954172","48.37154","10.89851","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (10.89851 48.37154 , 7.57327 47.5584) |era_cwe_1247"
"era_cwe_1251","075e0070-ef23-438d-87ca-00e333653086","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1521-12-30","sélestat_FR_gid_2975233","48.26667","7.45","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (7.45 48.26667 , 7.57327 47.5584) |era_cwe_1251"
"era_cwe_1253","dba1603f-8714-4349-a9d4-06f69cb86e50","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-01-04","langenargen_DE_gid_2881263","47.59858","9.54163","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (9.54163 47.59858 , 7.57327 47.5584) |era_cwe_1253"
"era_cwe_1254","185d8355-de68-4303-90f5-cbdbf37a9778","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-01-10","brussels_BE_gid_2800866","50.85045","4.34878","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (4.34878 50.85045 , 7.57327 47.5584) |era_cwe_1254"
"era_cwe_1256","a947e7e4-41f3-4f30-acd3-3cb79fbf5e18","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-01-19","leuven_BE_gid_2792482","50.87959","4.70093","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (4.70093 50.87959 , 7.57327 47.5584) |era_cwe_1256"
"era_cwe_1260","daa18870-1c1f-4d5a-9cef-f9f93fcece52","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-02-16","rome_IT_gid_3169070","41.89193","12.51133","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (12.51133 41.89193 , 7.57327 47.5584) |era_cwe_1260"
"era_cwe_1261","639f3ce8-be9f-4993-b200-3fcde3a3b4e9","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-02-24","avignon_FR_gid_3035681","43.94834","4.80892","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (4.80892 43.94834 , 7.57327 47.5584) |era_cwe_1261"
"era_cwe_1265","d9233b24-a98c-4279-8065-e2ab70c0d080","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-02-20","nürnberg_DE_gid_2861650","49.45421","11.07752","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (11.07752 49.45421 , 7.57327 47.5584) |era_cwe_1265"
"era_cwe_1266","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-03-20","freiburg_DE_gid_2925177","47.9959","7.85222","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (7.85222 47.9959 , 7.57327 47.5584) |era_cwe_1266"
"era_cwe_1269","342d4e75-f7d6-4f36-b4a4-31c6801e1d24","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1521-03-31","brussels_BE_gid_2800866","50.85045","4.34878","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (4.34878 50.85045 , 7.57327 47.5584) |era_cwe_1269"
"era_cwe_127","a89f8328-a75d-4bae-98c9-6ff8ad7c5a95","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1500-06-15","paris_FR_gid_2988507","48.85341","2.3488","paris_FR_gid_2988507","48.85341","2.3488","LINESTRING (2.3488 48.85341 , 2.3488 48.85341) |era_cwe_127"
"era_cwe_1270","5de89ee0-c88e-4ef7-94a0-3ef4ece27471","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-04-01","brussels_BE_gid_2800866","50.85045","4.34878","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (4.34878 50.85045 , 7.57327 47.5584) |era_cwe_1270"
"era_cwe_1270a","8defe3cc-a123-4f0d-9ba5-09267e4d6809","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-04-02","rome_IT_gid_3169070","41.89193","12.51133","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (12.51133 41.89193 , 7.57327 47.5584) |era_cwe_1270a"
"era_cwe_1271","a947e7e4-41f3-4f30-acd3-3cb79fbf5e18","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-04-01","brugge_BE_gid_2800931","51.20892","3.22424","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (3.22424 51.20892 , 7.57327 47.5584) |era_cwe_1271"
"era_cwe_1272","07b5c6de-a62a-43de-8a14-77715805617e","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-04-10","kroměříž_CZ_gid_3072649","49.29785","17.39312","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (17.39312 49.29785 , 7.57327 47.5584) |era_cwe_1272"
"era_cwe_1277","4c3e117b-0d82-459a-9034-e3548d2b0981","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-04-24","brussels_BE_gid_2800866","50.85045","4.34878","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (4.34878 50.85045 , 7.57327 47.5584) |era_cwe_1277"
"era_cwe_1279","5fc7b5ba-15e5-4b6c-a90d-14ecb734b9ea","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-05-07","st_georgenberg_abbey_AT_gid_8349588","47.36667","11.71667","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (11.71667 47.36667 , 7.57327 47.5584) |era_cwe_1279"
"era_cwe_1280a","b7ef838b-e5e8-46cb-81da-03d6d2bd632c","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-05-01","vienna_AT_gid_2761369","48.20849","16.37208","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (16.37208 48.20849 , 7.57327 47.5584) |era_cwe_1280a"
"era_cwe_1281","a947e7e4-41f3-4f30-acd3-3cb79fbf5e18","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-05-20","brugge_BE_gid_2800931","51.20892","3.22424","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (3.22424 51.20892 , 7.57327 47.5584) |era_cwe_1281"
"era_cwe_1285","cac0c676-2dc8-49c8-86f0-719a5195e160","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-05-26","konstanz_DE_gid_2885679","47.66033","9.17582","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (9.17582 47.66033 , 7.57327 47.5584) |era_cwe_1285"
"era_cwe_1286","38695a47-fe76-4441-94e5-119c8c2c06c4","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-05-27","brugge_BE_gid_2800931","51.20892","3.22424","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (3.22424 51.20892 , 7.57327 47.5584) |era_cwe_1286"
