"Id","Label","locations_modern_state","locations_modern_province","Latitude","Longitude","locations_ll_combined"
"kloster_georgenthal_DE_gid_unknown","Kloster Georgenthal","Germany","Thuringia","50.828889","10.659167","50.828889, 10.659167"
"unknown_location_XX_gid_unknown","Unknown Location","Unknown","Unknown","NULL","NULL","NULL"
"florence_IT_gid_3176959","Florence","Italy","Tuscany","43.77925","11.24626","43.77925, 11.24626"
"waischenfeld_DE_gid_2815297","Waischenfeld","Germany","Bavaria","49.84645","11.3481","49.84645, 11.3481"
"kornburg_DE_gid_2885443","Kornburg","Germany","Bavaria","49.35521","11.09885","49.35521, 11.09885"
"eichstätt_DE_gid_2932069","Eichstätt","Germany","Bavaria","48.88854","11.19675","48.88854, 11.19675"
"erfurt_DE_gid_2929670","Erfurt","Germany","Thuringia","50.9787","11.03283","50.9787, 11.03283"
"pavia_IT_gid_3171366","Pavia","Italy","Lombardy","45.19205","9.15917","45.19205, 9.15917"
"neunhof_DE_gid_2864443","Neunhof","Germany","Bavaria","49.55495","11.23017","49.55495, 11.23017"
"milano_IT_gid_3173435","Milan","Italy","Lombardy","45.46427","9.18951","45.46427, 9.18951"
