"Id","type","gender","Label","pob_loc_id","pob_loc_annotation","dob_year1","dob_computable1","dob_has_range","dob_year2","dob_computable2","pod_loc_id","pod_loc_annotation","dod_year1","dod_computable1","dod_has_range","dod_year2"
"luther_martin_viaf_14773105","individual","male","Martin LUTHER [COE] // Martin Luther [CWE] // Luther, Martin [ALLEN]","eisleben_lutherstadt_DE_gid_7284571","Eisleben","1483","1483-01-10","0","1483","1483-01-10","eisleben_lutherstadt_DE_gid_7284571","Eisleben","1546","1546-02-18","0","1546"
"lang_johann_viaf_67343955","individual","male","Johann LANG [COE] // Johann Lang [CWE] // Lang, John [ALLEN]","erfurt_DE_gid_2929670","Erfurt","1487","1487-01-01","1","1487","1487-12-31","erfurt_DE_gid_2929670","Erfurt","1548","1548-04-04","0","1548"
"pflug_julius_von_viaf_3265533","individual","male","Julius PFLUG [COE] // Julius Pflug [CWE] // Pflug, Julius [ALLEN]","eythra_DE_gid_2928237","Eytra, near Leipzig","1499","1499-01-01","1","1499","1499-12-31","naumburg_DE_gid_2866906","Naumburg","1564","1564-09-03","0","1564"
"leo_x_pope_viaf_316407579","individual","male","Pope LEO X [COE] // Leo X / Giovanni de' Medici [CWE] // Leo X, Pope [ALLEN]","florence_IT_gid_3176959","Florence","1475","1475-12-11","0","1475","1475-12-11","rome_IT_gid_3169070","Rome","1521","1521-12-01","0","1521"
"capito_wolfgang_viaf_61578502","individual","male","Wolfgang Faber CAPITO [COE] // Wolfgang Capito [CWE] // Capito, Wolfgang Fabricius (Köpfel) [ALLEN]","haguenau_FR_gid_3014078","Hagenau/Elsaß","1478","1478-01-01","1","1478","1478-12-31","strasbourg_FR_gid_2973783","Straßburg","1541","1541-11-02","0","1541"
"hessus_helius_eobanus_viaf_71412338","individual","male","Helius EOBANUS Hessus [COE] // Helius Eobanus Hessus [CWE] // Eobanus, Helius (Hessus) [ALLEN]","halgehausen_DE_gid_2911550","Halgehausen bei Frankenberg/Hessen","1488","1488-01-06","0","1488","1488-01-06","marburg_an_der_lahn_DE_gid_2873759","Marburg/Lahn","1540","1540-10-04","0","1540"
"schweiß_alexander_von_viaf_89934990","individual","male","Alexander SCHWEISS [COE] // Alexander Schweiss [CWE] // Schweiss, Alexander [ALLEN]","herborn_DE_gid_2906199","Herborn, in Hesse","","0000-00-00","1","","0000-00-00","unknown_location_XX_gid_unknown","Unknown","1533","1533-01-01","1","1536"
"lotzer_johann_(1)_viaf_37256989","individual","male","Johann (I) LOTZER [COE] // Johann Lotzer [CWE] // Lotzer, John [ALLEN]","horb_am_neckar_DE_gid_2899101","Horb","","0000-00-00","1","","0000-00-00","unknown_location_XX_gid_unknown","Unknown","","0000-00-00","1",""
"zasius_ulrich_viaf_61645489","individual","male","Udalricus ZASIUS [COE] // Udalricus Zasius [CWE] // Zasius, Ulrich [ALLEN]","konstanz_DE_gid_2885679","Konstanz","1461","1461-01-01","1","1461","1461-12-31","freiburg_DE_gid_2925177","Freiburg im Breisgau","1535","1535-11-24","0","1535"
"bannicius_jacobus_viaf_72207021","individual","male","Jacopo BANNISIO [COE] // Jacopo Bannisio [CWE] // Banisius, Jacobus [ALLEN]","korčula_HR_gid_3197710","Korčula","1466","1466-10-15","0","1466","1466-10-15","unknown_location_XX_gid_unknown","Unknown","1532","1532-11-19","0","1532"
