"Location Name Modern","Latitude","Longitude","Number of correspondents who received at this location letters from Erasmus"
"Montpellier","43.61092","3.87723","1"
"The More Palace","51.6343","-0.439356","1"
"Mulhouse","47.75","7.33333","1"
"Munich","48.13743","11.57549","1"
"Murano","45.45857","12.35683","1"
"Naples","40.85631","14.24641","1"
"Nozeroy","46.77457","6.03636","1"
"Ordingen","50.8132","5.23499","1"
"Otford","51.31283","0.19046","1"
"Palencia","42.00955","-4.52406","1"
"Perugia","43.1122","12.38878","1"
"Płock","52.54682","19.70638","1"
"Reggio nell'Emilia","44.69825","10.63125","1"
"Rochester","51.38764","0.50546","1"
"Saint-Bel Castle","45.81196","4.598472","1"
"Saint-Germain-des-Prés","48.85377","2.33331","1"
"Salamanca","40.96882","-5.66388","1"
"Schneeberg","50.59465","12.64139","1"
"Siena","43.31822","11.33064","1"
"Sion Abbey","52.00444444","4.161666667","1"
"Sopron","47.68501","16.59049","1"
"Saint-Amand Abbey","50.638307","2.392984","1"
"Saint-Augustin-lès-Thérouanne Abbey","50.63871","2.39876","1"
"Saint-Hubert Abbey","50.026172","5.374353","1"
"Saint Séverin Abbey of Château Landon","48.1504","2.7089","1"
"Saint Sulpice Abbey","45.897778","5.583611","1"
"Schloss Steinheim","50.1086","8.91605","1"
"Stuttgart","48.78232","9.17702","1"
"Toulouse","43.60426","1.44367","1"
"Trier","49.75565","6.63935","1"
"Trzebiatów","54.06147","15.26475","1"
"Überlingen","47.76977","9.17136","1"
"Valladolid","41.65518","-4.72372","1"
"Veere","51.54833","3.66667","1"
"Vic-sur-Seille","48.78204","6.53081","1"
"Waldburg Castle","47.758889","9.711944","1"
"Weinsberg","49.15127","9.28762","1"
"Wesel","51.6669","6.62037","1"
"Winchester","51.06513","-1.3187","1"
"Windsor Castle","51.48365","-0.60502","1"
"Woking","51.31903","-0.55893","1"
"Woodstock","51.8485","-1.35132","1"
"Zeitz","51.04962","12.1369","1"
"Znojmo","48.8555","16.0488","1"
"Zwolle","52.5125","6.09444","1"
