"Name Modern State","Number of letters sent from this modern state to Pirckheimer from mutual correspondents of his and Erasmus (incl. Erasmus)"
"Germany","132"
"Switzerland","46"
"Italy","31"
"France","6"
"Unknown","5"
"Belgium","4"
"Spain","3"
