Id	geonames_id	locations_name_modern	locations_name_in_edition	locations_modern_state	locations_modern_province	locations_lat	locations_lng	locations_ll_combined	locations_further_annotation
augsburg_DE_gid_2954172	2954172	Augsburg	Augsburg	Germany	Bavaria	48.37154	10.89851	48.37154,10.89851	NULL
wittenberg_DE_gid_7303020	7303020	Wittenberg	Wittenberg	Germany	Saxony-Anhalt	51.8661	12.64973	51.8661, 12.64973	NULL
nürnberg_DE_gid_2861650	2861650	Nürnberg	Nürnberg	Germany	Bavaria	49.45421	11.07752	49.45421, 11.07752	NULL
neunhof_DE_gid_2864443	2864443	Neunhof	Neunhof	Germany	Bavaria	49.55495	11.23017	49.55495, 11.23017	NULL
rome_IT_gid_3169070	3169070	Rome	Rome	Italy	Latium	41.89193	12.51133	41.89193, 12.51133	NULL
halle_(saale)_DE_gid_2911522	2911522	Halle (Saale)	Halle	Germany	Saxony-Anhalt	51.5	12	51.5, 12	NULL
leuven_BE_gid_2792482	2792482	Leuven	Louvain	Belgium	Flemish	50.87959	4.70093	50.87959, 4.70093	NULL
brugge_BE_gid_2800931	2800931	Brugge	Bruges	Belgium	Flemish	51.20892	3.22424	51.20892, 3.22424	NULL
basel_CH_gid_2661604	2661604	Basel	Basel	Switzerland	Basel-City	47.5584	7.57327	47.5584, 7.57327	NULL
ebernburg_castle_DE_gid_unknown	Unknown	Burg Ebernburg	Ebernburg	Germany	Rheinland-Pfalz	49.807044	7.838608	49.807044, 7.838608	LL for Burg Ebernburg (GeoHack)
