correspondents_id	type	gender	viaf_id	Label	known_name_variations	known_name_variations_ref	pob_loc_id	pob_loc_annotation	pob_loc_annotation_ref	dob_year1	dob_month1	dob_day1	dob_computable1	dob_has_range	dob_year2	dob_month2	dob_day2	dob_computable2	dob_annotion	dob_annotion_ref	pod_loc_id	pod_loc_annotation	pod_loc_annotation_ref	dod_year1	dod_month1	dod_day1	dod_computable1	dod_has_range	dod_year2	dod_month2	dod_day2	dod_computable2	dod_annotion	dod_annotion_ref	further_annotation
pirckheimer_willibald_viaf_27173507	individual	male	27173507	Willibald PIRCKHEIMER	Philadelphus // Cotta // Cottalambergius // Cottalembergius // Cotta Lembergius // Pirckheimer // Byrkhamer // Pirkeymerus // Pyrckheimerus // Pyrkheymerus // Birgheimerus // Birgheimer // Pirckheymer // Birckheimer // Pirckheimerus // Pirkheimer // Pirchaimerus // Pirckeymer // Bircamer // Birchheimer // Pirkheymer // Pirkamerus // Pirkeymer // Bircamerus // Birckhaimer // Pircheimerus // Pirckeymerus // Pirckeymherus // Pirckheymerus // Birckheymerus // Pircheymerus // Pirckheimherus // Pirckh	GND	eichstätt_DE_gid_2932069	Eichstätt	COE III, 90-94	1470	12	05	1470-12-05	0	1470	12	05	1470-12-05	5 December 1470	COE III, 90-94	nürnberg_DE_gid_2861650	Nürnberg	COE III, 90-94	1530	12	22	1530-12-22	0	1530	12	22	1530-12-22	22 December 1530	COE III, 90-94	
capito_wolfgang_viaf_61578502	individual	male	61578502	Wolfgang Faber CAPITO	Capito // Luithold // Luitholdus // Capiton // Cephalaeus // Köphel // Köphl // Cephaleus // Köpphel // Faber // Luithold // Köpffel // Köpfel // Koepfel	GND	haguenau_FR_gid_3014078	Hagenau/Elsaß	HGK I, 163	1478	NULL	NULL	1478-01-01	1	1478	NULL	NULL	1478-12-31	1478	HGK I, 163	strasbourg_FR_gid_2973783	Straßburg	HGK I, 163	1541	11	02	1541-11-02	0	1541	11	02	1541-11-02	2 November 1541	COE I, 261-264	
zasius_ulrich_viaf_61645489	individual	male	61645489	Udalricus ZASIUS	Zasy // Zäsy // Zazius	GND // COE III, 469-473	konstanz_DE_gid_2885679	Konstanz	GND	1461	NULL	NULL	1461-01-01	1	1461	NULL	NULL	1461-12-31	1461	COE III, 469-473	freiburg_DE_gid_2925177	Freiburg im Breisgau	GND	1535	11	24	1535-11-24	0	1535	11	24	1535-11-24	24 November 1535	COE III, 469-473	
glareanus_henricus_viaf_73950690	individual	male	73950690	Henricus GLAREANUS	Loriti // Loritz // Loris // Loritus // Glarean	GND	mollis_CH_gid_2659636	Mollis/Glarus	HGK I, 304	1488	06	NULL	1488-06-01	1	1488	06	NULL	1488-06-30	June 1488	COE II, 105-108	freiburg_DE_gid_2925177	Freiburg i. Br.	HGK I, 304	1563	03	27	1563-03-27	1	1563	03	28	1563-03-28	27/8 March 1563	COE II, 105-108	
erasmus_desiderius_viaf_95982394	individual	male	95982394	ERASMUS	NULL	NULL	rotterdam_NL_gid_2747891	bei Rotterdam	HGK I, 250	1469	NULL	NULL	1469-01-01	1	NULL	NULL	NULL	1469-12-31	1469	HGK I, 250	basel_CH_gid_2661604	Basel	HGK I, 250	1536	NULL	NULL	1536-01-01	1	1536	NULL	NULL	1536-12-31	1536	HGK I 250	
spalatin_georg_viaf_240011410	individual	male	240011410	Georgius SPALATINUS	Burckhardt // Burkhardt // Burckard // Burkhard // Burkard // Burckart // Burckard // Spalatin // Burghardt // Burchardus	GND	spalt_DE_gid_2830849	Spalt	COE III, 266-268	1484	01	17	1484-01-17	0	1484	01	17	1484-01-17	17 January 1484	COE III, 266-268	altenburg_DE_gid_2957773	Altenburg	COE III, 266-268	1545	01	16	1545-01-16	0	1545	01	16	1545-01-16	16 January 1545	COE III, 266-268	
hutten_ulrich_von_viaf_95193756	individual	male	95193756	Ulrich von HUTTEN	Huttenus // ab Hutten	HGK I, 350	steckelberg_castle_DE_gid_unknown	Burg Steckelberg bei Schlüchtern nahe Fulda/Hessen	HGK I, 350	1488	04	21	1488-04-21	0	1488	04	21	1488-04-21	21 April 1488	COE II, 216-220	ufenau_CH_gid_7669974	Insel Ufenau im Zürichsee	HGK I, 350	1523	08	NULL	1523-08-20	1	1523	08	NULL	1523-08-31	end of August 1523	COE II, 216-220	
adrian_vi_ pope_ viaf_76430137	individual	male	76430137	Pope ADRIAN VI	Adriaan Floriszoon	COE I, 5	utrecht_NL_gid_2745912	Utrecht	COE I, 5	1454	03	02	1454-03-02	0	1545	03	02	1454-03-02	2 March 1454	COE I, 5	rome_IT_gid_3169070	Rome	COE I, 5	1523	09	14	1523-09-14	0	1523	09	14	1523-09-14	14 September 1523	COE I, 5	
emser_hieronymus_viaf_19702295	individual	male	19702295	Hieronymus EMSER	Emßer // Embser // Empse // Emsser	GND	weidenstetten_DE_gid_2812958	Weidenstetten bei Ulm	HGK I, 246	1479	03	28	1479-03-28	0	1479	03	28	1479-03-28	28 March 1479	COE I, 429-430	dresden_DE_gid_2935022	Dresden	HGK I, 246	1527	12	08	1527-12-08	0	1527	12	08	1527-12-08	8 December 1527	COE I, 429-430	HGK I gibt abweichend 1478 als DoB an
oecolampadius_johann_viaf_56634092	individual	male	56634092	Johannes OECOLAMPADIUS	Oecolampadius // Ökolampadius // Heussgen // Hausschein // Haußschein // Hußschin // Oecolampade // Oecolompadius // Ocolampadius // Oecolamp. // Oekolampad // Hussgen // Husschin // Hußschyn // Oekolampadius // Icolampadius // Ecolampadius // Decolampadios // Ecolampade // Huszgen // Ecolampadio	GND	weinsberg_DE_gid_2812158	Weinsberg	COE III, 24-27	1482	NULL	NULL	1482-01-01	1	1482	NULL	NULL	1482-12-31	1482	COE III, 24-27	basel_CH_gid_2661604	Basel	COE III, 24-27	1531	11	22	1531-11-22	1	1531	11	23	1531-11-23	22/3 November 1531	COE III, 24-27	
