correspondents_id	type	gender	viaf_id	Label	known_name_variations	known_name_variations_ref	pob_loc_id	pob_loc_annotation	pob_loc_annotation_ref	dob_year1	dob_month1	dob_day1	dob_computable1	dob_has_range	dob_year2	dob_month2	dob_day2	dob_computable2	dob_annotion	dob_annotion_ref	pod_loc_id	pod_loc_annotation	pod_loc_annotation_ref	dod_year1	dod_month1	dod_day1	dod_computable1	dod_has_range	dod_year2	dod_month2	dod_day2	dod_computable2	dod_annotion	dod_annotion_ref	further_annotation
capito_wolfgang_viaf_61578502	individual	male	61578502	Wolfgang Faber CAPITO	Capito // Luithold // Luitholdus // Capiton // Cephalaeus // Köphel // Köphl // Cephaleus // Köpphel // Faber // Luithold // Köpffel // Köpfel // Koepfel	GND	haguenau_FR_gid_3014078	Hagenau/Elsaß	HGK I, 163	1478	NULL	NULL	1478-01-01	1	1478	NULL	NULL	1478-12-31	1478	HGK I, 163	strasbourg_FR_gid_2973783	Straßburg	HGK I, 163	1541	11	02	1541-11-02	0	1541	11	02	1541-11-02	2 November 1541	COE I, 261-264	
zasius_ulrich_viaf_61645489	individual	male	61645489	Udalricus ZASIUS	Zasy // Zäsy // Zazius	GND // COE III, 469-473	konstanz_DE_gid_2885679	Konstanz	GND	1461	NULL	NULL	1461-01-01	1	1461	NULL	NULL	1461-12-31	1461	COE III, 469-473	freiburg_DE_gid_2925177	Freiburg im Breisgau	GND	1535	11	24	1535-11-24	0	1535	11	24	1535-11-24	24 November 1535	COE III, 469-473	
hegendorph_christoph_viaf_54260943	individual	male	54260943	Christoph HEGENDORFF	Hegendorfer // Hegendorfinus // Hegendorphinus	COE II, 171-172 // HGK I, 333	leipzig_DE_gid_2879139	Leipzig	HGK I, 333	1500	NULL	NULL	1500-01-01	1	1500	NULL	NULL	1500-12-31	1500	COE II, 171-172	lüneburg_DE_gid_2875115	Lüneburg	HGK I, 333	1540	08	08	1540-08-08	0	1540	08	08	1540-08-08	8 August 1540	COE II, 171-172	
venatorius_thomas_viaf_43677502	individual	male	43677502	Thomas VENATORIUS	Jagauf // Gechauf // Gechauff // Jäger // Ventorius // Jagauf // Venator	GND	nürnberg_DE_gid_2861650	Nürnberg	COE III, 382-383	1488	01	01	1488-01-01	1	1488	12	31	1488-12-31	c 1488	COE III, 382-383	nürnberg_DE_gid_2861650	Nürnberg	COE III, 382-383	1551	02	04	1551-02-04	0	1551	02	04	1551-02-04	4 February 1551	COE III, 382-383	
reuchlin_johann_viaf_66542815	individual	male	66542815	Johann REUCHLIN	Capnion // Capnio // Roechlin // Kapnion // Reuchlinus	GND	pforzheim_DE_gid_2853969	Pforzheim	Reuchlin BW	1454	01	29	1454-01-29	0	1454	01	29	1454-01-29	29. Januar 1455	Reuchlin BW	stuttgart_DE_gid_2825297	Stuttgart	Reuchlin BW	1522	06	30	1522-06-30	0	1522	06	30	1522-06-30	30 June 1522	COE III, 145-150	
erasmus_desiderius_viaf_95982394	individual	male	95982394	ERASMUS	NULL	NULL	rotterdam_NL_gid_2747891	bei Rotterdam	HGK I, 250	1469	NULL	NULL	1469-01-01	1	NULL	NULL	NULL	1469-12-31	1469	HGK I, 250	basel_CH_gid_2661604	Basel	HGK I, 250	1536	NULL	NULL	1536-01-01	1	1536	NULL	NULL	1536-12-31	1536	HGK I 250	
busche_hermann_von_dem_viaf_27087291	individual	male	27087291	Hermannus BUSCHIUS	von Büschen // Busch // von dem Busche Pasiphilus // van dem Busche // von Büsche // Buschius (Puschius) // Pansiphilus	GND	sassenberg_DE_gid_2841351	Sassenberg bei Warendorf/Westfalen	HGK I, 150	1468	NULL	NULL	1468-01-01	1	1468	NULL	NULL	1468-12-31	ca 1468	HGK I, 150	dülmen_DE_gid_2934662	Dülmen/Westfalen	HGK I, 150	1534	04	NULL	1534-04-01	1	1534	04	NULL	1534-04-30	April 1534	COE I, 233-234	
rhenanus_beatus_viaf_39415982	individual	male	39415982	BEATUS Rhenanus	Rinower // Licentius Evangelus // Bild // Selezestadiensis // Selestadiensis // Bildius	COE I, 104-109 // GND	sélestat_FR_gid_2975233	Sélestat	COE I, 104-109	1485	08	22	1485-08-22	0	1485	08	22	1485-08-22	22 August 1485	COE I, 104-109	strasbourg_FR_gid_2973783	Strasbourg	COE I, 104-109	1547	07	20	1547-07-20	0	1547	07	20	1547-07-20	20 July 1547	COE I, 104-109	
spalatin_georg_viaf_240011410	individual	male	240011410	Georgius SPALATINUS	Burckhardt // Burkhardt // Burckard // Burkhard // Burkard // Burckart // Burckard // Spalatin // Burghardt // Burchardus	GND	spalt_DE_gid_2830849	Spalt	COE III, 266-268	1484	01	17	1484-01-17	0	1484	01	17	1484-01-17	17 January 1484	COE III, 266-268	altenburg_DE_gid_2957773	Altenburg	COE III, 266-268	1545	01	16	1545-01-16	0	1545	01	16	1545-01-16	16 January 1545	COE III, 266-268	
hutten_ulrich_von_viaf_95193756	individual	male	95193756	Ulrich von HUTTEN	Huttenus // ab Hutten	HGK I, 350	steckelberg_castle_DE_gid_unknown	Burg Steckelberg bei Schlüchtern nahe Fulda/Hessen	HGK I, 350	1488	04	21	1488-04-21	0	1488	04	21	1488-04-21	21 April 1488	COE II, 216-220	ufenau_CH_gid_7669974	Insel Ufenau im Zürichsee	HGK I, 350	1523	08	NULL	1523-08-20	1	1523	08	NULL	1523-08-31	end of August 1523	COE II, 216-220	
ricius_paulus_viaf_60018918	individual	male	60018918	Paulus RICIUS	Paulus Israelita // Ritius // Ritzius // Rizzi // Ricci // Rici	COE III, 158-160 // GND	trento_IT_gid_3165243	Trient	GND	1480	NULL	NULL	1480-01-01	1	1480	NULL	NULL	1480-12-31	um 1480	NDB	unknown_location_XX_gid_unknown	Unknown	COE III, 158-160	1541	NULL	NULL	1541-01-01	1	1541	NULL	NULL	1541-12-31	1541	COE III, 158-160	
brassicanus_joannes_alexander_viaf_9899294	individual	male	9899294	Johannes Alexander BRASSICANUS	Köl // Köll / Koel // Brassican // Kohlburger	GND	tübingen_DE_gid_2820860	Tübingen	HGK I, 130	1500	NULL	NULL	1500-01-01	1	1500	NULL	NULL	1500-12-31	1500	HGK I, 130	vienna_AT_gid_2761369	Wien	HGK I, 130	1539	11	27	1539-11-27	0	1539	11	27	1539-11-27	27 November 1539	ADB	
neuenar_hermann_graf_von_viaf_18164526	individual	male	18164526	Hermann von NEUENAHR	Neuenar // Nuenar // Newenaer // Nova Aquila	GND	unknown_location_in_germany_DE_gid_unknown	Unknown	COE III, 14-15	1492	NULL	NULL	1492-01-01	1	1492	NULL	NULL	1492-12-31	c 1492	COE III, 14-15	augsburg_DE_gid_2954172	Augsburg	COE III, 14-15	1530	10	30	1530-10-30	0	1530	10	30	1530-10-30	30 October 1530	COE III, 14-15	
oecolampadius_johann_viaf_56634092	individual	male	56634092	Johannes OECOLAMPADIUS	Oecolampadius // Ökolampadius // Heussgen // Hausschein // Haußschein // Hußschin // Oecolampade // Oecolompadius // Ocolampadius // Oecolamp. // Oekolampad // Hussgen // Husschin // Hußschyn // Oekolampadius // Icolampadius // Ecolampadius // Decolampadios // Ecolampade // Huszgen // Ecolampadio	GND	weinsberg_DE_gid_2812158	Weinsberg	COE III, 24-27	1482	NULL	NULL	1482-01-01	1	1482	NULL	NULL	1482-12-31	1482	COE III, 24-27	basel_CH_gid_2661604	Basel	COE III, 24-27	1531	11	22	1531-11-22	1	1531	11	23	1531-11-23	22/3 November 1531	COE III, 24-27	
cochlæus_johannes_viaf_121589726	individual	male	121589726	Johannes COCHLAEUS	Dobnek // Cocleus // Cochleus // Cochläus // Dobeneck // Dobenek Wendelstenius	GND	wendelstein_DE_gid_2811292	Wendelstein bei Schwabach/Mittelfranken	HGK I, 189	1479	NULL	NULL	1479-01-01	1	1479	NULL	NULL	1479-12-31	1479	HGK I, 189	wrocław_PL_gid_3081368	Breslau	HGK I, 189	1552	01	10	1552-01-10	0	1552	01	10	1552-01-10	10 January 1552	COE I, 321-322	
