"send_date_computable1","NoEppSentFromEra"
"1501-12-28","1"
"1524-12-10","2"
"1524-12-11","1"
"1524-12-12","2"
"1524-12-16","1"
"1524-12-18","1"
"1501-07-12","3"
"1524-12-27","3"
"1524-12-29","1"
"1525-01-05","1"
"1525-01-08","1"
"1525-01-25","1"
"1525-01-01","1"
"1525-02-05","1"
"1525-02-08","1"
"1525-02-10","2"
"1525-02-11","3"
"1525-02-24","2"
"1525-02-25","1"
"1525-02-01","1"
"1525-03-14","1"
"1525-03-22","2"
"1501-07-15","1"
"1525-03-25","1"
"1525-03-26","2"
"1525-03-30","1"
"1525-04-08","2"
"1525-04-09","3"
"1501-07-17","2"
"1525-04-28","1"
"1525-04-30","1"
"1525-05-04","1"
"1525-05-13","3"
"1525-05-16","1"
"1525-06-07","1"
"1525-06-15","1"
"1525-07-01","2"
"1525-07-02","4"
"1501-07-18","3"
"1525-08-05","1"
"1525-08-14","1"
"1525-08-24","2"
"1525-08-25","5"
"1525-08-28","2"
"1525-08-31","2"
"1525-09-05","1"
"1525-09-06","1"
"1525-09-20","1"
"1525-09-01","2"
"1525-09-28","1"
"1525-10-02","3"
"1525-10-03","3"
"1525-10-04","4"
"1525-10-05","2"
"1501-08-01","1"
"1525-10-09","3"
"1525-10-10","2"
"1525-10-01","3"
"1525-10-15","2"
"1501-09-01","3"
"1525-11-08","2"
"1525-12-24","3"
"1525-12-25","1"
"1525-12-26","1"
"1526-01-30","1"
"1526-02-03","1"
"1526-02-06","1"
"1501-12-01","1"
"1526-03-02","1"
"1526-03-07","1"
"1526-03-08","3"
"1526-03-11","1"
"1526-03-13","3"
"1502-01-01","1"
"1526-03-15","1"
"1526-03-19","1"
"1526-03-29","1"
"1526-04-01","1"
"1526-04-07","1"
"1526-04-11","1"
"1526-04-16","2"
"1502-03-01","1"
"1526-04-20","2"
"1526-04-21","1"
"1526-04-25","1"
"1526-04-28","1"
"1526-04-29","3"
"1489-01-01","7"
"1501-07-02","1"
"1526-04-30","3"
"1526-05-01","1"
"1526-05-06","2"
"1526-05-15","1"
"1502-09-01","2"
"1526-05-16","4"
"1526-05-21","1"
"1526-06-06","3"
"1526-06-14","1"
"1526-06-16","1"
"1526-06-23","1"
"1526-06-24","1"
"1526-07-15","1"
"1526-07-30","2"
"1503-02-13","1"
"1526-08-19","1"
"1526-08-27","4"
"1526-08-29","1"
"1526-09-02","2"
"1526-09-03","4"
"1526-09-07","1"
"1503-09-01","1"
"1526-09-09","4"
"1526-09-26","2"
"1526-10-02","1"
"1526-10-01","1"
"1503-09-28","1"
"1526-12-05","1"
"1526-12-01","1"
"1503-11-17","1"
"1527-01-11","1"
"1503-09-27","1"
"1527-01-26","1"
"1527-01-31","1"
"1504-02-01","2"
"1527-03-03","1"
"1527-03-18","1"
"1527-03-23","1"
"1527-03-24","6"
"1527-03-30","4"
"1527-03-31","1"
"1527-03-01","1"
"1504-12-01","1"
"1527-04-29","1"
"1527-05-11","1"
"1527-05-15","1"
"1505-03-01","2"
"1527-05-16","1"
"1527-05-17","2"
"1527-05-18","1"
"1527-05-21","3"
"1527-05-23","1"
"1527-05-26","1"
"1527-05-29","4"
"1527-06-10","3"
"1527-06-22","1"
"1527-06-29","1"
"1527-07-06","1"
"1505-11-01","2"
"1527-08-13","2"
"1527-08-14","1"
"1527-08-23","2"
"1527-08-24","2"
"1527-08-25","2"
"1527-08-26","1"
"1527-08-27","2"
"1527-08-31","1"
"1527-09-01","5"
"1506-01-01","1"
"1527-09-02","5"
"1506-01-24","1"
"1527-10-07","2"
"1527-10-13","1"
"1527-10-14","1"
"1527-10-15","4"
"1506-04-01","1"
"1527-10-17","1"
"1527-10-18","1"
"1527-10-19","1"
"1527-10-23","1"
"1506-04-02","1"
"1527-11-01","1"
"1527-11-11","1"
"1527-11-12","2"
"1527-11-14","1"
"1527-11-16","1"
"1527-11-29","2"
"1506-05-01","1"
"1527-11-30","1"
"1527-12-01","1"
"1527-12-09","2"
"1527-12-12","2"
"1506-06-01","2"
"1527-12-22","1"
"1527-12-27","1"
"1527-12-29","1"
"1527-12-30","1"
"1527-01-01","1"
"1528-01-03","1"
"1528-01-04","1"
"1528-01-16","1"
"1528-02-01","4"
"1528-02-03","2"
"1506-06-12","3"
"1528-02-04","1"
"1528-02-05","5"
"1528-02-14","1"
"1528-02-20","1"
"1528-02-21","1"
"1528-02-27","1"
"1528-02-29","1"
"1528-03-01","3"
"1528-03-12","1"
"1528-03-14","1"
"1528-03-15","4"
"1506-07-01","1"
"1528-03-18","1"
"1528-03-19","4"
"1528-03-20","2"
"1528-03-21","2"
"1528-03-24","1"
"1528-03-29","2"
"1528-04-03","2"
"1528-04-19","1"
"1506-08-01","1"
"1528-04-24","1"
"1528-05-01","2"
"1528-05-28","1"
"1528-06-01","1"
"1528-06-13","1"
"1489-05-15","1"
"1506-11-04","3"
"1528-06-25","1"
"1528-07-15","1"
"1528-07-16","4"
"1528-07-27","1"
"1528-07-30","1"
"1528-08-01","3"
"1528-08-13","1"
"1528-08-25","1"
"1528-08-26","3"
"1506-11-16","1"
"1528-08-27","2"
"1528-08-28","1"
"1528-08-31","1"
"1528-09-01","2"
"1528-09-02","2"
"1506-11-17","2"
"1528-09-03","2"
"1528-09-05","3"
"1528-09-06","3"
"1528-09-16","3"
"1528-09-21","2"
"1528-10-01","7"
"1528-10-02","1"
"1507-10-28","1"
"1528-10-22","1"
"1528-11-09","1"
"1528-11-12","1"
"1528-11-01","1"
"1528-12-23","4"
"1507-11-01","2"
"1529-01-10","1"
"1529-01-01","2"
"1529-01-24","1"
"1529-01-27","1"
"1529-02-01","2"
"1529-02-06","1"
"1529-02-20","1"
"1529-02-21","1"
"1529-02-22","1"
"1529-02-24","1"
"1529-02-25","1"
"1508-09-01","1"
"1529-02-26","1"
"1529-03-01","1"
"1529-03-02","1"
"1529-03-06","1"
"1529-03-07","1"
"1529-03-08","1"
"1529-03-10","1"
