"send_date_computable1","NoEppSentToEra"
"1536-02-02","1"
"1536-02-10","1"
"1536-02-13","1"
"1536-02-20","1"
"1536-02-24","1"
"1536-02-25","1"
"1536-03-12","1"
"1536-03-16","1"
"1536-03-21","1"
"1536-03-28","1"
"1536-04-03","1"
"1536-04-12","2"
"1536-04-15","1"
"1536-04-18","1"
"1536-05-07","1"
"1536-05-08","1"
"1536-05-12","1"
"1536-05-13","1"
"1536-05-20","1"
"1536-06-22","1"
"1536-06-25","1"
"1536-07-15","1"
"1536-07-25","1"
"1536-08-09","1"
"1536-08-16","1"
"1534-09-02","1"
"1534-12-05","1"
"1534-02-04","1"
"1535-02-18","1"
"1535-02-21","1"
"1499-05-01","3"
"1519-07-01","2"
"1519-09-01","1"
"1519-09-15","1"
"1519-10-07","1"
"1519-10-10","1"
"1519-12-01","3"
"1519-11-28","1"
"1499-10-01","2"
"1520-02-01","1"
"1520-02-19","1"
"1520-02-26","1"
"1520-03-08","1"
"1520-03-14","1"
"1520-03-17","1"
"1520-03-19","1"
"1520-03-01","1"
"1520-04-01","1"
"1520-02-20","1"
"1520-04-28","1"
"1520-04-30","1"
"1520-05-01","1"
"1520-05-24","1"
"1520-05-26","1"
"1520-06-04","1"
"1520-06-15","1"
"1499-10-27","1"
"1520-07-12","1"
"1520-07-13","1"
"1520-08-15","1"
"1520-09-10","1"
"1520-09-19","1"
"1520-10-01","1"
"1520-11-13","1"
"1521-01-15","1"
"1521-04-07","2"
"1521-05-30","1"
"1521-06-18","1"
"1521-07-10","1"
"1521-08-31","1"
"1521-09-01","1"
"1521-10-14","1"
"1521-10-20","1"
"1521-11-29","1"
"1521-12-04","1"
"1521-12-09","1"
"1521-12-30","1"
"1522-01-04","1"
"1522-01-10","1"
"1522-01-19","1"
"1522-02-16","1"
"1522-02-24","1"
"1522-02-20","1"
"1522-03-20","1"
"1521-03-31","1"
"1500-06-15","1"
"1522-04-01","2"
"1522-04-02","1"
"1522-04-10","1"
"1522-04-24","1"
"1522-05-07","1"
"1522-05-01","1"
"1522-05-20","1"
"1522-05-26","1"
"1522-05-27","2"
"1522-05-29","1"
"1522-06-04","1"
"1522-06-05","1"
"1522-06-14","1"
"1522-06-26","1"
"1522-06-01","1"
"1522-07-09","1"
"1522-07-14","1"
"1522-08-15","2"
"1522-08-17","1"
"1522-10-24","1"
"1522-11-04","1"
"1522-11-12","1"
"1522-11-23","1"
"1522-11-24","1"
"1522-12-01","1"
"1522-12-14","1"
"1523-01-07","1"
"1523-01-23","1"
"1522-01-25","1"
"1523-01-25","1"
"1523-02-15","1"
"1523-02-17","1"
"1523-03-18","1"
"1523-03-22","1"
"1523-03-01","1"
"1523-03-27","1"
"1523-04-21","1"
"1523-05-10","1"
"1523-06-03","1"
"1523-06-05","1"
"1523-06-18","1"
"1523-06-01","1"
"1523-07-03","1"
"1523-07-05","1"
"1523-07-06","1"
"1523-07-07","1"
"1523-08-24","1"
"1523-09-23","1"
"1523-10-22","1"
"1523-11-05","1"
"1523-11-17","1"
"1523-12-03","1"
"1523-12-01","2"
"1524-01-01","1"
"1524-01-20","1"
"1524-02-01","1"
"1524-02-17","1"
"1524-02-23","1"
"1524-04-11","1"
"1524-04-14","1"
"1524-04-15","2"
"1524-04-20","1"
"1524-04-30","1"
"1524-05-01","1"
"1524-05-08","1"
"1524-05-21","1"
"1524-05-27","1"
"1524-05-30","1"
"1524-06-06","1"
"1524-06-16","1"
"1524-06-28","1"
"1524-06-30","1"
"1524-07-01","1"
"1524-07-04","1"
"1524-07-13","1"
"1524-07-21","1"
"1524-09-01","1"
"1524-09-30","2"
"1524-10-01","1"
"1524-10-12","1"
"1524-10-19","1"
"1524-11-06","1"
"1524-11-13","1"
"1524-11-21","1"
"1524-11-26","1"
"1524-11-29","1"
"1524-12-01","1"
"1524-12-11","1"
"1524-12-20","1"
"1525-01-21","1"
"1525-01-25","1"
"1525-01-30","1"
"1525-02-02","1"
"1525-02-13","1"
"1525-02-16","1"
"1525-02-22","1"
"1525-03-12","1"
"1525-04-09","1"
"1525-04-26","1"
"1525-05-05","1"
"1525-05-21","1"
"1525-07-06","1"
"1525-07-08","1"
"1525-07-23","1"
"1525-08-23","2"
"1525-09-05","1"
"1525-09-12","1"
"1525-09-20","2"
"1525-10-01","1"
"1525-06-01","1"
"1525-10-15","2"
"1525-10-21","1"
"1525-10-28","1"
"1525-11-09","1"
"1525-11-19","1"
"1525-11-20","1"
"1525-11-23","1"
"1525-11-27","1"
"1525-12-03","1"
"1525-12-20","1"
"1526-01-16","1"
"1526-01-21","1"
"1526-02-01","1"
"1526-02-14","1"
"1526-02-17","1"
"1526-02-28","2"
"1526-03-07","1"
"1526-03-17","1"
"1526-03-18","1"
"1526-03-29","1"
"1526-04-16","1"
"1526-04-17","1"
"1526-04-19","1"
"1526-05-07","1"
"1526-05-15","1"
"1526-05-19","1"
"1526-06-06","1"
"1526-08-01","2"
"1526-08-04","1"
"1526-08-06","1"
"1526-08-11","1"
"1526-08-28","1"
"1526-01-01","1"
"1503-07-09","1"
"1526-09-01","1"
"1526-09-08","1"
"1526-10-01","1"
"1526-10-11","1"
"1526-10-22","2"
"1526-11-09","1"
"1526-11-12","1"
"1526-12-01","1"
"1526-12-10","1"
"1526-12-18","1"
"1526-12-20","2"
"1526-12-25","1"
"1526-12-28","2"
"1527-01-01","2"
"1527-01-13","1"
"1527-01-18","1"
"1527-02-02","1"
"1527-02-04","1"
"1527-02-08","1"
"1527-02-10","1"
"1527-02-23","1"
"1527-02-27","1"
"1527-02-28","1"
"1527-03-12","1"
"1527-03-13","1"
"1527-03-18","1"
"1527-03-20","1"
"1527-03-28","2"
"1527-03-01","1"
"1527-04-01","1"
"1527-04-18","1"
"1527-04-22","1"
"1527-04-24","2"
"1527-05-01","1"
"1527-05-10","1"
"1505-03-07","1"
"1527-06-13","1"
"1527-06-17","1"
"1527-06-19","1"
"1527-06-20","1"
"1527-06-29","1"
"1527-07-01","1"
"NULL","1"
"1527-07-20","2"
"1527-07-22","1"
"1527-07-26","1"
"1527-07-28","1"
"1527-08-03","1"
"1527-08-18","1"
"1527-08-31","1"
"1527-09-18","1"
"1506-01-04","1"
"1527-09-01","1"
"1527-09-25","1"
"1527-10-09","1"
"1527-10-28","1"
"1527-11-03","1"
"1527-11-06","2"
"1527-11-07","1"
"1489-05-01","2"
"1527-11-13","1"
"1527-11-23","1"
"1527-11-29","1"
"1527-11-30","1"
"1527-12-01","1"
"1527-12-10","1"
"1527-12-13","1"
"1528-01-08","1"
"1528-01-19","1"
"1528-01-24","1"
"1528-01-28","1"
"1528-02-02","1"
"1528-02-03","1"
"1528-02-05","1"
"1528-02-09","1"
"1528-02-18","1"
"1528-02-19","2"
"1528-02-20","1"
"1528-02-28","1"
"1528-03-06","1"
"1528-03-08","2"
"1528-03-23","2"
"1528-03-25","1"
"1528-04-20","1"
"1528-05-04","1"
"1528-05-08","1"
"1528-05-10","1"
