Id	type	gender	viaf_id	Label	known_name_variations	known_name_variations_ref	pob_loc_id	pob_loc_annotation	pob_loc_annotation_ref	dob_year1	dob_month1	dob_day1	dob_computable1	dob_has_range	dob_year2	dob_month2	dob_day2	dob_computable2	dob_annotion	dob_annotion_ref	pod_loc_id	pod_loc_annotation	pod_loc_annotation_ref	dod_year1	dod_month1	dod_day1	dod_computable1	dod_has_range	dod_year2	dod_month2	dod_day2	dod_computable2	dod_annotion	dod_annotion_ref	further_annotation
basellius_nikolaus_viaf_30349975	individual	male	30349975	Nicolaus BASELLIUS	Basell // Basellius	COE I, 98-99 // GND	bad_dürkheim_DE_gid_2953522	Bad Dürkheim	COE I, 98-99	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	COE I, 98-99	kloster_hirsau_DE_gid_unknown	Hirsau	GND	1532	NULL	NULL	1532-01-01	1	1532	NULL	NULL	1532-12-31	ca 1532	GND	
melanchthon_philipp_viaf_76319978	individual	male	76319978	Philippus MELANCHTHON	Didymus Faventinus // Theophilus Neocomensis // Schwartzerd // Schwarzerd // Schwarzert // Schwarzerdt	GND	bretten_DE_gid_2944200	Bretten	COE II, 424-429	1497	02	16	1497-02-16	0	1497	02	16	1497-02-16	16 February 1497	COE II, 424-429	wittenberg_DE_gid_7303020	Wittenberg	COE II, 424-429	1560	04	19	1560-04-19	0	1560	04	19	1560-04-19	19 April 1560	COE II, 424-429	
pirckheimer_willibald_viaf_27173507	individual	male	27173507	Willibald PIRCKHEIMER	Philadelphus // Cotta // Cottalambergius // Cottalembergius // Cotta Lembergius // Pirckheimer // Byrkhamer // Pirkeymerus // Pyrckheimerus // Pyrkheymerus // Birgheimerus // Birgheimer // Pirckheymer // Birckheimer // Pirckheimerus // Pirkheimer // Pirchaimerus // Pirckeymer // Bircamer // Birchheimer // Pirkheymer // Pirkamerus // Pirkeymer // Bircamerus // Birckhaimer // Pircheimerus // Pirckeymerus // Pirckeymherus // Pirckheymerus // Birckheymerus // Pircheymerus // Pirckheimherus // Pirckh	GND	eichstätt_DE_gid_2932069	Eichstätt	COE III, 90-94	1470	12	05	1470-12-05	0	1470	12	05	1470-12-05	5 December 1470	COE III, 90-94	nürnberg_DE_gid_2861650	Nürnberg	COE III, 90-94	1530	12	22	1530-12-22	0	1530	12	22	1530-12-22	22 December 1530	COE III, 90-94	
leo_x_pope_viaf_316407579	individual	male	316407579	Pope LEO X	Giovanni de' Medici	COE II, 319-322	florence_IT_gid_3176959	Florence	COE II, 319-322	1475	12	11	1475-12-11	0	1475	12	11	1475-12-11	11 December 1475	COE II, 319-322	rome_IT_gid_3169070	Rome	COE II, 319-322	1521	12	01	1521-12-01	0	1521	12	01	1521-12-01	1 December 1521	COE II, 319-322	
capito_wolfgang_viaf_61578502	individual	male	61578502	Wolfgang Faber CAPITO	Capito // Luithold // Luitholdus // Capiton // Cephalaeus // Köphel // Köphl // Cephaleus // Köpphel // Faber // Luithold // Köpffel // Köpfel // Koepfel	GND	haguenau_FR_gid_3014078	Hagenau/Elsaß	HGK I, 163	1478	NULL	NULL	1478-01-01	1	1478	NULL	NULL	1478-12-31	1478	HGK I, 163	strasbourg_FR_gid_2973783	Straßburg	HGK I, 163	1541	11	02	1541-11-02	0	1541	11	02	1541-11-02	2 November 1541	COE I, 261-264	
zasius_ulrich_viaf_61645489	individual	male	61645489	Udalricus ZASIUS	Zasy // Zäsy // Zazius	GND // COE III, 469-473	konstanz_DE_gid_2885679	Konstanz	GND	1461	NULL	NULL	1461-01-01	1	1461	NULL	NULL	1461-12-31	1461	COE III, 469-473	freiburg_DE_gid_2925177	Freiburg im Breisgau	GND	1535	11	24	1535-11-24	0	1535	11	24	1535-11-24	24 November 1535	COE III, 469-473	
bannicius_jacobus_viaf_72207021	individual	male	72207021	Jacopo BANNISIO	Bannisio // Bannicius // Bannisiis // Bannissis // Banisius	GND // COE I, 90-91	korčula_HR_gid_3197710	Korčula	COE I, 90-91	1466	10	15	1466-10-15	0	1466	10	15	1466-10-15	15 October 1466	Pirckheimer BW II, 487	unknown_location_XX_gid_unknown	Unknown	COE I, 90-91	1532	11	19	1532-11-19	0	1532	11	19	1532-11-19	19 November 1532	COE I, 90-91	
rhegius_urbanus_viaf_17232588	individual	male	17232588	Urbanus RHEGIUS	Urban Rieger	COE III, 151-153	langenargen_DE_gid_2881263	Langenargen	COE III, 151-153	1489	05	NULL	1489-05-01	1	1489	05	NULL	1489-05-31	May 1489	COE III, 151-153	celle_DE_gid_2940213	Celle	COE III, 151-153	1541	05	23	1541-05-23	0	1541	05	23	1541-05-23	23 May 1541	COE III, 151-153	
glareanus_henricus_viaf_73950690	individual	male	73950690	Henricus GLAREANUS	Loriti // Loritz // Loris // Loritus // Glarean	GND	mollis_CH_gid_2659636	Mollis/Glarus	HGK I, 304	1488	06	NULL	1488-06-01	1	1488	06	NULL	1488-06-30	June 1488	COE II, 105-108	freiburg_DE_gid_2925177	Freiburg i. Br.	HGK I, 304	1563	03	27	1563-03-27	1	1563	03	28	1563-03-28	27/8 March 1563	COE II, 105-108	
gerbel_nicolaus_viaf_60906847	individual	male	60906847	Nikolaus GERBEL	Gerbellius // Musophilus // Gerbelius // Gnidius // Cotta	COE II, 90-91 // HGK I, 294 // GND	pforzheim_DE_gid_2853969	Pforzheim	HGK I, 294	1485	NULL	NULL	1485-01-01	1	1485	NULL	NULL	1485-12-31	c 1485	COE II, 90-91	strasbourg_FR_gid_2973783	Straßburg	HGK I, 294	1560	01	20	1560-01-20	0	1560	01	20	1560-01-20	20 January 1560	COE II, 90-91	
reuchlin_johann_viaf_66542815	individual	male	66542815	Johann REUCHLIN	Capnion // Capnio // Roechlin // Kapnion // Reuchlinus	GND	pforzheim_DE_gid_2853969	Pforzheim	Reuchlin BW	1454	01	29	1454-01-29	0	1454	01	29	1454-01-29	29. Januar 1455	Reuchlin BW	stuttgart_DE_gid_2825297	Stuttgart	Reuchlin BW	1522	06	30	1522-06-30	0	1522	06	30	1522-06-30	30 June 1522	COE III, 145-150	
erasmus_desiderius_viaf_95982394	individual	male	95982394	ERASMUS	NULL	NULL	rotterdam_NL_gid_2747891	bei Rotterdam	HGK I, 250	1469	NULL	NULL	1469-01-01	1	NULL	NULL	NULL	1469-12-31	1469	HGK I, 250	basel_CH_gid_2661604	Basel	HGK I, 250	1536	NULL	NULL	1536-01-01	1	1536	NULL	NULL	1536-12-31	1536	HGK I 250	
rhenanus_beatus_viaf_39415982	individual	male	39415982	BEATUS Rhenanus	Rinower // Licentius Evangelus // Bild // Selezestadiensis // Selestadiensis // Bildius	COE I, 104-109 // GND	sélestat_FR_gid_2975233	Sélestat	COE I, 104-109	1485	08	22	1485-08-22	0	1485	08	22	1485-08-22	22 August 1485	COE I, 104-109	strasbourg_FR_gid_2973783	Strasbourg	COE I, 104-109	1547	07	20	1547-07-20	0	1547	07	20	1547-07-20	20 July 1547	COE I, 104-109	
spalatin_georg_viaf_240011410	individual	male	240011410	Georgius SPALATINUS	Burckhardt // Burkhardt // Burckard // Burkhard // Burkard // Burckart // Burckard // Spalatin // Burghardt // Burchardus	GND	spalt_DE_gid_2830849	Spalt	COE III, 266-268	1484	01	17	1484-01-17	0	1484	01	17	1484-01-17	17 January 1484	COE III, 266-268	altenburg_DE_gid_2957773	Altenburg	COE III, 266-268	1545	01	16	1545-01-16	0	1545	01	16	1545-01-16	16 January 1545	COE III, 266-268	
neuenar_hermann_graf_von_viaf_18164526	individual	male	18164526	Hermann von NEUENAHR	Neuenar // Nuenar // Newenaer // Nova Aquila	GND	unknown_location_in_germany_DE_gid_unknown	Unknown	COE III, 14-15	1492	NULL	NULL	1492-01-01	1	1492	NULL	NULL	1492-12-31	c 1492	COE III, 14-15	augsburg_DE_gid_2954172	Augsburg	COE III, 14-15	1530	10	30	1530-10-30	0	1530	10	30	1530-10-30	30 October 1530	COE III, 14-15	
emser_hieronymus_viaf_19702295	individual	male	19702295	Hieronymus EMSER	Emßer // Embser // Empse // Emsser	GND	weidenstetten_DE_gid_2812958	Weidenstetten bei Ulm	HGK I, 246	1479	03	28	1479-03-28	0	1479	03	28	1479-03-28	28 March 1479	COE I, 429-430	dresden_DE_gid_2935022	Dresden	HGK I, 246	1527	12	08	1527-12-08	0	1527	12	08	1527-12-08	8 December 1527	COE I, 429-430	HGK I gibt abweichend 1478 als DoB an
cochlæus_johannes_viaf_121589726	individual	male	121589726	Johannes COCHLAEUS	Dobnek // Cocleus // Cochleus // Cochläus // Dobeneck // Dobenek Wendelstenius	GND	wendelstein_DE_gid_2811292	Wendelstein bei Schwabach/Mittelfranken	HGK I, 189	1479	NULL	NULL	1479-01-01	1	1479	NULL	NULL	1479-12-31	1479	HGK I, 189	wrocław_PL_gid_3081368	Breslau	HGK I, 189	1552	01	10	1552-01-10	0	1552	01	10	1552-01-10	10 January 1552	COE I, 321-322	
zwingli_ulrich_viaf_71399367	individual	male	71399367	Huldrych ZWINGLI	Zuinglius	COE III, 481-486	wildhaus_CH_gid_2657988	Wildhaus - St Gallen - Switzerland	COE III, 481-486	1484	01	01	1484-01-01	0	1484	01	01	1484-01-01	1 January 1484	COE III, 481-486	kappel_CH_gid_2660189	Kappel am Albis	GND	1531	10	11	1531-10-11	0	1531	10	11	1531-10-11	11 October 1531	COE III, 481-486	
