"correspondents_id","type","gender","viaf_id","name_in_edition","known_name_variations","known_name_variations_ref","pob_loc_id","pob_loc_annotation","pob_loc_annotation_ref","dob_year1","dob_month1","dob_day1","dob_computable1","dob_has_range","dob_year2","dob_month2","dob_day2","dob_computable2","dob_annotion","dob_annotion_ref","pod_loc_id","pod_loc_annotation","pod_loc_annotation_ref","dod_year1","dod_month1","dod_day1","dod_computable1","dod_has_range","dod_year2","dod_month2","dod_day2","dod_computable2","dod_annotion","dod_annotion_ref","further_annotation"
"brie_germain_de_viaf_227062191","individual","male","227062191","Germain de BRIE [COE] // Germain de Brie [CWE] // Brie, Germain de [ALLEN]","Brixius, the name form Brice is incorrect","COE I, 200-202","auxerre_FR_gid_3035843","Auxerre","HGK I, 133","1490","","","1490-01-01","1","1490","","","1490-12-31","ca 1490","HGK I, 130","paris_FR_gid_2988507","Paris","HGK I, 133","1538","07","22","1538-07-22","0","1538","07","22","1538-07-22","22 July 1538","COE I, 200-202",""
"copus_guilielmus_viaf_22249056","individual","male","22249056","Guillaume COP [COE] // Guillaume Cop [CWE] // Cop, William [ALLEN]","Copus","COE I, 336-337","basel_CH_gid_2661604","Basel","COE I, 336-337","1465","","","1465-01-01","1","1465","","","1465-12-31","ca. 1465","Reuchlin BW Leseausgabe Bd.III, 266","paris_FR_gid_2988507","Paris","Reuchlin BW Leseausgabe Bd.III, 266","1532","12","02","1532-12-02","0","1532","12","02","1532-12-02","2 December 1532","COE I, 336-337",""
"deloynes_françois_viaf_212150646","individual","male","212150646","François DELOYNES [COE] // François Deloynes [CWE] // Deloynes, François [ALLEN]","Deloinus","COE I, 385-386","beaugency_FR_gid_3034297","Beaugency, near Orléans","COE I, 385-386","","","","0000-00-00","1","","","","0000-00-00","","COE I, 385-386","unknown_location_XX_gid_unknown","Unknown","COE I, 385-386","1524","07","","1524-07-01","1","1524","07","","1524-07-31","July 1524","COE I, 385-386",""
"francis_i_king_of_france_viaf_21677","individual","male","21677","FRANCIS I [COE] // Francis I [CWE] // Francis I, King of France [ALLEN]","","","cognac_FR_gid_3024440","Cognac","GND","1494","09","12","1494-09-12","0","1494","09","12","1494-09-12","12 September 1494","COE II, 50-52","rambouillet_FR_gid_2984513","Rambouillet","GND","1547","03","31","1547-03-31","0","1547","03","31","1547-03-31","31 March 1547","COE II, 50-52",""
"tunstall_cuthbert_viaf_22160214","individual","male","22160214","Cuthbert TUNSTALL [COE] // Cuthbert Tunstall [CWE] // Tunstall, Cuthbert [ALLEN]","Tonstal // Donstall // Tonstallus // Tunstelus","COE III, 349-354","hackforth_GB_gid_2647701","Hackforth, near Catterick","COE III, 349-354","1474","","","1474-01-01","1","1474","","","1474-12-31","1474","COE III, 349-354","lambeth_GB_gid_6545250","Lambeth Palace","COE III, 349-354","1559","11","18","1559-11-18","0","1559","11","18","1559-11-18","18 November 1559","COE III, 349-354",""
"lupset_thomas_viaf_89034021","individual","male","89034021","Thomas LUPSET [COE] // Thomas Lupset [CWE] // Lupset, Thomas [ALLEN]","Lupsett","COE II, 357-359","london_GB_gid_2643743","London","COE II, 357-359","1498","","","1498-01-01","1","1498","","","1498-12-31","c 1498","COE II, 357-359","london_GB_gid_2643743","London","COE II, 357-359","1530","12","27","1530-12-27","0","1530","12","27","1530-12-27","27 December 1530","COE II, 357-359",""
"more_thomas_sir_saint_viaf_29541174","individual","male","29541174","Thomas MORE [COE] // Thomas More [CWE] // More, Sir Thomas [ALLEN]","","","london_GB_gid_2643743","London","COE II, 456-459","1477","02","06","1477-02-06","1","1478","02","07","1478-02-07","6/7 February 1477/8","COE II, 456-459","london_GB_gid_2643743","London","COE II, 456-459","1535","07","06","1535-07-06","0","1535","07","06","1535-07-06","6 July 1535","COE II, 456-459",""
"budé_guillaume_viaf_105878228","individual","male","105878228","Guillaume BUDÉ [COE] // Guillaume Budé [CWE] // Budaeus, Guilhelmus (Budé, Guillaume) [ALLEN]","Budaeus","COE I, 212-217","paris_FR_gid_2988507","Paris","HGK I, 140","1468","01","26","1468-01-26","0","1468","01","26","1468-01-26","26 January 1468","COE I, 212-217","paris_FR_gid_2988507","Paris","HGK I, 140","1540","08","22","1540-08-22","0","1540","08","22","1540-08-22","22 August 1540","COE I, 212-217",""
"pace_richard_viaf_62360861","individual","male","62360861","Richard PACE [COE] // Richard Pace [CWE] // Pace, Richard [ALLEN]","Paceus","COE III, 37-39","unknown_location_in_hampshire_GB_gid_unknown","prob. Hampshire, in/near Winchester","COE III, 37-39","","","","0000-00-00","1","","","","0000-00-00","","COE III, 37-39","london_GB_gid_2643743","London","COE III, 37-39","1536","06","28","1536-06-28","0","1536","06","28","1536-06-28","28 June 1536","COE III, 37-39",""
"erasmus_desiderius_viaf_95982394","individual","male","95982394","[Erasmus Desiderius] [COE] // Erasmus [CWE] // Erasmus [ALLEN]","","","rotterdam_NL_gid_2747891","bei Rotterdam","HGK I, 250","1469","","","1469-01-01","1","1469","","","1469-12-31","1469","HGK I, 250","basel_CH_gid_2661604","Basel","HGK I, 250","1536","","","1536-01-01","1","1536","","","1536-12-31","1536","HGK I 250",""
