"Year","Number of correspondents receiving letters from Budé this year","Number of letters sent from Budé this year"
"1516","1","3"
"1517","1","4"
"1518","1","5"
"1519","1","4"
"1520","1","2"
"1521","1","2"
"1525","1","2"
"1527","1","2"
"1528","1","1"
