"Modern State","Number of correspondents who wrote letters to Pirckheimer"
"Germany","191"
"Italy","26"
"Austria","17"
"France","12"
"s. l. // o. O.","11"
"Switzerland","8"
"Spain","5"
"Belgium","2"
"Czech Republic","1"
"Poland","1"
