"recipient_id","Number of locations this correspondent receives letters at"
"coppin_nicolas_viaf_unknown","1"
"copus_guilielmus_viaf_22249056","1"
"cordus_euricius_viaf_122063278","1"
"cornarius_janus_viaf_71422380","1"
"cornelissen_van_mierop_vincent_viaf_unknown","1"
"cornelis_of_bergen_viaf_unknown","1"
"coronel_ludovicus_viaf_349420","1"
"courtebourne_pierre_de_viaf_unknown","1"
"cousin_gilbert_viaf_121908936","1"
"cox_leonard_viaf_25801523","1"
"craneveldt_frans_van_viaf_54955515","2"
"crocus_cornelius_viaf_8306045","1"
"croke_richard_viaf_67250364","1"
"cromwell_thomas_earl_of_essex_viaf_29523928","1"
"croy_guillaume_de_viaf_203311375","1"
"dam_bertram_viaf_50040058","1"
"dancaster_william_viaf_unknown","1"
"danès_pierre_viaf_9882374","1"
"dantyszek_jan_viaf_5031671","1"
"davidts_maarten_viaf_unknown","1"
"decimarius_petrus_viaf_unknown","1"
"deiotarus_zacharias_viaf_unknown","1"
"della_rena_andrea_viaf_77136743","2"
"deloynes_françois_viaf_212150646","1"
"demoulins_françois_viaf_172203114","1"
"denny_nuns_of_viaf_not_applicable","1"
"desprez_etienne_viaf_unknown","1"
"diesbach_nikolaus_von_viaf_unknown","1"
"dietz_jost_ludwig_viaf_73844033","1"
"dilfus_franciscus_viaf_292009844","3"
"dorpius_martinus_viaf_17233237","1"
"draconites_johannes_viaf_27871654","1"
"dubois_françois_viaf_100900896","1"
"du_chastel_pierre_viaf_46920623","3"
"eck_johann_viaf_100185986","1"
"eck_leonhard_von_viaf_22932782","1"
"edingen_omaar_van_viaf_unknown","1"
"edmond_[corpus_era]_viaf_unknown","1"
"effinger_lorenz_viaf_unknown","1"
"egli_fridolin_viaf_unknown","1"
"egmont_floris_von_viaf_23295441","1"
"egnazio_giovanni_battista_viaf_100187526","1"
"egranus_johannes_sylvius_viaf_25396571","1"
"eichholz_adolf_viaf_unknown","1"
"elisabeth_[corpus_era]_viaf_unknown","1"
