"Id","Label","locations_modern_state","locations_modern_province","locations_lat","locations_lng"
"glarus_CH_gid_2660594","Glarus","Switzerland","Glarus","47.04057","9.06804"
"glastonbury_abbey_GB_gid_7627243","Glastonbury Abbey","United Kingdom","England","51.14605","-2.71474"
"gniezno_PL_gid_3099112","Gniezno","Poland","Greater Poland","52.53481","17.58259"
"gorinchem_NL_gid_2755434","Gorinchem","Netherlands","South Holland","51.83652","4.97243"
"gotha_DE_gid_2918752","Gotha","Germany","Thuringia","50.94823","10.70193"
"gouda_NL_gid_2755420","Gouda","Netherlands","South Holland","52.01667","4.70833"
"grande_chartreuse_gid_12096340","Grande Chartreuse","France","Auvergne-Rhône-Alpes","45.3634","5.79359"
"grandson_CH_gid_2660529","Grandson","Switzerland","Vaud","46.80946","6.646"
"greenwich_GB_gid_2647937","Greenwich","United Kingdom","England","51.47785","-0.01176"
"groningen_NL_gid_2755251","Groningen","Netherlands","Groningen","53.21917","6.56667"
"haarlem_NL_gid_2755003","Haarlem","Netherlands","North Holland","52.38084","4.63683"
"halsteren_NL_gid_2754922","Halsteren","Netherlands","North Brabant","51.52834","4.26785"
"hambach_castle_DE_gid_unknown","Schloss Hambach","Germany","North-Rhine-Westphalia","50.89903","6.44452"
"hammes_castle_FR_gid_unknown","Hammes // Hammes castle","France","Hauts-de-France","50.88178","1.84338"
"hampton_court_palace_GB_gid_7627255","Hampton Court Palace","United Kingdom","England","51.40309","-0.33697"
"heidelberg_DE_gid_2907911","Heidelberg","Germany","Baden-Wurttemberg","49.40768","8.69079"
"holyrood_palace_in_edinburgh_GB_gid_unknown","Holyrood Palace in Edinburgh","United Kingdom","Scotland","55.9526083","-3.1718239"
"houtem_BE_gid_2795269","Houtem","Belgium","Flanders","51.01077","2.60946"
"ingolstadt_DE_gid_2895992","Ingolstadt","Germany","Bavaria","48.76508","11.42372"
"innsbruck_AT_gid_2775220","Innsbruck","Austria","Tyrol","47.26266","11.39454"
"jena_DE_gid_2895044","Jena","Germany","Thuringia","50.92878","11.5899"
"kloster_ottobeuren_DE_gid_8030045","Ottobeuren Abbey","Germany","Bavaria","47.9413","10.29971"
"koblenz_DE_gid_2886946","Koblenz","Germany","Rheinland-Pfalz","50.35357","7.57884"
"köln_DE_gid_2886242","Cologne","Germany","North-Rhine-Westphalia","50.93333","6.95"
"konstanz_DE_gid_2885679","Konstanz","Germany","Baden-Wurttemberg","47.66033","9.17582"
"kortrijk_BE_gid_2794055","Kortrijk","Belgium","Flanders","50.82803","3.26487"
"kostelec_nad_labem_CZ_gid_3073151","Kostelec nad Labem","Czech Republic","Central Bohemia","50.22653","14.58552"
"kraków_PL_gid_3094802","Krakow","Poland","Lesser Poland","50.06143","19.93658"
"kroměříž_CZ_gid_3072649","Kroměříž","Czech Republic","Zlín","49.29785","17.39312"
"lambeth_GB_gid_6545250","Lambeth","United Kingdom","England","51.49635","-0.11152"
"landbeach_GB_gid_6284113","Landbeach","United Kingdom","England","52.26448","0.16226"
"langenargen_DE_gid_2881263","Langenargen","Germany","Baden-Wurttemberg","47.59858","9.54163"
"leeuwarden_NL_gid_2751792","Leeuwarden","Netherlands","Friesland","53.20139","5.80859"
"leiden_NL_gid_2751773","Leiden","Netherlands","South Holland","52.15833","4.49306"
"leipzig_DE_gid_2879139","Leipzig","Germany","Saxony","51.33962","12.37129"
"lens_st_croix_BE_gid_unknown","Lens St. Croix","Belgium","Wallonia Region","50.51894","5.23284"
"leuven_BE_gid_2792482","Leuven","Belgium","Flanders","50.87959","4.70093"
"liège_BE_gid_2792413","Liège","Belgium","Wallonia","50.63373","5.56749"
"linz_AT_gid_2772400","Linz","Austria","Upper Austria","48.30639","14.28611"
"lisbon_PT_gid_2267057","Lisbon","Portugal","Lisbon","38.71667","-9.13333"
"lochau_DE_gid_2876645","Lochau","Germany","Saxony-Anhalt","51.39738","12.05303"
"london_GB_gid_2643743","London","United Kingdom","England","51.50853","-0.12574"
"lopsen_monastery_NL_gid_unknown","Monastery Lopsen","Netherlands","South Holland","52.1616039439175","4.48927148421804"
"lübeck_DE_gid_2875601","Lübeck","Germany","Schleswig-Holstein","53.86893","10.68729"
"lützel_abbey_FR_gid_11071524","Lützel Abbey","France","Grand Est","47.42175480339986","7.2463864585907"
"lyon_FR_gid_2996944","Lyon","France","Auvergne-Rhône-Alpes","45.74846","4.84671"
"mainz_DE_gid_2874225","Mainz","Germany","Rheinland-Pfalz","49.98419","8.2791"
"manoir_la_cour_des_pins_FR_gid_unknown","Manoir la Cour-des-Pins","France","Pays de la Loire","47.69815","-0.07553"
"marburg_an_der_lahn_DE_gid_2873759","Marburg","Germany","Hesse","50.80904","8.77069"
"mechelen_BE_gid_2791537","Mechelen","Belgium","Flanders","51.02574","4.47762"
"metz_FR_gid_2994160","Metz","France","Grand Est","49.11911","6.17269"
"middelburg_NL_gid_2750896","Middelburg","Netherlands","Zeeland","51.5","3.61389"
"milano_IT_gid_3173435","Milan","Italy","Lombardy","45.46427","9.18951"
"monastery_bois_saint_martin_BE_gid_unknown","Monastery Bois-Saint-Martin //  St Maartensbos","Belgium","Flanders","50.803859","3.820659"
"monastery_hugshofen_FR_gid_unknown","Monastery Hugshofen","France","Grand Est","48.3494","7.2828"
"montbéliard_FR_gid_2992938","Montbéliard","France","Bourgogne-Franche-Comté","47.51667","6.8"
"montpellier_FR_gid_2992166","Montpellier","France","Occitanie","43.61092","3.87723"
"more_palace_GB_gid_unknown","The More Palace","United Kingdom","England","51.6343","-0.439356"
"mulhouse_FR_gid_2991214","Mulhouse","France","Grand Est","47.75","7.33333"
"munich_DE_gid_2867714","Munich","Germany","Bavaria","48.13743","11.57549"
"murano_IT_gid_3172456","Murano","Italy","Veneto","45.45857","12.35683"
"mussy_sur_seine_FR_gid_2991095","Mussy-sur-Seine","France","Grand Est","47.97791","4.49743"
"napoli_IT_gid_3172394","Naples","Italy","Campania","40.85631","14.24641"
"nozeroy_FR_gid_2989871","Nozeroy","France","Bourgogne-Franche-Comté","46.77457","6.03636"
"nürnberg_DE_gid_2861650","Nuremberg","Germany","Bavaria","49.45421","11.07752"
"ordingen_BE_gid_2789640","Ordingen","Belgium","Flanders","50.8132","5.23499"
"orléans_FR_gid_2989317","Orléans","France","Centre-Val de Loire","47.90289","1.90389"
"otford_GB_gid_2640860","Otford","United Kingdom","England","51.31283","0.19046"
"oxford_GB_gid_2640729","Oxford","United Kingdom","England","51.75222","-1.25596"
"padova_IT_gid_3171728","Padua","Italy","Veneto","45.40797","11.88586"
"palencia_ES_gid_3114531","Palencia","Spain","Castille and León","42.00955","-4.52406"
"paris_FR_gid_2988507","Paris","France","Île-de-France","48.85341","2.3488"
"passau_DE_gid_2855328","Passau","Germany","Bavaria","48.5665","13.43122"
"perugia_IT_gid_3171180","Perugia","Italy","Umbria","43.1122","12.38878"
"piotrków_trybunalski_PL_gid_3088972","Piotrkow Trybunalski","Poland","Łódź Voivodeship","51.40547","19.70321"
"porrentruy_CH_gid_2659171","Porrentruy","Switzerland","Jura","47.41533","7.07522"
"prague_CZ_gid_3067696","Prague","Czech Republic","Hlavní město Praha","50.08804","14.42076"
"płock_PL_gid_3088825","Płock","Poland","Masovian","52.54682","19.70638"
"regensburg_DE_gid_2849483","Regensburg","Germany","Bavaria","49.01513","12.10161"
"reggio_nell'emilia_IT_gid_3169522","Reggio nell'Emilia","Italy","Emilia-Romagna","44.69825","10.63125"
"rochester_GB_gid_2639268","Rochester","United Kingdom","England","51.38764","0.50546"
"rome_IT_gid_3169070","Rome","Italy","Lazio","41.89193","12.51133"
"saint_bel_castle_FR_gid_unknown","Saint-Bel Castle","France","Auvergne-Rhône-Alpes","45.81196","4.598472"
"saint_germain_des_près_FR_gid_6693610","Saint-Germain-des-Prés","France","Île-de-France","48.85377","2.33331"
"saint_omer_FR_gid_2977845","Saint-Omer","France","Hauts-de-France","50.75","2.25"
"salamanca_ES_gid_3111108","Salamanca","Spain","Castille and León","40.96882","-5.66388"
"schneeberg_DE_gid_2837470","Schneeberg","Germany","Saxony","50.59465","12.64139"
"sélestat_FR_gid_2975233","Sélestat","France","Grand Est","48.26667","7.45"
"sevilla_ES_gid_2510911","Seville","Spain","Andalusia","37.38283","-5.97317"
"siena_IT_gid_3166548","Siena","Italy","Tuscany","43.31822","11.33064"
"sion_abbey_NL_gid_unknown","Sion Abbey","Netherlands","South Holland","52.00444444","4.161666667"
"sopron_HU_gid_3045190","Sopron","Hungary","Győr-Moson-Sopron","47.68501","16.59049"
"speyer_DE_gid_2830582","Speyer","Germany","Rheinland-Pfalz","49.32083","8.43111"
"steinheim_castle_DE_gid_unknown","Schloss Steinheim","Germany","Hesse","50.1086","8.91605"
"steyn_monastery_NL_gid_unknown","Steyn Monastery","Netherlands","South Holland","52.002977","4.764632"
"strasbourg_FR_gid_2973783","Strasbourg","France","Grand Est","48.58342","7.74296"
"stuttgart_DE_gid_2825297","Stuttgart","Germany","Baden-Wurttemberg","48.78232","9.17702"
"st_amand_abbey_FR_gid_unknown","Saint-Amand Abbey","France","Hauts-de-France","50.638307","2.392984"
"st_augustin_lès_thérouanne_abbey_FR_gid_unknown","Saint-Augustin-lès-Thérouanne Abbey","France","Hauts-de-France","50.63871","2.39876"
"st_hubert_abbey_BE_gid_unknown","Saint-Hubert Abbey","Belgium","Wallonia","50.026172","5.374353"
"st_séverin_abbey_FR_gid_unknown","Saint Séverin Abbey of Château Landon","France","Île-de-France","48.1504","2.7089"
"st_sulpice_abbey_FR_gid_unknown","Saint Sulpice Abbey","France","Auvergne-Rhône-Alpes","45.897778","5.583611"
"the_hague_NL_gid_2747373","The Hague","Netherlands","South Holland","52.07667","4.29861"
"torgau_DE_gid_2821807","Torgau","Germany","Saxony","51.56016","12.99617"
"toulouse_FR_gid_2972315","Toulouse","France","Occitanie","43.60426","1.44367"
"tournai_BE_gid_2785341","Tournai","Belgium","Wallonia","50.60715","3.38932"
"tournehem_sur_la_hem_FR_gid_2972235","Tournehem-sur-la-Hem","France","Hauts-de-France","50.8","2.05"
"trier_DE_gid_2821164","Trier","Germany","Rheinland-Pfalz","49.75565","6.63935"
"trzebiatów_PL_gid_3083145","Trzebiatów","Poland","West Pomerania","54.06147","15.26475"
"tübingen_DE_gid_2820860","Tübingen","Germany","Baden-Wurttemberg","48.52266","9.05222"
"überlingen_DE_gid_2820577","Überlingen","Germany","Baden-Wurttemberg","47.76977","9.17136"
"valladolid_ES_gid_3106672","Valladolid","Spain","Castille and León","41.65518","-4.72372"
"veere_NL_gid_2745739","Veere","Netherlands","Zeeland","51.54833","3.66667"
"venice_IT_gid_3164603","Venice","Italy","Veneto","45.43713","12.33265"
"vic_sur_seille_FR_gid_2969364","Vic-sur-Seille","France","Grand Est","48.78204","6.53081"
"vienna_AT_gid_2761369","Vienna","Austria","Vienna","48.20849","16.37208"
"vollenhove_NL_gid_2745333","Vollenhove","Netherlands","Overijssel","52.68083","5.95417"
"waldburg_castle_DE_gid_unknown","Waldburg Castle","Germany","Baden-Wurttemberg","47.758889","9.711944"
"weinsberg_DE_gid_2812158","Weinsberg","Germany","Baden-Wurttemberg","49.15127","9.28762"
"wesel_DE_gid_2810678","Wesel","Germany","North-Rhine-Westphalia","51.6669","6.62037"
"winchester_GB_gid_2633858","Winchester","United Kingdom","England","51.06513","-1.3187"
"windsor_castle_GB_gid_6287215","Windsor Castle","United Kingdom","England","51.48365","-0.60502"
"wittenberg_DE_gid_7303020","Wittenberg","Germany","Saxony-Anhalt","51.8661","12.64973"
"woking_GB_gid_2633709","Woking","United Kingdom","England","51.31903","-0.55893"
"woodstock_GB_gid_2633618","Woodstock","United Kingdom","England","51.8485","-1.35132"
"worms_DE_gid_2806142","Worms","Germany","Rheinland-Pfalz","49.63278","8.35916"
"wrocław_PL_gid_3081368","Wroclaw","Poland","Lower Silesia","51.1","17.03333"
"würzburg_DE_gid_2805615","Würzburg","Germany","Bavaria","49.79391","9.95121"
"zeitz_DE_gid_2804922","Zeitz","Germany","Saxony-Anhalt","51.04962","12.1369"
"znojmo_CZ_gid_3061344","Znojmo","Czech Republic","South Moravian","48.8555","16.0488"
"zürich_CH_gid_2657896","Zurich","Switzerland","Zurich","47.36667","8.55"
"zwolle_NL_gid_2743477","Zwolle","Netherlands","Overijssel","52.5125","6.09444"
