Id	letter_no_in_edition	source	sender_as_marked	sender_inferred	sender_uncertain	target	recipient_as_marked	recipient_inferred	recipient_uncertain	label	send_date_year1	send_date_month1	send_date_day1	send_date_computable1	send_date_has_range	send_date_year2	send_date_month2	send_date_day2	send_date_computable2	send_date_as_marked	send_date_inferred	send_date_approx	send_date_uncertain	source_loc_id	source_loc_as_marked	source_loc_inferred	source_loc_uncertain	target_loc_id	target_loc_as_marked	target_loc_inferred	target_loc_uncertain	letter_language	letter_type_genus	letter_type_x_to_x	further_annotation
era_allen_3045	3045 [ALLEN]	glareanus_henricus_viaf_73950690	Henry Glareanus [ALLEN]	0	0	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [ALLEN]	0	0	3045 From Henry Glareanus, Freiburg, <ad fin. Aug. 1535> [ALLEN]	1535	08	NULL	1535-08-20	1	1535	08	NULL	1535-08-31	<ad fin. Aug. 1535> [ALLEN]	1	0	0	freiburg_DE_gid_2925177	Freiburg [ALLEN]	0	0	basel_CH_gid_2661604	NULL	1	0	latin	familiar letter	letter_1_to_1	the generic "end of month" time range has been chosen
era_allen_3055	3055 [ALLEN]	glareanus_henricus_viaf_73950690	Henry Glareanus [ALLEN]	0	0	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [ALLEN]	0	0	3055 From Henry Glareanus, Freiburg, 10 Sept. 1535 [ALLEN]	1535	09	10	1535-09-10	0	1535	09	10	1535-09-10	10 Sept. 1535 [ALLEN]	0	0	0	freiburg_DE_gid_2925177	Freiburg [ALLEN]	0	0	basel_CH_gid_2661604	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_allen_3001	3001 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [ALLEN]	0	0	cochlæus_johannes_viaf_121589726	John Cochlaeus [ALLEN]	0	0	3001 To John Cochlaeus, <Freiburg>, <c. March 1535> [ALLEN]	1535	03	NULL	1535-03-01	1	1535	03	NULL	1535-03-31	<c. March 1535> [ALLEN]	1	1	0	freiburg_DE_gid_2925177	<Freiburg> [ALLEN]	1	0	dresden_DE_gid_2935022	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_allen_3016	3016 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [ALLEN]	0	0	pflug_julius_von_viaf_3265533	Julius Pflug [ALLEN]	0	0	3016 To Julius Pflug, Freiburg, 7 May 1535 [ALLEN]	1535	05	07	1535-05-07	0	1535	05	07	1535-05-07	7 May 1535 [ALLEN]	0	0	0	freiburg_DE_gid_2925177	Freiburg [ALLEN]	0	0	zeitz_DE_gid_2804922	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_allen_3054	3054 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [ALLEN]	0	0	glareanus_henricus_viaf_73950690	Henry Glareanus [ALLEN]	0	0	3054 To Henry Glareanus, <Basle>, 6 Sept. 1535 [ALLEN]	1535	09	06	1535-09-06	0	1535	09	06	1535-09-06	6 Sept. 1535 [ALLEN]	0	0	0	basel_CH_gid_2661604	<Basle> [ALLEN]	1	0	freiburg_DE_gid_2925177	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_allen_3072	3072 [ALLEN]	pellicanus_konrad_viaf_41862976	Conrad Pellican [ALLEN]	0	0	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [ALLEN]	0	0	3072 From Conrad Pellican, Zurich, 18 Nov. 1535 [ALLEN]	1535	11	18	1535-11-18	0	1535	11	18	1535-11-18	18 Nov. 1535 [ALLEN]	0	0	0	zürich_CH_gid_2657896	Zurich [ALLEN]	0	0	basel_CH_gid_2661604	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
