"target_loc_id","TargetNameModern","TargetLAT","TargetLNG","source_loc_id","SourceNameModern","SourceLAT","SourceLNG"
"grande_chartreuse_gid_12096340","Grande Chartreuse","45.3634","5.79359","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"courtebourne_FR_gid_3022927","Courtebourne","50.79147","1.94752","saint_omer_FR_gid_2977845","Saint-Omer","50.75","2.25"
"orléans_FR_gid_2989317","Orléans","47.90289","1.90389","saint_omer_FR_gid_2977845","Saint-Omer","50.75","2.25"
"haarlem_NL_gid_2755003","Haarlem","52.38084","4.63683","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"angoulême_FR_gid_3037598","Angoulême","45.65","0.15","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"bratislava_SK_gid_3060972","Bratislava","48.14816","17.10674","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"arras_FR_gid_3036784","Arras","50.29301","2.78186","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"arras_FR_gid_3036784","Arras","50.29301","2.78186","antwerpen_BE_gid_2803138","Antwerp","51.21989","4.40346"
"marburg_an_der_lahn_DE_gid_2873759","Marburg","50.80904","8.77069","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"lisbon_PT_gid_2267057","Lisbon","38.71667","-9.13333","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"grandson_CH_gid_2660529","Grandson","46.80946","6.646","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"gniezno_PL_gid_3099112","Gniezno","52.53481","17.58259","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"winchester_GB_gid_2633858","Winchester","51.06513","-1.3187","london_GB_gid_2643743","London","51.50853","-0.12574"
"unknown_location_in_belgium_BE_gid_unknown","Unknown Location in Belgium","NULL","NULL","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"salamanca_ES_gid_3111108","Salamanca","40.96882","-5.66388","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"denny_abbey_GB_gid_unknown","Denny Abbey","52.2936","0.186542","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"bressanone_IT_gid_3181550","Brixen","46.71503","11.65598","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"manoir_la_cour_des_pins_FR_gid_unknown","Manoir la Cour-des-Pins","47.69815","-0.07553","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"montpellier_FR_gid_2992166","Montpellier","43.61092","3.87723","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"chartres_FR_gid_3026467","Chartres","48.44685","1.48925","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"płock_PL_gid_3088825","Płock","52.54682","19.70638","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"st_sulpice_abbey_FR_gid_unknown","Saint Sulpice Abbey","45.897778","5.583611","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"unknown_location_in_spain_ES_gid_unknown","Unknown Location in Spain","NULL","NULL","freiburg_DE_gid_2925177","Freiburg im Breisgau","47.9959","7.85222"
"st_sulpice_abbey_FR_gid_unknown","Saint Sulpice Abbey","45.897778","5.583611","freiburg_DE_gid_2925177","Freiburg im Breisgau","47.9959","7.85222"
"płock_PL_gid_3088825","Płock","52.54682","19.70638","freiburg_DE_gid_2925177","Freiburg im Breisgau","47.9959","7.85222"
"unknown_location_in_poland_PL_gid_unknown","Unknown Location in Poland","NULL","NULL","freiburg_DE_gid_2925177","Freiburg im Breisgau","47.9959","7.85222"
"cambrai_FR_gid_3029030","Cambrai","50.16667","3.23333","freiburg_DE_gid_2925177","Freiburg im Breisgau","47.9959","7.85222"
