"source_loc_id","SourceNameModern","SourceLAT","SourceLNG","target_loc_id","TargetNameModern","TargetLAT","TargetLNG"
"haguenau_FR_gid_3014078","Haguenau","48.81557","7.79051","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"kloster_hirsau_DE_gid_11398244","Monastery Hirsau","48.7378","8.7321","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"ulm_DE_gid_2820256","Ulm","48.39841","9.99155","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"stepney_GB_gid_2636948","Stepney","51.5175","-0.04292","antwerpen_BE_gid_2803138","Antwerp","51.21989","4.40346"
"amboise_FR_gid_3037902","Amboise","47.41249","0.98266","brussels_BE_gid_2800866","Brussels","50.85045","4.34878"
"weimar_DE_gid_2812482","Weimar","50.9803","11.32903","brussels_BE_gid_2800866","Brussels","50.85045","4.34878"
"edingen_BE_gid_2798747","Enghien","50.68373","4.03284","antwerpen_BE_gid_2803138","Antwerp","51.21989","4.40346"
"bamberg_DE_gid_2952984","Bamberg","49.89873","10.90067","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"saint_cybardeaux_FR_gid_2980987","Saint-Cybardeaux","45.76831","-0.02877","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"huy_BE_gid_2795113","Huy","50.51894","5.23284","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"richmond_GB_gid_2639388","Richmond","54.4036","-1.73434","antwerpen_BE_gid_2803138","Antwerp","51.21989","4.40346"
"grimma_DE_gid_2917325","Grimma","51.23367","12.71959","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
