"Modern State","Number of correspondents who received letters from Erasmus"
"France","140"
"Germany","129"
"Belgium","117"
"Italy","71"
"United Kingdom","59"
"Switzerland","42"
"Netherlands","37"
"Unknown","28"
"Spain","27"
"Poland","19"
"Austria","7"
"Czech Republic","6"
"Hungary","2"
"Portugal","2"
"Slovakia","1"
