"Id","type","gender","Label","pob_loc_id","pob_loc_annotation","dob_year1","dob_computable1","dob_has_range","dob_year2","dob_computable2","pod_loc_id","pod_loc_annotation","dod_year1","dod_computable1","dod_has_range","dod_year2","colour"
"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","individual","male","Erasmus Desiderius","rotterdam_NL_gid_2747891","bei Rotterdam",1469,"1469-01-01",1,1469,"1469-12-31","basel_CH_gid_2661604","Basel",1536,"1536-01-01",1,1536,"#3C93AF"
"2e8f7e81-e0bc-454a-bb7b-19d692b58280","individual","male","Paolo BOMBACE","bologna_IT_gid_3181928","Bologna",1476,"1476-02-11",0,1476,"1476-02-11","rome_IT_gid_3169070","Rome",1527,"1527-05-06",0,1527,"#525252"
"e66ad311-b8c3-460e-bbdf-208a7c36e891","individual","male","Aldo MANUZIO","bassiano_IT_gid_3182293","Bassiano",1450,"1450-01-01",1,1450,"1450-12-31","venice_IT_gid_3164603","Venice",1515,"1515-02-06",0,1515,"#525252"
"ee272595-c784-447c-a46c-0bf458438fef","individual","male","William BLOUNT","barton_under_needwood_GB_viaf_2656207","Barton, in Staffordshire",1478,"1478-01-01",1,1478,"1478-12-31","unknown_location_XX_gid_unknown","Unknown",1534,"1534-11-08",0,1534,"#525252"
