"Id","type","gender","Label","pob_loc_id","pob_loc_annotation","dob_year1","dob_computable1","dob_has_range","dob_year2","dob_computable2","pod_loc_id","pod_loc_annotation","dod_year1","dod_computable1","dod_has_range","dod_year2"
"e864c4f5-0fb8-44c5-8884-b1b8f66bdecc","individual","male","Pierre TOUSSAIN [COE] // Pierre Toussain [CWE] // Tossanus, Petrus (Tossain, Toussain) [ALLEN]","saint_laurent_sur_othain_FR_gid_2978867","Saint-Laurent, near Marville","1499","1499-01-01","1","1499","1499-12-31","montbéliard_FR_gid_2992938","Montbeliard","1573","1573-10-05","0","1573"
"e8f7313f-f82d-4998-80ee-1cb65a4bd75e","individual","male","Robert GUIBÉ [COE] // Robert Guibé [CWE] // Guibé, Robert [ALLEN]","vitré_FR_gid_2967879","Vitré","1459","1459-01-01","1","1459","1459-12-31","rome_IT_gid_3169070","Rome","1513","1513-11-09","0","1513"
"e920361f-d0bb-4f0b-b867-09aed65291df","individual","male","Martin BUCER [COE] // Martin Bucer [CWE] // Bucer, Martin [ALLEN]","sélestat_FR_gid_2975233","Schlettstadt/Elsaß","1491","1491-11-11","0","1491","1491-11-11","cambridge_GB_gid_2653941","Cambridge","1551","1551-02-27","1","1551"
"e921d3e6-9dc2-40e7-9fe6-902dcd5cfe9b","individual","male","Georgius SPALATINUS [COE] // Georgius Spalatinus [CWE] // Spalatinus, George [ALLEN]","spalt_DE_gid_2830849","Spalt","1484","1484-01-17","0","1484","1484-01-17","altenburg_DE_gid_2957773","Altenburg","1545","1545-01-16","0","1545"
"e9bb1ec7-084a-48e8-8cf5-cfc7b3b9fab1","individual","male","Johann LANG [COE] // Johann Lang [CWE] // Lang, John [ALLEN]","erfurt_DE_gid_2929670","Erfurt","1487","1487-01-01","1","1487","1487-12-31","erfurt_DE_gid_2929670","Erfurt","1548","1548-04-02","0","1548"
"ea9318da-20b9-4877-8336-5da1690e3610","individual","male","Pierre d'ANGLEBERME [COE] // Pierre d'Angleberme [CWE] // Angleberme, Peter d' [ALLEN]","orléans_FR_gid_2989317","Orléans","NULL","NULL","1","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","1","NULL"
"eac3846b-52da-46f0-9123-62f0cdc3e4ab","individual","male","Bartholomaeus LATOMUS [COE] // Bartholomaeus Latomus [CWE] // Latomus, Bartholomew [ALLEN]","arlon_BE_gid_2803073","Arlon","1485","1485-01-01","1","1485","1485-12-31","koblenz_DE_gid_2886946","Koblenz","1570","1570-01-03","0","1570"
"ebfb232d-871b-49dd-a8ff-89e711b63c15","individual","male","Jean de BOYSSONÉ [COE] // Jean de Boyssoné [CWE] // Boyssoné, John de [ALLEN]","castres_FR_gid_3028263","Castres (Tarn)","1505","1505-01-01","1","1505","1505-12-31","unknown_location_XX_gid_unknown","Unknown","1558","1558-07-02","1","1559"
"ecbf6eb8-e2e8-48f8-a46a-2e34c0cd604c","individual","male","MARTINUS (adressed in Ep. 76 of [July? 1498]) [COE] // Martin [CWE] // Martin [ALLEN]","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","1","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","1","NULL"
"ed15458a-17a9-49ea-a288-bcfe8179073a","individual","male","Andreas von TRAUTMANNSDORF [COE] // Andreas von Trautmannsdorf [CWE] // Trautmansdorff, Andreas [ALLEN]","unknown_location_in_germany_DE_gid_unknown","Unknown","1500","1500-01-01","1","1500","1500-12-31","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","1","NULL"
